iter	R2	RMSE
0	0.1150379613	3.110080857
1	0.2066634276	2.944679935
2	0.2847790078	2.795950547
3	0.3526498724	2.659983718
4	0.4131063178	2.532731061
5	0.4676047264	2.412272995
6	0.5102447449	2.313656661
7	0.5468494909	2.225515357
8	0.5822020652	2.136940863
9	0.6125111828	2.057969557
10	0.6379164471	1.989361727
11	0.659682145	1.928642474
12	0.6788139526	1.873646666
13	0.6973678739	1.818724318
14	0.712651234	1.772205286
15	0.7267309737	1.728242035
16	0.7391239813	1.688598652
17	0.7502136275	1.652318365
18	0.7605354802	1.617819057
19	0.7701972435	1.584845665
20	0.7787901176	1.554932789
21	0.7868415676	1.5263728
22	0.7949296099	1.497134568
23	0.8011031361	1.474427176
24	0.8078240133	1.449302092
25	0.8137796456	1.426668044
26	0.8195428504	1.404418061
27	0.825114033	1.382569082
28	0.8308594099	1.359669263
29	0.8362159788	1.337966144
30	0.8408869959	1.318749163
31	0.8445228182	1.30359501
32	0.8486256603	1.286279921
33	0.8525132138	1.26965555
34	0.8563398422	1.253076337
35	0.8600113658	1.236960261
36	0.863934811	1.219503003
37	0.8670329362	1.205539372
38	0.8700128438	1.191954234
39	0.8727151804	1.179499239
40	0.875274351	1.167581609
41	0.8780263465	1.154628772
42	0.8803307182	1.143669928
43	0.8836245966	1.127820434
44	0.8864964139	1.113817792
45	0.8883728615	1.104572573
46	0.8901465928	1.095761721
47	0.8918396127	1.087285199
48	0.8943732944	1.074474781
49	0.8966588737	1.062786317
50	0.8989616167	1.050878613
51	0.9008591629	1.040963855
52	0.9024802973	1.032417942
53	0.9042269176	1.023130642
54	0.9056476171	1.015513721
55	0.9080264557	1.00263029
56	0.9091736588	0.9963576719
57	0.9107968935	0.9874141548
58	0.9123528871	0.9787644046
59	0.9141083593	0.9689130571
60	0.9161213002	0.9574921107
61	0.9177775101	0.9479919975
62	0.9191544667	0.940020607
63	0.9206609513	0.9312211984
64	0.9225595622	0.9200115066
65	0.9242814544	0.9097257568
66	0.9257973681	0.9005731904
67	0.9270047224	0.8932165092
68	0.9283179614	0.8851452298
69	0.9295134389	0.8777331899
70	0.9308026687	0.8696690852
71	0.931836655	0.8631470817
72	0.9328972431	0.8564056838
73	0.9341034823	0.8486734029
74	0.9352781604	0.8410751188
75	0.9361461772	0.8354160421
76	0.9372641531	0.8280703642
77	0.9384262886	0.8203648148
78	0.9392713495	0.8147158672
79	0.9403478465	0.8074626128
80	0.9412845092	0.8010981095
81	0.9421649091	0.7950694578
82	0.94284276	0.7903964552
83	0.9435345889	0.7855984295
84	0.9442745088	0.7804342345
85	0.9449779634	0.7754926574
86	0.945812029	0.7695924603
87	0.9469773833	0.7612721423
88	0.9477512071	0.7556966375
89	0.9485398019	0.7499720634
90	0.9492974367	0.7444307723
91	0.9501976357	0.7377926757
92	0.9509244371	0.7323893229
93	0.9515043846	0.7280489779
94	0.9525712881	0.7199959017
95	0.9532140165	0.715100762
96	0.9538327593	0.7103564341
97	0.9545551132	0.7047772426
98	0.9551608211	0.7000647092
99	0.955797609	0.6950759153
100	0.9563941826	0.6903694667
101	0.9570483072	0.6851718335
102	0.9577993267	0.6791552296
103	0.9583518999	0.6746941689
104	0.9591374461	0.6683010022
105	0.9598319686	0.662597256
106	0.9604028105	0.6578722082
107	0.9610972217	0.652078181
108	0.9616295213	0.6476016822
109	0.9621462264	0.6432265315
110	0.9628558513	0.6371688912
111	0.9634274694	0.6322471279
112	0.9639414843	0.6277883935
113	0.9647364937	0.6208291572
114	0.965167024	0.6170276836
115	0.9656061471	0.6131260582
116	0.9661706127	0.6080739877
117	0.9665989958	0.6042116866
118	0.9671725845	0.5990012178
119	0.9675525559	0.5955244622
120	0.9681665772	0.5898628272
121	0.9685525811	0.5862756569
122	0.9690412108	0.581703053
123	0.9694398343	0.5779459324
124	0.9698302293	0.574242543
125	0.9701044698	0.5716266778
126	0.9706172336	0.5667032466
127	0.9710023441	0.5629771984
128	0.971414699	0.5589600177
129	0.9718173202	0.5550096097
130	0.9720438356	0.5527746933
131	0.9722950173	0.5502857937
132	0.9726944503	0.5463045545
133	0.9730067567	0.543171399
134	0.9733952235	0.539248774
135	0.9736694443	0.5364625035
136	0.9739575616	0.5335193579
137	0.9742298133	0.5307232841
138	0.9745921228	0.5269792925
139	0.9749802632	0.5229386336
140	0.9752736256	0.5198638033
141	0.9755218085	0.5172482422
142	0.9758968245	0.5132707202
143	0.9761900859	0.5101387024
144	0.9764323291	0.5075369805
145	0.9767284851	0.5043379947
146	0.9769721046	0.5016912001
