iter	Passed	Remaining
0	70	6931
1	134	6611
2	201	6519
3	266	6398
4	268	5097
5	334	5234
6	396	5266
7	467	5381
8	533	5398
9	598	5386
10	663	5366
11	725	5323
12	786	5266
13	853	5243
14	921	5219
15	990	5197
16	994	4857
17	1064	4848
18	1127	4806
19	1188	4754
20	1253	4715
21	1318	4673
22	1380	4621
23	1443	4572
24	1511	4533
25	1574	4480
26	1635	4423
27	1700	4372
28	1762	4315
29	1826	4261
30	1889	4204
31	1952	4148
32	2013	4087
33	2076	4031
34	2138	3970
35	2202	3914
36	2266	3859
37	2271	3706
38	2336	3655
39	2403	3605
40	2464	3546
41	2529	3493
42	2590	3433
43	2675	3404
44	2741	3350
45	2807	3295
46	2872	3238
47	2934	3178
48	2999	3121
49	3064	3064
50	3130	3007
51	3193	2947
52	3255	2886
53	3319	2828
54	3383	2768
55	3448	2709
56	3511	2648
57	3574	2588
58	3636	2526
59	3699	2466
60	3760	2404
61	3823	2343
62	3883	2280
63	3948	2221
64	4009	2158
65	4074	2098
66	4134	2036
67	4197	1975
68	4260	1914
69	4321	1852
70	4384	1790
71	4449	1730
72	4512	1669
73	4574	1607
74	4637	1545
75	4701	1484
76	4761	1422
77	4825	1360
78	4888	1299
79	4950	1237
80	5013	1175
81	5077	1114
82	5141	1052
83	5202	990
84	5263	928
85	5327	867
86	5388	805
87	5452	743
88	5514	681
89	5577	619
90	5642	558
91	5703	495
92	5766	434
93	5833	372
94	5896	310
95	5960	248
96	6020	186
97	6082	124
98	6143	62
99	6207	0
