,Date,TR.TotalAssetsActual,TR.F.PPENetTot,TR.CO2IndirectScope2,TR.F.OpExpn,TR.CO2DirectScope1,TR.TakebackRecyclingInitiatives,TR.RenewEnergyUse,TR.PolicyEmissions,TR.PolicyEnergyEfficiency,TR.PolicyEnvSupplyChain,TR.PolicyFairTrade,TR.PolicySustainablePackaging,TR.GICSSectorCode,TR.HQCountryCode
10,0.1079200143111058,0.14616399028212024,0.229807720131957,0.5645130176079671,1.0373621156732988,0.42698547433037354,0.01748622525985957,0.08073633526492396,0.0011339541071825189,0.009049402608541824,0.030892710481737518,0.00159344683355265,0.16262129583073795,0.4566787413537249,0.4423554608496957
15,0.0691497970681202,0.07706058176902744,0.2105177978928439,0.5554230850559263,0.7026909537506003,0.42880045678867085,0.03490770514000916,0.06922123500040664,0.0014727655123164055,0.0061157239413723126,0.04993097237937957,0.002904967716934621,0.1664557939438473,1.0410389381576834,0.3391403005108477
20,0.10359027517952357,0.06957583274814215,0.16611974983659536,0.50345230663638,0.7169439070417479,0.3936105891287744,0.05544079667532763,0.09392921768984007,0.003476056963022818,0.009876646320928042,0.062045801735173635,0.00109422318378272,0.21161599719293503,0.36364143960607276,0.33134434884587544
25,0.08278600274289145,0.08160997378118026,0.1997160742074042,0.4409000303331732,0.7508079501491679,0.32917472050575,0.09010463263615237,0.1102596181608982,0.004166021358461269,0.014797692192218395,0.046834474599466956,0.0029965162384597054,0.2279428056748337,0.8306925809836069,0.4196943566593162
30,0.10250760665316841,0.07748107699059906,0.24809997860796687,0.5096389322794485,0.711390171037768,0.3775890495053048,0.03990543238529278,0.06354645586719701,0.0015413334538734,0.007464260522961874,0.04730454465337903,0.00952952340289371,0.2476464939411945,0.9949835278589743,0.3632490200029625
35,0.09554999645415405,0.08394872225805039,0.25202350228126263,0.4363219808174612,0.8423307956304146,0.2917724899272754,0.06142215576360626,0.09833871344840428,0.005399376699593153,0.010710548109190074,0.0508068751629333,0.002520182546625434,0.2797651130280742,0.18751281783273996,0.39113047343886853
40,0.12589016862197547,0.21198146887261832,0.32159894665213495,0.5271942257010923,0.6509825187648725,0.4023728947506931,0.05130764174908561,0.058284495996067665,0.0037835774636112898,0.016783384140114908,0.08252087392352694,0.0018802648817639604,0.21187884003076018,2.033763301138359,0.6248685333800227
45,0.1005143038679229,0.08324411072822764,0.25083474369595976,0.4968717685344614,0.6601966841188164,0.4108335995106108,0.08870284869893905,0.06254720943302493,0.0054163883081081235,0.016281189850071303,0.04725663916234939,0.0021259665394232313,0.30314043538664515,0.1392372524982845,0.369696632943588
50,0.12867844293368336,0.08811403250707206,0.2354380025560272,0.38874997314759885,0.6336859364197304,0.36209910927926603,0.0853892061492152,0.06160183027113042,0.004201952693154074,0.006568297806205989,0.054063047917343475,0.0010313000396365837,0.21587509730742077,0.4777289447216755,0.29809177441309764
55,0.06522168574984362,0.10475682562930316,0.262518258805934,0.4477817245938166,0.6732662786519678,0.3939987542731926,0.026565149989218786,0.0406420994792359,0.001224681528849573,0.01034126349121163,0.05549277095226709,0.0011126503036613742,0.16379363990813559,0.41963301011341947,0.4222076344034187
60,0.09737918936598923,0.0740629425522203,0.5050122365154559,0.381279268266594,1.3546835603364697,0.3680182148521654,0.05387270185475324,0.07000907397035591,0.004350199722238877,0.015887145198725465,0.06145449760991093,0.0004289602259997759,0.14235339629881835,0.6348471989866701,0.38461475973967546
All,0.09975742800033621,0.09993600657614535,0.24712124007610994,0.4874657922335309,0.7413243569683655,0.38608664487160965,0.059214631017533194,0.07538376909428214,0.00351066193898543,0.011646302664907307,0.057262156555019955,0.002350761098805699,0.21817323194712906,0.7742421836138964,0.3998268484855069
