,model_name,fold,sector,rmse,mae,r2
0,14_imputed_thresh_10,1,All,10865289.281844245,2387106.750281458,0.26336904424977503
1,14_imputed_thresh_10,1,10,47441426.38391452,16669003.9409927,0.03940804508681395
2,14_imputed_thresh_10,1,15,5767086.429537817,2649960.6543233376,0.39998004591614045
3,14_imputed_thresh_10,1,20,1982804.2474809086,950383.7329856743,0.46162221606663334
4,14_imputed_thresh_10,1,25,10666000.914880177,3442917.9103939543,0.5175478346485842
5,14_imputed_thresh_10,1,30,9889452.928308252,5137459.392555645,0.33951953096233634
6,14_imputed_thresh_10,1,35,1280806.3922276536,495097.5311854536,0.7717751307126332
7,14_imputed_thresh_10,1,40,1863135.5363789194,773084.8200803812,-81.7369723337875
8,14_imputed_thresh_10,1,45,2951454.004365615,1263554.1579409533,0.38702441572932145
9,14_imputed_thresh_10,1,50,1588314.5599247003,761791.093739379,0.20754347704707066
10,14_imputed_thresh_10,1,55,4752916.777875967,1992875.18856425,0.14961587161058898
11,14_imputed_thresh_10,1,60,723256.2699259133,350172.9240290059,0.30768291235590006
12,14_imputed_thresh_10,2,All,6008095.180415297,1763873.80874567,0.2197343121738613
13,14_imputed_thresh_10,2,10,4815021.6846925225,3155178.4671850605,-0.3041001074579337
14,14_imputed_thresh_10,2,15,2297591.806953083,1740143.2261224287,0.5441950978047724
15,14_imputed_thresh_10,2,20,3049526.8419339415,1407863.136103425,0.20119613079139254
16,14_imputed_thresh_10,2,25,4225424.408635727,2108145.784016805,0.526947214664508
17,14_imputed_thresh_10,2,30,19731083.299914956,5727801.511644987,0.04613979016811609
18,14_imputed_thresh_10,2,35,1014242.4260495357,786910.8711345212,0.6812230603819014
19,14_imputed_thresh_10,2,40,1869107.4876531817,1036721.7325773344,-457.7932573818678
20,14_imputed_thresh_10,2,45,2822738.2885783087,1553584.4845544507,0.19522767508339944
21,14_imputed_thresh_10,2,50,822191.0769266126,670924.058779387,-0.021434374719439875
22,14_imputed_thresh_10,2,55,2062576.1280565741,1125740.4734834156,-0.009881100345359384
23,14_imputed_thresh_10,2,60,680786.3501221222,579227.84132966,-3.99830304593577
24,14_imputed_thresh_10,3,All,4471304.870744515,1626049.8857351495,0.564416707891731
25,14_imputed_thresh_10,3,10,2782206.2780171507,1829475.8191145484,-0.22087215776440883
26,14_imputed_thresh_10,3,15,7417467.264896592,3375585.1602931814,0.4767368989537678
27,14_imputed_thresh_10,3,20,4602985.570346443,1428964.1086879945,0.278847795175891
28,14_imputed_thresh_10,3,25,4418664.5074723605,2285075.221447648,0.20136299365013421
29,14_imputed_thresh_10,3,30,9479039.90517959,4409139.594238556,0.624851050478189
30,14_imputed_thresh_10,3,35,1289414.06411368,661781.3391790347,0.37174058604648486
31,14_imputed_thresh_10,3,40,1591757.7394085522,529239.1639506323,-25.292635439989255
32,14_imputed_thresh_10,3,45,1981378.4146844596,1017960.7842204805,0.5144584566650621
33,14_imputed_thresh_10,3,50,907262.5555439898,516709.72367934673,0.10598799304041473
34,14_imputed_thresh_10,3,55,2089073.7416816554,1313443.3039799295,0.4281332552373799
35,14_imputed_thresh_10,3,60,534950.7824120455,346649.2179567344,-5.265715943624702
36,14_imputed_thresh_10,4,All,8732894.652263075,1789307.661293516,0.3160547177376686
37,14_imputed_thresh_10,4,10,4002680.187575319,3051686.281154682,0.705230727859162
38,14_imputed_thresh_10,4,15,3798702.5071360143,2166950.119299649,0.21434448502358494
39,14_imputed_thresh_10,4,20,2883038.048512285,1176096.6518350083,0.4212410359721187
40,14_imputed_thresh_10,4,25,19262709.469478045,2999439.635248239,0.2499172065085027
41,14_imputed_thresh_10,4,30,11891980.707536975,4724696.370228695,0.4522125056111024
42,14_imputed_thresh_10,4,35,5644070.955888944,1786051.4860707487,0.248373803444507
43,14_imputed_thresh_10,4,40,3243102.5553217717,1133410.2165039259,-80.64288292034463
44,14_imputed_thresh_10,4,45,2379550.0768922954,902359.5883884757,0.4805506186865629
45,14_imputed_thresh_10,4,50,691053.1534336542,471407.78013538185,0.693713428233315
46,14_imputed_thresh_10,4,55,2220274.0577666196,1121765.51651708,-2.0542140957340296
47,14_imputed_thresh_10,4,60,337447.71238850174,180930.7873708541,-0.515830759135224
48,14_imputed_thresh_10,5,All,23180059.442029472,2498698.6074078945,0.04155105171742546
49,14_imputed_thresh_10,5,10,6679929.234096388,2626427.61772132,0.26579977977975644
50,14_imputed_thresh_10,5,15,4084659.29712518,2396098.306542999,0.040271739544779694
51,14_imputed_thresh_10,5,20,3506682.2796750967,1454879.8289385762,0.36174702466743347
52,14_imputed_thresh_10,5,25,4418290.543838337,2103122.620563043,0.6632269111534816
53,14_imputed_thresh_10,5,30,49840385.36219164,13933692.6125599,0.024496500692215872
54,14_imputed_thresh_10,5,35,1381941.6766304108,841130.7802691137,0.6168958213862217
55,14_imputed_thresh_10,5,40,49680563.00236995,3174708.1665195026,-0.0025789929989881166
56,14_imputed_thresh_10,5,45,2133584.7500645365,967069.7269155589,0.23427772486415288
57,14_imputed_thresh_10,5,50,1051393.759484015,496919.4714723573,0.21376075428868613
58,14_imputed_thresh_10,5,55,1533551.660588128,1071754.0230560848,0.2564732446301278
59,14_imputed_thresh_10,5,60,735705.7746145092,236862.26501439032,0.5147206686690298
