,Date,TR.TotalAssetsActual,TR.F.PPENetTot,TR.CO2IndirectScope2,TR.F.OpExpn,TR.CO2DirectScope1,TR.TakebackRecyclingInitiatives,TR.RenewEnergyUse,TR.PolicyEmissions,TR.PolicyEnergyEfficiency,TR.PolicyEnvSupplyChain,TR.PolicyFairTrade,TR.PolicySustainablePackaging,TR.GICSSectorCode,TR.HQCountryCode
10,234862.12989575884,154782.29725298923,446434.4122695812,534713.093314254,1154977.635215595,924927.5085485579,27609.24147327605,71013.686334053,5137.115164160053,2851.5836680784655,13832.206884695923,1539.8119937982397,118357.93075236774,947597.6892302514,175557.54296234174
15,196766.64667727178,186941.9758812912,346441.24375701195,592861.8862670563,1567907.7793649822,712701.1084292005,29425.234631681622,28781.880818061007,30735.990882202786,798.156994565512,11157.097482489575,2879.662703745018,264161.1232384846,844121.9036668858,272630.93110127805
20,204085.865727219,129588.44124360642,374015.0933886043,296700.36581127724,1057988.9307386226,324942.72548667894,32886.234527561464,28060.185840650287,8237.790722773863,1882.721404387328,8736.168422489542,713.6988850521361,164612.7321876062,287305.05495385587,137324.28807593623
25,248424.52779916103,271245.6269298937,418489.636945887,326325.88211040274,1203062.6408154857,429261.73937563965,41862.91730106287,22063.91071146354,15032.937345615459,3081.80772359924,10419.53866311002,749.4476148078498,99026.48821379812,808128.8633701772,184506.6623943768
30,379855.3404985786,177378.99928724603,687196.7721504915,767176.231062868,2742221.2556736358,1037246.1376244213,49111.151927314866,31773.751183397457,10674.827610799282,5542.357457560644,16641.81330407588,20679.660093556457,282306.61902007565,3538080.0593507574,390697.9734694899
35,117249.88821708092,102108.53839145153,306294.03001935285,219246.14433579386,1086471.180895957,309118.87276778964,20450.214978414584,15925.7671092268,2532.639243890518,393.6006115873211,9954.312559324258,566.8251799737948,146894.20806584402,920256.2428048827,170538.5007525832
40,251497.9114966849,158702.6289741144,323165.9038777004,301145.480979772,842134.1862054856,542022.9908955778,33875.16222807494,23895.48688627246,9451.217885023647,5248.085275699051,12751.293255719658,687.0483752652309,119946.76278444997,763678.4356563387,350035.95960678946
45,205803.5501831277,158943.909089793,322613.259925012,406019.8025391791,1019254.8224726005,408634.5858965684,32062.268259990004,14456.898224022869,7644.517641332301,2480.2098919374907,6967.147786907325,663.5220602650896,150524.9249156641,856185.2536088708,164130.14248468322
50,117182.93367844207,115271.38227455609,299584.7235140032,313057.3577179276,731312.1832338583,434381.080460218,25050.27376653394,16464.79329057275,4927.406243279937,834.3916120233677,9956.12669710936,1156.6228441121186,126045.34620537779,1117595.8781121173,175091.38961899353
55,221993.66061464144,116554.5767079062,312164.7910579039,694162.4104568484,1196199.4467663236,598644.4156001572,17736.779985348803,11808.326624596504,1856.9436247691763,486.7174393407516,8927.125790373933,771.096162056025,141614.6168665554,1985772.486045767,196373.45451785775
60,130405.71872870634,89214.3244687229,294120.94532783073,226338.69906256403,638774.4511632925,299337.96751845535,10906.609666603408,10269.553160835616,5673.217282674357,618.1093242804203,6219.440719682901,449.63479749073224,88444.60139666969,906903.6138846418,144402.1371400245
All,216063.05370473646,159273.89953289344,374403.46469914337,396422.12469856057,1190536.8385683938,499804.07564804674,31637.130192842826,23488.77657360438,10315.056838737177,2447.0031163733893,10201.880792422215,2442.09755381917,157044.38666514173,1004508.9789815093,213108.69164656094
