,Date,TR.WasteRecycledTotal,TR.TotalAssetsActual,TR.F.PPENetTot,TR.TotalRenewableEnergy,TR.InventoryActValue,TR.TotalDebtActValue,TR.CO2EquivalentEmissionIndirectScope2Locationbased,TR.CO2IndirectScope2,TR.GoodwillActValue,TR.SGandAExpActual,TR.WasteTotal,TR.F.OpExpn,TR.F.GrossProfMarg,TR.NumberofEmployees,TR.EnergyUseTotal,TR.CurrentAssetsActValue,TR.CapexActValue,TR.F.GrossProfIndPropTot,TR.GPMActValue,TR.NWCActValue,TR.CurrentLiabilitiesActValue,TR.GrossIncomeActValue,TR.CO2DirectScope1,TR.F.AcctRcvblTurnover,TR.SupplierEnvironmentalCommitment,TR.SupplierEnvironmentalDueDiligence,TR.SupplierEnvironmentalPolicyTraining,TR.SupplierEnvironmentalRiskAssessment,TR.TakebackRecyclingInitiatives,TR.RenewEnergyUse,TR.PolicyWaste,TR.PolicyEmissions,TR.PolicyEnergyEfficiency,TR.PolicyEnvSupplyChain,TR.PolicyFairTrade,TR.PolicyLocalSourcing,TR.PolicyResourceEfficiency,TR.PolicySustainablePackaging,TR.FindingsfromSupplierMonitoring,TR.ClimateCommitment,TR.F.InvntTurnover,TR.RenewEnergyPurchased,TR.GICSSectorCode,TR.HQCountryCode
10,0.06372773649881623,0.3602308144732252,0.06656031711471909,0.041675469720285595,0.07355820276894996,0.5082713614072252,0.04431321536095254,0.10614371954761004,0.4063990812923163,0.07425201069750208,0.02914688120763533,0.05212349316264042,0.6989233542708913,0.15649445136280513,0.12067210183387718,0.11105127808100516,0.039045147560044235,0.02772874261830579,0.10718692519833539,0.03848443927139833,0.0065678584270580515,0.017610162286928074,0.016843466116105862,0.13615695106160602,0.02916985957189234,0.0,0.04022372056522722,0.0,0.0,0.00944654522058514,0.04231214408735708,0.0,0.0,0.00610757495983877,0.02802469456802769,0.0,0.014052990321870745,0.0202691070629763,0.08433969089643037,0.0,8.779203159733708e-05,0.05656040362609662,0.032593804838850625,0.47752413341892286,0.31948372023673866
15,0.08086700606715674,0.30406418615223535,0.05580742149830458,0.06454823027492239,0.0589290227762102,0.39981519933134024,0.03508373124114955,0.11700843549009239,0.34351995807245594,0.05679783872967414,0.018048291369117106,0.08374410887271917,0.4637152897515914,0.12612757421285536,0.06926797866454891,0.11433258121037218,0.026023122048960796,0.026235942381815654,0.1064246681267628,0.030918776323171616,0.005952949855994003,0.00891444423265004,0.010490770102734928,0.1732476943239972,0.03171447842534124,0.0,0.03684593346839666,0.0,0.0,0.011003787376052801,0.031340476071356434,0.0,0.0,0.0058616592743854935,0.03157231121407308,0.0,0.011654293215940786,0.018611431185696813,0.09037871352277696,0.0,0.00011003935593143102,0.02472540856506225,0.02440657833303432,0.6365481998658348,0.2432617224514402
20,0.09042876701943738,0.31927976279397563,0.06149121822757743,0.05222895907775828,0.03836212716087372,0.44864247560797954,0.032487850502705036,0.11662216317060604,0.2744393509884186,0.07067419604373344,0.015839028797106414,0.04917789970313761,0.5454287942978532,0.12196623629183713,0.09753683196866246,0.09399659246985528,0.023186421471822313,0.032297510850727594,0.11851360024600228,0.031216712013275374,0.006199959049609402,0.010897930223708996,0.0135717958063405,0.20038911936647422,0.04214435758848909,0.0,0.040374598819470926,0.0,0.0,0.010854710610435001,0.034060200652272915,0.0,0.0,0.005963996716726396,0.03595186627046452,0.0,0.009830234240499133,0.023037672750570774,0.09342387179966408,0.0,0.0002185231105217922,0.04162137730198405,0.013057371879955924,0.14527283411117087,0.25702219732602016
25,0.08597829748818153,0.3057660473657165,0.059243893979163714,0.06625043365789492,0.028697858172588117,0.4652860150022939,0.027497886187673345,0.11389088450203638,0.27657613715608964,0.05470886562482449,0.016696719858642066,0.06325099870869225,0.6110690942288459,0.11590346132159175,0.08781045788868551,0.10519798670829912,0.05043538638858778,0.0325370871837909,0.10540382293971416,0.03280479500666945,0.006815187974217955,0.008827328296723733,0.010306791538770689,0.1741106877071596,0.06994557623400478,0.0,0.04236675373322089,0.0,0.0,0.021749914713019153,0.03981975675979042,0.0,0.0,0.008767424048182204,0.033230589283310984,0.0,0.010364255993881947,0.024058466294746794,0.11345666767502058,0.0,0.0005266268561279602,0.05243884606886602,0.012941959588257822,0.5568328187614621,0.2773775332012723
30,0.078376808774887,0.3127611994157759,0.06129569830193474,0.05638275899032301,0.0399077924372192,0.41752218941645564,0.02907115044022725,0.1227063283502933,0.3374630434688374,0.0666246503486916,0.013125356606416465,0.053224574460904235,0.571599823226708,0.11428479001440636,0.09573158510384558,0.10688563361850396,0.02990030654134354,0.032377227857754376,0.12645979662772247,0.03164169489709724,0.014451832813167111,0.009170554162953827,0.011738792939356231,0.18416642708399664,0.07526183074438987,0.0,0.050026590018586684,0.0,0.0,0.01790546615887253,0.035511945007395324,0.0,0.0,0.0065865592025610865,0.03738674252158694,0.0,0.010645596368457138,0.022645694895920745,0.1253271876777756,0.0,0.0001600082012346454,0.040752175902336055,0.014008792540973952,0.5911119191464886,0.3057338324705599
35,0.09246772484531324,0.25784595773557273,0.076581801834861,0.04410784805868808,0.03464860954361694,0.4714866690428875,0.03841432224560592,0.10623984774703187,0.24927411743997877,0.15675474835852687,0.02900047852876218,0.04759887790066129,0.6710252911331978,0.16428990357130316,0.11090448664974686,0.07738457036763713,0.03868488434348151,0.02908718262314502,0.16290237468777258,0.021869464288060837,0.007744568517511594,0.01697280955242833,0.023389836398972293,0.1356272985689713,0.025424853242363106,0.0,0.03290570964490721,0.0,0.0,0.015161968113375371,0.04650462997931625,0.0,0.0,0.006968807255081059,0.042456952593388546,0.0,0.0073495115532486435,0.024306377757003377,0.11226186626791573,0.0,9.585924317915869e-05,0.04979873189803192,0.012761829462089433,0.05515508933637935,0.32585895817047933
40,0.09063679944074383,0.5360501748865907,0.1994682986652039,0.060750471054858146,0.03186295042185345,0.6453512704207726,0.03539488069430057,0.13615717923678516,0.28750699615276487,0.17081330606170395,0.01040110178347783,0.08170494304321713,0.5725563272291685,0.28616731675820617,0.08876793370334467,0.09473676044253235,0.020286159430245622,0.02920350036835704,0.05122150562393308,0.022462591468905436,0.005100249439370379,0.012517688705524346,0.02178600475831551,0.2537950403082311,0.08719184599110136,0.0,0.03012975653231191,0.0,0.0,0.007373490964858722,0.03454595969090481,0.0,0.0,0.011043539573769018,0.053381717062235656,0.0,0.01077401678420676,0.03565374795798954,0.07730582623396053,0.0,0.0010782997785159865,0.0316271975731036,0.016197165204710966,1.1908264141357678,0.4467449219174152
45,0.0918346111327516,0.29315778511746937,0.06127450717431277,0.07306989336723847,0.03631554149417758,0.4183335092486303,0.02794868226541327,0.11875826513398802,0.29713734275915626,0.0869956306146962,0.009836105714548392,0.0502553605202335,0.49624706346491765,0.17033709168073485,0.0914783348571902,0.09157554241645115,0.0406790511291634,0.03344066948160706,0.10651288418878702,0.03461583931714123,0.005042286297452321,0.009267225145141078,0.014667059253810665,0.27616516066485486,0.029665089986759024,0.0,0.051799385451110416,0.0,0.0,0.015378779463622549,0.032445298874112,0.0,0.0,0.00843370192911606,0.031610032935434865,0.0,0.009946009816261906,0.026941728541344898,0.09605960058073042,0.0,0.0007662974558554419,0.04210400666186094,0.011780860381036255,0.039181784601606096,0.26149903561097015
50,0.10504261431158017,0.31316878711497725,0.0925566248729025,0.062932800696725,0.03895105799639635,0.44540539360520054,0.026308639121776646,0.11268352444912223,0.26996107102727046,0.12325466731384485,0.01620011822560902,0.08158678226418903,0.5522760687796074,0.1884070849500564,0.0889092230989085,0.084178566864948,0.03316045767273365,0.035164177475209765,0.13602460511028716,0.020915288810647397,0.008300118441922551,0.01386735861630364,0.018621331457508508,0.23206051980025982,0.04455313316850787,0.0,0.04736723907945231,0.0,0.0,0.016889398119307227,0.029523528047546477,0.0,0.0,0.005583802997710807,0.04217917232705244,0.0,0.008257832296604923,0.023122949998539213,0.09405002442230564,0.0,0.000161495461543775,0.07651231447590355,0.014924412500886145,0.2108697439384821,0.2306715932317155
55,0.07749812912686198,0.3749664616495805,0.07294462777083398,0.07340018590711692,0.08813742464281549,0.36871251710166436,0.06162918618049066,0.11706314217283813,0.289543835808601,0.09062288092317909,0.01881691356646708,0.08460214497065849,0.46533166380208985,0.1228326061729462,0.09017387941495596,0.0901573644930721,0.021691766509264597,0.02549066492183631,0.10619243177059685,0.03012068716506957,0.009587814813846162,0.013499673186896554,0.015057930285178798,0.15655707236555455,0.029890269233328926,0.0,0.03263141153935655,0.0,0.0,0.007762946574003271,0.03301362208225415,0.0,0.0,0.00665816669494468,0.05532017098390907,0.0,0.009968912972143884,0.022516795872895647,0.07975985290091361,0.0,7.839610281380367e-05,0.03957799677149377,0.04740611467399101,0.12382472194267855,0.33842058916793394
