,Date,TR.TotalAssetsActual,TR.F.PPENetTot,TR.CO2IndirectScope2,TR.F.OpExpn,TR.CO2DirectScope1,TR.TakebackRecyclingInitiatives,TR.RenewEnergyUse,TR.PolicyEmissions,TR.PolicyEnergyEfficiency,TR.PolicyEnvSupplyChain,TR.PolicyFairTrade,TR.PolicySustainablePackaging,TR.GICSSectorCode,TR.HQCountryCode
10,0.09763036570103359,0.10728476742228396,0.14909078625786817,0.7539722344055765,1.4281306404471386,0.423380762917453,0.011165949829967863,0.08309169472915894,0.004347470367468981,0.020934914295750853,0.03712802312140529,0.0016618642904882993,0.2033420593684594,0.8560474492845027,0.15830254929396081
15,0.10094795328572677,0.06319724701902973,0.09209313076009329,0.5398300882199931,0.8056641101106874,0.45155130504464014,0.014550611100981303,0.053732264184113,0.0017078646657848048,0.005420787273068129,0.02501145887271875,0.00264439204326367,0.22424582790113884,1.0762968120740022,0.2347443946953743
20,0.11522768820576147,0.07273378385344188,0.12620433072286497,0.40827544275046124,0.7098522981845721,0.33694950341218327,0.029456120140028144,0.057722790559888576,0.0039865009391710305,0.011581792382075294,0.03691135380194891,0.0032081977832192333,0.2423524242785556,0.44874080726895305,0.2410507369482711
25,0.1224284347143851,0.06913115145378881,0.11013597116496382,0.4013696103789208,0.8937758996916817,0.35628604205948927,0.024376412843364285,0.061017654485390586,0.002502352015545163,0.00949660707779812,0.03269709733282517,0.002597463584399351,0.27638403780028253,0.8753835326461086,0.3015249944000702
30,0.1025968959410959,0.08487296108359592,0.0840071590013989,0.367857995468015,0.9176039557724255,0.391094275537456,0.01175686506642144,0.05469861395814363,0.0019231331633534929,0.005055987014954168,0.024796488356544057,0.011215586766092883,0.27867499640163373,1.0229572356007435,0.28722715779962943
35,0.1232977410718562,0.09182018197657062,0.1082634654457272,0.3360005956400236,0.9188972728089877,0.325000150321041,0.02036727667560145,0.058048079378419826,0.0021932915832565667,0.010093642930598674,0.027148294168043027,0.003097551991878297,0.2739746375104835,0.09626365190977892,0.3094278514949303
40,0.14920995148061694,0.22687996099114702,0.1517591337472951,0.4057495150547245,0.7669808124098337,0.45977458396816856,0.021782878278057652,0.05262208853557866,0.017250491083927046,0.01691299186428545,0.05507851648249669,0.004374719507392196,0.2574450421175159,2.11580198762972,0.7153128044374866
45,0.1241435549807887,0.07664708527335964,0.12089553336716209,0.45435264223386346,0.8518974586433647,0.48255075110856743,0.0327955697935036,0.05866775588281003,0.0035598500489580015,0.014101109537400394,0.03520231449982882,0.0013660496317933408,0.288009031887868,0.10945919480186288,0.28502597184418405
50,0.1271071886563279,0.12199709380250472,0.0989930343438617,0.5065342702704787,1.2133866048851834,0.42955936768255004,0.030332415392395406,0.09874837825726038,0.0061045757228496405,0.018486403922177888,0.03214422373745125,0.004071373745395977,0.20638555534134095,0.41867706158436646,0.3917391206208164
55,0.12359668327982355,0.15842362121499298,0.14306962278434315,0.5202676458507003,0.8668431566885892,0.39348184934388175,0.01508112302353347,0.039978765216504904,0.00206464100255623,0.02169300427860589,0.01840874122780566,0.001234329871484446,0.17919799528527403,0.254758355272769,0.4278734047353342
60,0.11099163193623585,0.07961576276453483,0.206382207750951,0.4761283782869499,1.481439093467289,0.3359204820854987,0.017359335001005942,0.06359458380017048,0.01043474144294082,0.018849602511447728,0.04602949812282252,0.001506913836254222,0.18323987824618734,0.7421426455742308,0.34689033730674984
All,0.12105679563735769,0.10346617888282292,0.1213370214126142,0.4344092960297726,0.8612829808091884,0.4005232330523926,0.022960706658489892,0.057852633935753316,0.005444112097902404,0.012019886788395646,0.03535821318447153,0.0034538812585233817,0.2526280143897232,0.8415003535784686,0.3524607785425923
