,Date,TR.WasteRecycledTotal,TR.TotalAssetsActual,TR.F.PPENetTot,TR.TotalRenewableEnergy,TR.InventoryActValue,TR.TotalDebtActValue,TR.CO2EquivalentEmissionIndirectScope2Locationbased,TR.CO2IndirectScope2,TR.GoodwillActValue,TR.SGandAExpActual,TR.WasteTotal,TR.F.OpExpn,TR.F.GrossProfMarg,TR.NumberofEmployees,TR.EnergyUseTotal,TR.CurrentAssetsActValue,TR.CapexActValue,TR.F.GrossProfIndPropTot,TR.GPMActValue,TR.NWCActValue,TR.CurrentLiabilitiesActValue,TR.GrossIncomeActValue,TR.CO2DirectScope1,TR.F.AcctRcvblTurnover,TR.RenewEnergyProduced,TR.SupplierEnvironmentalCommitment,TR.SupplierEnvironmentalDueDiligence,TR.SupplierEnvironmentalPolicyTraining,TR.SupplierEnvironmentalRiskAssessment,TR.TakebackRecyclingInitiatives,TR.RenewEnergyUse,TR.PolicyWaste,TR.PolicyEmissions,TR.PolicyEnergyEfficiency,TR.PolicyEnvSupplyChain,TR.PolicyFairTrade,TR.PolicyLocalSourcing,TR.PolicyResourceEfficiency,TR.PolicySustainablePackaging,TR.FindingsfromSupplierMonitoring,TR.ClimateCommitment,TR.F.IntangGrossTot,TR.F.InvntTurnover,TR.RenewEnergyPurchased,TR.F.RcvblTot,TR.EnergyUseIndirect,TR.GICSSectorCode,TR.HQCountryCode
10,0.0,6506895.157515706,2845832.5030506765,13601685.911753356,8484376.954111192,3177486.6333307056,2672434.216111068,2861770.324819609,9754457.165709803,7902237.807149534,5546774.280188199,4726017.61148869,2997572.769782609,9143365.614026677,62738176.00753564,1587800.459907781,1475003.1356260763,3856437.2294955277,4588119.375279236,11726118.599660411,2789485.48647489,3960910.3693850758,5949355.092487961,3636739.1656690217,2690184.8652280113,1714111.059728499,10368939.515952088,17827708.485112987,30663643.14013307,6675663.031799553,1167616.5698814138,347081.9751609535,2685067.060879514,41635.077488883304,1204215.5474938161,614682.8804022769,54205.17728870695,22909302.943260968,5359359.251729495,2027701.4986537467,21602936.27679358,3851359.888851578,12292441.520955523,7918160.877895428,3499645.0592424683,26408.012091067223,204794.66351445203,0.0,0.0
15,0.0,6738356.041356279,3476098.6008261214,10808249.261858253,7051576.019203705,2848855.4179363768,1892573.7869019245,2197094.120266545,9793988.576850131,6079297.142640361,4367026.119114273,4126343.3710949873,4518591.289025241,7019363.286203317,54284791.39724284,2153615.8336085235,1445710.7679273924,2973761.5423244713,2989359.406468257,9935283.594380429,3792542.4398412695,3155952.771238716,5700823.027303653,1813520.2155670666,1785122.7114470752,1333881.3304464282,9060156.265512124,21330189.41817004,36439201.91309385,8083216.416474949,919307.1874174969,260977.1619511021,3637586.0322561986,97078.94118059584,276110.7469517744,157147.92966862718,150450.3111511108,17403351.19004572,5571182.776242157,2236055.688973827,29635953.340031642,4329369.8621596135,10132844.746932954,4335114.575634049,3873440.5063011046,33504.36580186675,125143.72528884599,0.0,0.0
20,0.0,11618402.38335247,4819255.828706818,20170914.434759423,11990436.455087531,5075991.413093519,4552678.959463788,8768053.091511557,17369846.533170514,10967467.337110534,8391628.823571295,7245774.825586425,29185867.593471255,10745985.656532664,148567180.59693122,2951512.4230286293,4751783.959156256,4249289.602822815,9779030.081884822,21688360.034607217,6267801.137187026,5963101.106985156,7260475.832571295,3855443.3550306465,3256521.6539425217,5629642.331505629,12779990.942337787,23137475.199509993,41834754.452085875,9674688.971829383,1555646.7876474166,483331.356778664,4645915.07474214,168001.63417227461,694911.6205535163,435907.39757820015,124466.65791164277,22559943.453058403,8960882.29089721,3803159.728867636,35854908.05131353,6903346.401122492,13176433.284603681,11462903.899326151,5841372.864387933,54423.781368745345,2038215.5507450185,0.0,0.0
25,0.0,7759618.680391965,3560235.052545918,15437000.496514285,8323460.5112253595,3830468.6722384267,3332714.30862653,3652736.606216007,11817568.364340175,9213296.158530723,8762739.57343545,4836629.231320477,5579327.974890683,8349344.536237222,81961593.04448187,2364522.66306568,1880422.6619783163,3143819.7059332677,4122208.518529549,14970369.770419093,4145396.871938765,3846532.68276075,6393752.844028596,3163512.8701848984,2864524.925459182,1295675.5638308863,10025009.366471644,20985847.252761655,37889624.91110968,9721520.458468962,2466145.5013952293,511825.8578484065,4375216.597386469,123605.92461014303,908050.9055141694,207715.95630312883,140043.1088347474,20592633.911287706,6672229.618472927,3965325.5813783593,31938487.554079816,7959079.111051106,10830602.335650994,7268024.155706902,3704097.3660068475,46265.62026334772,128160.66346587506,0.0,0.0
30,0.0,8671319.409287063,4017119.9435267663,16021970.399930464,7583990.232469301,5106578.8543052925,2936328.234808255,2540188.4802417965,12648983.403632497,8049541.966903074,11905615.426296322,4867203.853723016,5751953.202877257,9169759.207096675,78558886.51600823,2532318.928158985,1583509.9260705244,3771232.752007428,5165683.814466381,13003843.567021772,5682316.390101909,3978420.428023486,6954783.922626364,3181223.027197563,3772226.264289925,1907550.4629944996,12220335.229790563,22367277.77461912,47424795.544581674,10162505.734701144,2149543.8791094422,411301.13995708566,4703416.247507659,218869.3275767327,673185.6291745969,161998.47028392914,159758.33950079334,19962904.099263005,7979446.851110836,3428096.5987170516,37894144.69110205,8998455.592717014,10843624.21174464,8353781.635531871,4145011.735737199,37832.136268421425,187263.49117458798,0.0,0.0
35,0.0,7312748.30104502,3222551.4105448094,15950569.710777264,8556391.797923058,4000720.550420061,3624564.6699054465,3022146.953570037,12284656.390594617,8124366.276956156,8763141.600705083,4808629.235881382,6333928.583796602,8474797.226205746,85246987.1648426,3102616.1815970936,2763166.5727621033,3850494.071201756,4938184.594964739,14706013.867210103,4726555.018736792,3298607.0954884603,8077637.321944214,4888548.367876211,2638390.5503077847,1175582.851021225,11089669.345037691,17767716.70534079,40309878.93601567,9993524.955821255,1360150.0821213888,557609.2049369895,4067885.468093,192403.32247311051,1024474.4826745152,132509.74551802204,44814.061281242415,21512883.331927236,7337081.057768449,5139452.103340942,33273320.915820703,9408428.473230252,10694595.718033338,9230171.05889702,3958135.1033377503,59551.32680551434,68924.43156790119,0.0,0.0
40,0.0,7739114.729365428,3165340.605295861,13307897.895218592,5593018.180026283,3726768.162092345,2681264.3186808564,2527383.850164207,12210926.221331187,8405617.58208625,6571914.050484031,4776780.696709931,4773177.587981129,10060105.014544263,69162199.9488691,1658969.8504045196,3643899.555447555,2222893.3935070937,4857304.705738657,19162880.497667354,3747416.4185289363,3250229.353950834,8211785.042240804,3683081.8733005146,3023593.063920779,805884.7975856373,12802755.444899851,9917380.558359371,40712258.14065491,8383692.136969186,914029.0387089079,239020.72287932053,3717526.6602890077,321295.88853337767,801742.5438125612,506925.47311798186,112239.95409212267,17223578.021470655,9981199.877417406,2730079.5482295933,40547646.56088735,7379207.788725601,9207854.75462231,11040549.551850738,2264141.732469132,269889.1739630702,261693.6191169484,0.0,0.0
45,0.0,8411220.202709366,3573925.2567129047,20696351.32330428,11210083.158298869,4884712.831493079,4526022.238049542,4972312.3147594575,26720882.402962796,10436915.487497173,8927260.711183885,5869864.531335227,21411652.76177071,11856590.444124643,155992657.03917912,3365122.235103368,4721980.951073031,3276497.305994146,11279539.69518927,22103879.786994506,8364380.495250921,7487525.351474193,8629242.29129808,5536698.4803740205,4245381.215464961,3563271.251713075,17798631.300563756,23127037.790834405,48705801.58335138,12681494.62834469,2963710.3856793116,765630.3717586686,5191814.787007447,831356.5187866418,1549678.1332035435,624930.4171587616,259816.3641561019,25591555.553622257,15505201.342945807,5078335.731015178,37519491.94294128,10190577.136535596,19404476.457332645,14176356.928788109,12113577.735775214,71931.22761309706,312687.970387359,0.0,0.0
50,0.0,8639873.73101648,4205035.688847062,21855672.260275234,11135509.148709117,9121954.627378322,6289913.30854477,6135820.964290386,15371621.03247367,12511589.626671333,14053177.179978106,5808969.09088734,8369896.695591627,8740741.371570466,144500761.1669335,5084396.063955038,4695773.144432135,3994961.8330525765,6856564.456697655,25112111.46340202,4599802.70314022,5006594.312837153,9269673.134316262,4505382.357873772,3467697.8781579323,1459070.1859228243,13012437.487964118,29756543.100592177,50796273.30360894,18483724.102889095,3210310.3971321196,727339.1382532875,8370618.351332905,570350.7096392948,879712.671818188,307658.1535264716,78036.84807266151,18305318.937518775,14207071.412872987,4748249.461433997,42038842.36471122,11935464.435548326,19773040.66777928,17886482.3262415,5904178.106505678,53524.35237143851,99729.49927799686,0.0,0.0
55,0.0,7736475.320818392,2681365.5936256214,11408119.42331544,7041264.819601502,3234471.555066108,2355911.124470672,2550201.4214921184,10166412.058423754,5873187.840879733,6668820.5004108185,4009032.431098158,4001482.953094068,6378974.994632451,57138888.89742218,1885823.9251051843,1153228.4117667119,2965213.6706734807,3100161.8418972436,13669998.191191075,3673340.4485201463,3804868.7856620117,6312121.362630692,3877102.3761154767,1641082.8164618944,2555569.5404489366,7934810.16066092,16130059.229734367,31644095.906099238,6138672.202258534,748004.2360238762,253292.36375939008,3573016.8776599998,63826.618200676035,526436.1517395531,240073.34035803925,80364.72624542296,15817080.62235041,5251434.767671709,1733888.7342332816,24663912.879381906,3472311.6775127384,9642970.096544357,7762888.343425084,3445059.417212863,28002.568499740504,305641.22251781524,0.0,0.0
