,model_name,fold,sector,rmse,mae,r2
0,catboost_baseline,1,All,26334458.733811244,4923419.734604019,0.0408945235492163
1,catboost_baseline,1,10,62702129.22761883,27489151.984204914,-0.07888609278830794
2,catboost_baseline,1,15,3452778.7898392463,2823025.829091609,0.23536654520448608
3,catboost_baseline,1,20,3567125.250702315,2440320.307951049,0.09539430453331199
4,catboost_baseline,1,25,19390915.157021187,8395482.103815509,0.28794448804484796
5,catboost_baseline,1,30,47867172.28318754,13096702.474606065,-0.06688862807773965
6,catboost_baseline,1,35,3183508.561129001,2633320.2197418013,-0.1981511468589987
7,catboost_baseline,1,40,44629371.47303192,4083086.806606463,0.0011196060523681606
8,catboost_baseline,1,45,3490301.503760578,2700661.703929381,0.20396977586370735
9,catboost_baseline,1,50,3063616.819719761,2605217.3094323524,-4.2143824545156825
10,catboost_baseline,1,55,5264237.492834704,3945689.8234556424,-0.22856718245059504
11,catboost_baseline,1,60,2245392.564545231,1872145.43853113,-28.22869373126831
12,catboost_baseline,2,All,201200154.61336127,69816500.09581633,-1474.3587199073152
13,catboost_baseline,2,10,64443546.35428444,64054277.324481964,-65.03416846904513
14,catboost_baseline,2,15,64479827.57774179,64313712.03619749,-168.31413115521548
15,catboost_baseline,2,20,474504532.54556644,91001085.21754098,-37194.93474316532
16,catboost_baseline,2,25,65688917.541449934,65603426.7846457,-321.2356069590035
17,catboost_baseline,2,30,61642665.517132655,60397406.05241872,-19.592957613611265
18,catboost_baseline,2,35,66726542.18852144,66711256.213704035,-1337.923492761633
19,catboost_baseline,2,40,67437265.12295581,67436718.70954889,-61218.05160237682
20,catboost_baseline,2,45,66660092.57893015,66593545.39927761,-544.3227105931284
21,catboost_baseline,2,50,67327308.44594121,67321173.37524813,-5656.383548169299
22,catboost_baseline,2,55,66933858.05783735,66896221.37156329,-911.0360572354109
23,catboost_baseline,2,60,67378077.36094642,67375660.27229176,-6122.1522672213005
24,catboost_baseline,3,All,15072110597.214146,322100433.6647301,-0.0004464651276223641
25,catboost_baseline,3,10,5309463.726918599,3545599.6561066876,-0.06800379110363686
26,catboost_baseline,3,15,7997085.872173297,3986666.3625908988,-0.0287435969626173
27,catboost_baseline,3,20,33149423179.576828,1546676689.0222485,-0.0021708216499463084
28,catboost_baseline,3,25,19708636.050455436,3671551.6633453956,0.0006031723868019645
29,catboost_baseline,3,30,3658163.9118185616,2681873.878392431,0.046477022483048414
30,catboost_baseline,3,35,2261846.1603394607,2176959.8139786087,-7.856363433978471
31,catboost_baseline,3,40,2615277.9857121683,2591862.3074067547,-54.7676403653078
32,catboost_baseline,3,45,3102965.492425257,2490216.3211148437,-0.2773471653911983
33,catboost_baseline,3,50,2540210.011519408,2321185.562507847,-0.9532261834352986
34,catboost_baseline,3,55,2477153.4464389696,2224571.227166903,-1.6452889615153299
35,catboost_baseline,3,60,2689825.245576563,2660859.593289821,-5.202238849613185
36,catboost_baseline,4,All,17253529.251939226,16754241.529476166,-5.336361549708493
37,catboost_baseline,4,10,16465657.237528058,16059703.652706577,-12.253541804908476
38,catboost_baseline,4,15,16001953.920111213,15705075.761983428,-10.99649403968828
39,catboost_baseline,4,20,17279402.720237978,16950218.268608004,-41.077091205355316
40,catboost_baseline,4,25,16379557.441003053,16232978.600736322,-3.151188809652192
41,catboost_baseline,4,30,18838315.72511359,15923048.871169897,-0.16265468056637133
42,catboost_baseline,4,35,18248035.506204996,17421780.55211238,-38.137949597687225
43,catboost_baseline,4,40,17399017.091534846,17304182.66064783,-3256.3855497932823
44,catboost_baseline,4,45,16864124.560345385,16709708.34854252,-30.167492188230494
45,catboost_baseline,4,50,17644092.234416746,17582111.906645056,-572.7790094555993
46,catboost_baseline,4,55,18074191.895039134,18005764.93740118,-58.778002785514154
47,catboost_baseline,4,60,16763710.832207743,16745046.82250838,-5177.356126414184
48,catboost_baseline,5,All,72753675.17771548,72532800.71870823,-110.00322146218022
49,catboost_baseline,5,10,71078647.0099012,70919531.02541514,-209.92263054766286
50,catboost_baseline,5,15,71848411.10794331,71428743.79397714,-83.5815660386289
51,catboost_baseline,5,20,72890360.80284625,72625437.67106313,-127.71586041408213
52,catboost_baseline,5,25,71467243.36761706,71281296.5287031,-174.7455119092027
53,catboost_baseline,5,30,69690703.84140773,68699964.4359736,-12.662937256599552
54,catboost_baseline,5,35,73146926.82134108,72954303.84531455,-180.9313187165887
55,catboost_baseline,5,40,74494192.09685165,74493784.87753268,-110558.41264010576
56,catboost_baseline,5,45,73523753.7864847,73470438.83853455,-667.1820411306165
57,catboost_baseline,5,50,74072358.40518637,74067792.36771931,-7880.420582639054
58,catboost_baseline,5,55,72900863.9833564,72834834.02758393,-542.7898250616626
59,catboost_baseline,5,60,74516126.38339803,74515216.0841492,-62643.53916959559
