,Date,TR.WasteRecycledTotal,TR.TotalAssetsActual,TR.F.PPENetTot,TR.TotalRenewableEnergy,TR.InventoryActValue,TR.TotalDebtActValue,TR.CO2EquivalentEmissionIndirectScope2Locationbased,TR.CO2IndirectScope2,TR.GoodwillActValue,TR.SGandAExpActual,TR.WasteTotal,TR.F.OpExpn,TR.F.GrossProfMarg,TR.NumberofEmployees,TR.EnergyUseTotal,TR.CurrentAssetsActValue,TR.CapexActValue,TR.F.GrossProfIndPropTot,TR.GPMActValue,TR.NWCActValue,TR.CurrentLiabilitiesActValue,TR.GrossIncomeActValue,TR.CO2DirectScope1,TR.F.AcctRcvblTurnover,TR.RenewEnergyProduced,TR.SupplierEnvironmentalCommitment,TR.SupplierEnvironmentalDueDiligence,TR.SupplierEnvironmentalPolicyTraining,TR.SupplierEnvironmentalRiskAssessment,TR.TakebackRecyclingInitiatives,TR.RenewEnergyUse,TR.PolicyWaste,TR.PolicyEmissions,TR.PolicyEnergyEfficiency,TR.PolicyEnvSupplyChain,TR.PolicyFairTrade,TR.PolicyLocalSourcing,TR.PolicyResourceEfficiency,TR.PolicySustainablePackaging,TR.FindingsfromSupplierMonitoring,TR.ClimateCommitment,TR.F.IntangGrossTot,TR.F.InvntTurnover,TR.RenewEnergyPurchased,TR.F.RcvblTot,TR.EnergyUseIndirect,TR.GICSSectorCode,TR.HQCountryCode
10,0.0,513329.14162064984,828936.8694058433,7806515.925104711,2564178.3898219857,614420.3658126045,396856.6632646089,464876.45029431663,23788634.443648096,335268.042422645,694164.1273197037,0.0,5004201.546989086,912939.0979324519,45616974.61121445,444892.50828500115,1859122.7029763705,397083.18247889157,285356.5991365709,8479495.254564509,1155432.2668469052,97878.4203166416,1165842.005397178,2004882.483397006,2813652.7889796705,1153837.2530419866,548423.1721210042,2739308.2487498266,118449.95870922922,2164410.3390956493,0.0,0.0,588041.5395316074,17753.307187710816,986.9544431218598,255195.11660029236,21023.5825944536,3259815.588663931,3431827.0261970744,805135.4966756513,882213.8441794643,695413.6390481271,3661394.132333509,2795483.656779724,682221.7272847998,41080.01988425458,78685.35832168335,0.0,0.0
15,0.0,536661.6289806436,703730.678323531,5693858.206602372,1144470.5579736086,184240.19028342597,253284.15244946285,161854.079823749,9336736.971084885,321907.5379362081,509604.3998500457,0.0,2555309.6596555547,614363.5554955141,19017665.565185696,228602.955245681,813450.3958028482,358388.1226703889,166217.86392788688,1430685.869057475,451509.3984963882,21024.50855463701,694077.4119286599,531646.9901932791,804914.4266769999,915681.4445731868,369507.7820498493,1980709.6876240447,86964.83673615065,1382540.3859469243,0.0,0.0,296835.01942930825,17375.5164342095,822.5443888601159,78999.67312257744,11821.670429261627,1251022.8553398435,927579.3798783482,561163.7898200058,570880.5705524673,193525.7475618755,1461675.812644374,527315.0486358207,532044.5385013362,43523.74629447981,14469.72108007646,0.0,0.0
20,0.0,8902289.404479345,4754627.787308963,96170253.6979611,9139611.7542023,4092707.6649252144,1159540.7126130122,1044249.0999007028,100182581.90890968,2214082.8076756564,1452299.5995235867,0.0,5608294.696119325,2284843.433846986,198101749.6497093,1011215.0681274758,4006562.786771338,2543957.3643596247,4569413.9065644,5153696.586821805,1859668.5803482065,144972.6088646605,1394187.8669813857,794371.6309906953,3239755.655250675,4468799.863646579,2610240.5852894727,3485360.0772890165,790623.11544107,3477163.968105138,0.0,0.0,1252760.8159121373,38119.51889773264,821.0740102932523,489457.5526068933,90140.1865977721,2980547.6210874137,2364241.4487751806,10500807.50853371,2195966.5750415623,878730.9156401989,6244303.797476397,5226415.358656291,6200548.474282762,85032.61557936115,203783.2345529654,0.0,0.0
25,0.0,677232.8607402701,852692.4582068818,8783482.015029484,2150786.395534947,402345.7497250071,610064.6363729222,457355.9535276325,17741866.718154933,499751.1366590475,1227888.715018005,0.0,4124663.066219058,939301.0006230817,34145132.01995491,519264.1645818511,1414219.3924152679,624684.8106432084,315948.85353811685,3811493.7367789936,700112.1882243669,79820.86026283112,1005439.7811611712,1209033.1725443082,1187931.676053695,1098649.1953424176,502918.1713153845,2448606.924555667,172816.41412731772,2393155.874340338,0.0,0.0,490072.4379670442,27883.256120003975,841.0293258894023,173728.12482557772,18261.3547517006,1997028.928960642,1633263.2467577986,1107374.5862106103,824501.904108764,332369.8944343442,1905504.8539966613,1257469.4603580914,510195.65764111065,29344.89574208595,20481.244510213215,0.0,0.0
30,0.0,5910980.607281361,3730700.0513457204,48654527.255460896,5506447.282312729,8930664.392350532,1169230.5058178776,810600.7135988582,83838776.93187584,1342228.0874630779,1363350.808215568,0.0,3912130.1270699557,1255490.4634959877,162642752.3558291,992211.1217350978,1743842.7734576112,1480541.0551174784,6052126.575868808,1900311.7597059535,844733.8630805314,32544.906727106427,1098535.9911234763,608795.6847528528,2022337.2554475851,6399358.452580042,2182541.1116794082,2326759.3302915683,1802947.4663278433,4764273.433121558,0.0,0.0,535334.1146649262,38028.228685508715,750.77705913515,477848.9125131739,2908807.935174444,1871301.4774677819,1923700.0940295598,6471080.721024827,2158009.005333208,568369.9362284668,5684380.550211359,2421600.360025023,5201178.677984294,77791.98447973181,210792.59241119775,0.0,0.0
35,0.0,8951452.664454246,5475748.107570238,59253300.938347206,7109607.092584677,1267535.2337218286,589125.3661735355,1282136.3372959674,64937365.87276432,3443666.2963453857,1543789.075766726,0.0,4889565.624856459,2095265.4464180088,167684239.45885897,1042809.5157159545,11828133.646739226,2062532.0970428812,275907.37226820085,12712030.19500858,938470.9879627577,799053.1753566562,2272701.1852031597,3927160.355563237,24372411.19757248,3924850.35921108,771390.7998098739,2960945.2189883315,208230.36862719874,6524613.267680852,0.0,0.0,853655.7273873037,32577.89455970917,7969.9511403023125,464892.95118577936,74668.93841352154,1754362.5423064125,2226703.7993831006,2836467.290527159,638270.5550467459,1304818.18731253,3907387.1227960433,1896155.3000280634,3539786.449634265,9620036.199883472,158336.1727164555,0.0,0.0
40,0.0,503737.46066731703,750137.1058965708,7791594.0900837565,2833243.3714975333,325336.5239048122,390241.86613720894,504168.9097667506,21373133.79753428,444883.92469369253,758597.0181114251,0.0,4435912.98238677,556620.531023163,31891589.231278263,742769.8170492363,1863701.9258742263,747542.9345822547,767640.0653882886,3143775.0472857566,969510.6120473507,165919.54340916258,988146.1231854777,780336.3867235149,2984495.9186291,806962.3894786409,441839.3496620116,1819681.363348124,70311.62135505122,1783247.4491584827,0.0,0.0,653809.8805017951,26760.049293505264,863.081995763147,381308.01303112303,12554.385112007381,2579592.706688434,3206594.55364583,591544.5681213201,609687.2154427188,315895.83978170354,1886876.730360438,1502793.0739295331,455737.14115305187,321152.19134315563,51826.45013601751,0.0,0.0
45,0.0,684765.9694377723,1198316.6567997434,9845085.486927556,2417421.1174210175,488597.3304826004,505950.2976128143,429863.89101031417,20181261.3674923,601652.274991845,1206652.2107384729,0.0,4452958.263072953,1262560.829899479,38888104.56275234,542140.4632663239,1621176.4187776756,712711.1279327644,337475.8910446931,2006789.2772957734,788452.1172104465,88970.92410421725,1471690.8021285841,600818.7268240064,1338808.3173730997,1349132.7113171504,601437.477340059,2773960.997979538,158033.57626146363,2507514.2278898223,0.0,0.0,597424.8921793072,26996.06221730105,762.6110536329132,142810.61672243592,21664.680485452813,2060577.3971494492,2052366.0291028558,1149085.7293957241,1326002.2727271523,267405.6224689325,2139697.5367418746,1552863.352603847,630471.6356464231,27238.417874329247,34999.9331825447,0.0,0.0
50,0.0,798244.5419178072,1336153.269164887,9499041.738929238,2004760.9590468048,615888.6078965625,396913.86412281875,503821.7977965113,23577879.356183834,507616.0010046383,1315376.4336339966,0.0,3756267.733512303,1207017.262456253,53643790.21681918,543783.31823497,2075464.6965410647,570648.177411975,382608.7257920706,4431427.448260358,3011807.354343115,73575.34518363542,1396204.063623306,1611344.6109803445,1423048.1021018154,1345128.8530616346,710295.1369562541,2437256.453597823,145199.56127810545,3019830.072887466,0.0,0.0,567097.8582319535,26615.425987650808,828.8200528464871,225065.28838386244,137993.88691195633,1686498.5522608974,2217711.681344747,998876.9124422264,1148247.3961710678,343560.9568983846,7228674.419495504,5588842.626784883,694865.4173804059,41142.863878347205,62529.437563604784,0.0,0.0
55,0.0,588276.089072615,640307.2530205371,5786306.996870149,1357195.4188773003,312974.6849893762,322023.505707498,351126.58427018917,13340486.520355001,316445.5080991918,505797.59805380844,0.0,2133761.6941899145,432838.85993442306,26303410.350303493,358052.5239533607,1437845.295506881,300107.635369653,213318.05866998108,2164244.475933345,1580194.7783618183,74379.63562964484,566989.3289723049,678003.3320545887,1381276.927128993,1102806.448669323,503838.0819178389,1561414.8203325828,101878.61858972917,1313816.7166093404,0.0,0.0,359102.32405364275,5635.519028253944,856.9019121318607,125998.62456475348,16999.08782062572,1513126.7268782875,1217391.6529639608,525110.2936612391,854202.4682205792,252005.9390228251,2989953.155798829,3357226.2682448947,660872.6353194877,44175.90416034753,60351.9046142558,0.0,0.0
