,Date,TR.WasteRecycledTotal,TR.TotalAssetsActual,TR.F.PPENetTot,TR.TotalRenewableEnergy,TR.InventoryActValue,TR.TotalDebtActValue,TR.CO2EquivalentEmissionIndirectScope2Locationbased,TR.CO2IndirectScope2,TR.GoodwillActValue,TR.SGandAExpActual,TR.WasteTotal,TR.F.OpExpn,TR.F.GrossProfMarg,TR.NumberofEmployees,TR.EnergyUseTotal,TR.CurrentAssetsActValue,TR.CapexActValue,TR.F.GrossProfIndPropTot,TR.GPMActValue,TR.NWCActValue,TR.CurrentLiabilitiesActValue,TR.GrossIncomeActValue,TR.CO2DirectScope1,TR.F.AcctRcvblTurnover,TR.SupplierEnvironmentalCommitment,TR.SupplierEnvironmentalDueDiligence,TR.SupplierEnvironmentalPolicyTraining,TR.SupplierEnvironmentalRiskAssessment,TR.TakebackRecyclingInitiatives,TR.RenewEnergyUse,TR.PolicyWaste,TR.PolicyEmissions,TR.PolicyEnergyEfficiency,TR.PolicyEnvSupplyChain,TR.PolicyFairTrade,TR.PolicyLocalSourcing,TR.PolicyResourceEfficiency,TR.PolicySustainablePackaging,TR.FindingsfromSupplierMonitoring,TR.ClimateCommitment,TR.F.InvntTurnover,TR.RenewEnergyPurchased,TR.GICSSectorCode,TR.HQCountryCode
10,0.009929204357052227,0.08176921496848046,0.028670372884053736,0.13216713066468325,0.08922805079228652,0.41205948983592827,0.05457598936898782,0.059523534086867516,0.21453868096027484,0.09106032298122917,0.10529114789280657,0.22363151146599247,0.24308294602956088,0.06931404063423768,0.31676979948991807,0.25307890602700067,0.0870225719600754,0.05257114137096274,0.12480407947932383,0.04423598318381007,0.06723873394067562,0.04852585403070502,0.09007383319783496,0.17896193369011876,0.09206081311746256,0.07213179720356112,0.023106685050488265,0.007316532335956637,0.021507857314476585,0.007526081686213582,0.015969863048535086,0.03834705665722749,0.00012756336763343216,0.0004002480275319409,0.012283118893799239,0.0005609670044410467,0.012370075214442576,0.06709693379987432,0.13721808237638988,0.00461974566319616,0.014718847024927602,0.14917052146511384,0.060422460191785696,0.22171228691618267,0.043620635318392935
15,0.01319982250661343,0.1360712511220168,0.03544763101372188,0.12353260104419844,0.09963932056410313,0.3256387581598444,0.045957897873727616,0.0333098564092535,0.23816360157835903,0.06809049456954577,0.09479328396304301,0.2724618278837211,0.20879398653017073,0.0794002931233567,0.1933235367643098,0.2188820045097006,0.09180091160685212,0.058513416814643976,0.09044040515563312,0.03669571629864618,0.08031291077770099,0.037086542415829545,0.08211615910770947,0.12218599486377585,0.077206985474481,0.07054281398141835,0.014430190480899097,0.005582623815769341,0.023777044786543303,0.006878497742384343,0.011436881446471904,0.04576122849839902,0.00018161534740455972,0.0002649205346993228,0.009311585712543726,0.0007200635950952363,0.01104352619910513,0.0737611557621435,0.12611960441458833,0.0030592476879097268,0.014552594988042959,0.11159794798764137,0.05635467873551008,0.20284392646699664,0.04663106292322884
20,0.010760927529821305,0.08814294702964884,0.03455842017983377,0.12379202102025683,0.07109639484954904,0.3907545447941417,0.0492136696188757,0.05463507201107249,0.16392070311448872,0.07403657011491294,0.1104752262865545,0.21641068892826115,0.2140378706074961,0.06596755972721823,0.2045780466545036,0.17811973656303778,0.09181099527800173,0.05549809022706691,0.09491065816214969,0.038960988257912055,0.07642042185415752,0.042950012908717146,0.08755546845385835,0.10016113673708044,0.08019007290118432,0.06845062229510054,0.01795326316872737,0.005815888124937461,0.02497945751360531,0.011185292872350755,0.011313874935301694,0.04981821861851873,0.00020436946270098395,0.0005178404413339844,0.011368480043140226,0.0007626489763744874,0.01261750656588709,0.07457344809209505,0.1599441577015938,0.004211876637574691,0.016491907613063503,0.12193985500559143,0.05067236913643186,0.10765631184377364,0.04951175559343841
25,0.009476197361841573,0.07523466115676257,0.034363623048686315,0.1481831293881513,0.07199960202254498,0.4151122979370118,0.048573046185533576,0.057909662940551686,0.15430130956743296,0.06524391273695654,0.11006689712254747,0.18591070605063145,0.21632575160595005,0.06301161478192219,0.19782648154550989,0.182457388648224,0.08763303787025295,0.052234171878542165,0.10551437256666238,0.042256191096709445,0.08138844531462082,0.03889752274016996,0.09036102110526613,0.08531161957882626,0.1117689919155898,0.06790260955990178,0.017476674001714522,0.006798194238453551,0.026179400502513956,0.018001074542924676,0.011263658597702952,0.04323384122721418,0.0001676135135784082,0.0005116283254336189,0.008864264574596282,0.0007592801171446351,0.011003025214006994,0.07195877183059861,0.2096803225586919,0.004050391288780048,0.013918723740925473,0.1387097749715875,0.05712714304422885,0.20832635886613116,0.05103639588822471
30,0.010046660649689912,0.09511784346321113,0.04393298046655992,0.13812599675517448,0.08911212645040843,0.30088438260528366,0.058236090077616674,0.052623285468515024,0.1880142019458181,0.08430991522684311,0.11555984845771917,0.22508891617113247,0.2497962454837599,0.08067621672612425,0.21857820171367978,0.21707373832164886,0.083446865785311,0.06289039870449234,0.08787682354733813,0.03889616897683738,0.06259206147604324,0.04262058078214709,0.09353901866169813,0.10405953532759137,0.10647510492324767,0.07182875512256146,0.013405108620516984,0.006177294575005061,0.03185113435464826,0.011418576716687714,0.007825360074195672,0.05278750477488858,7.512632085453822e-05,0.00026667224922990296,0.008814596171684461,0.002216450066604306,0.010718096926334885,0.07172834300821622,0.20960718734884098,0.003766574229253103,0.01211799021520487,0.14020794045456433,0.05974216665999091,0.19699193422037597,0.04740524452603212
35,0.008491965471913289,0.06576057549321199,0.039333398317873754,0.1294997487287918,0.08040270761519085,0.3644388749806211,0.0537071916760278,0.05156993715129525,0.16079502415701089,0.09730732862941913,0.11419139699559211,0.17864494417427304,0.24461910689190156,0.08007890995602154,0.18503651795770057,0.16791501585860652,0.09442685731770811,0.05765825970314724,0.1251934828023613,0.029574946011602595,0.06914942167730113,0.04674202500537397,0.10297113516078937,0.07568495356678186,0.08795857182780893,0.06937440298044989,0.014357943631448822,0.005057258203844261,0.026872388851004042,0.016385706093167272,0.010083400145853499,0.041876449404127936,0.00040517895626646046,0.0008434358904482775,0.00611366446851323,0.0005346651268789538,0.013045946695495284,0.06594639175977846,0.20604150881552505,0.003802286818226219,0.007870516284457925,0.13140727499445165,0.060462501133263846,0.12693463664329863,0.0592153361468003
40,0.01404521923578219,0.1137036117879441,0.10873031361130209,0.19314844024281605,0.08322528452755373,0.4126417202633733,0.08246954101682627,0.1046226826919745,0.17458304944484254,0.10922523932949812,0.18231268360982145,0.24435379521798103,0.33006536630571587,0.10398089248943544,0.23061443908241866,0.17122562438524724,0.20367577340590073,0.08806249393391898,0.23165326706716047,0.19991072711803895,0.1447197284563393,0.08933824452452341,0.17910461422349494,0.09201795854207673,0.2682207728032944,0.08414025289944936,0.021552030294600122,0.009702975517746818,0.02749417524626647,0.009614667794132262,0.008800825031347041,0.055806677253172114,0.000395052125717646,0.0005766120809930268,0.015534352585893729,0.000986138836141751,0.015402110539163178,0.09577738496309199,0.19716154561530466,0.005650883419338479,0.01273803196235933,0.3133144881656548,0.05296473490172103,0.2146219118847184,0.0968412518461582
45,0.012030042813210124,0.08162789378295705,0.03259774799759081,0.16483932959828984,0.08820315293675453,0.38981161932812586,0.054623909924840904,0.06670222955739769,0.1752231389307463,0.08215591532370778,0.09905743896453681,0.19428967274649947,0.22992402756550723,0.07976351789256474,0.217212022879009,0.18529503428682756,0.08713358923753757,0.060984269563416335,0.12038788226115812,0.04919855224076203,0.0816542351914713,0.04156508997008009,0.0981828833758613,0.1222860224980676,0.08977904268308697,0.07170034707668967,0.022618359467157765,0.006925177643443403,0.032994285324563534,0.016999483109648963,0.008907583631060536,0.04242446260668482,0.0002774812694743814,0.0010900623280225058,0.007080870804158234,0.0008974246932347587,0.015668909547967482,0.07838521311567606,0.1960247739237207,0.00504480827215505,0.011132906791394814,0.1520449750016476,0.06864259532994026,0.16445690888805964,0.05800349375169946
50,0.008878914837173948,0.07202966914869093,0.02930751473677812,0.1445893048723949,0.08071754105786268,0.37398136225463097,0.0515478534864009,0.07703353028321927,0.16084279980768307,0.10512729630929198,0.1186300671750651,0.20829046638186607,0.22518668768045827,0.05667704421959502,0.17411092888878463,0.18259021605197015,0.0953637746049461,0.053850370722146844,0.1263224378216661,0.047896893128188706,0.06523609830003743,0.042153820338591795,0.11256514797701915,0.10448118459594315,0.08910137342651339,0.06542643355331672,0.01842437679902563,0.006121638146594239,0.02412666799467083,0.01591292266422109,0.00590575145685399,0.044561845172548555,0.00032091284128194745,0.0007597789449049827,0.008481003445505418,0.0038256027992793823,0.013176449298410229,0.0669665018369383,0.17500302434184167,0.0033045311452409767,0.014376696518866843,0.13537854374442654,0.06853155515526621,0.2180192606390987,0.0560498691376068
55,0.009323231585650961,0.08979511432294285,0.03078835251075673,0.12332884171582922,0.07828755076303377,0.3812588795337008,0.05321430424898551,0.041108033399294266,0.18453828220021143,0.07801346979924352,0.11433200012944726,0.21953205933071385,0.20525570795491657,0.0564217300677562,0.16303737343835217,0.2633434304544645,0.09458162286418385,0.06303817762564894,0.11152454197645635,0.02855478411341473,0.06475350198380286,0.05017736231497712,0.10342405804584605,0.11889385747922948,0.08540820690454869,0.07387049872944511,0.014201465835343227,0.004750826538417691,0.02392308000095555,0.006613566886249914,0.006291921824406858,0.03895015627277828,0.00010603974874390831,0.0003934029136756639,0.007116628280973214,0.00037061253116539106,0.011378929571287067,0.06067787641042962,0.12954344922859537,0.003629737467312221,0.008416354602322903,0.10365566566738588,0.042679384076103534,0.15121578917846823,0.04715091878610719
