,Date,TR.WasteRecycledTotal,TR.TotalAssetsActual,TR.F.PPENetTot,TR.TotalRenewableEnergy,TR.InventoryActValue,TR.TotalDebtActValue,TR.CO2EquivalentEmissionIndirectScope2Locationbased,TR.CO2IndirectScope2,TR.GoodwillActValue,TR.SGandAExpActual,TR.WasteTotal,TR.F.OpExpn,TR.F.GrossProfMarg,TR.NumberofEmployees,TR.EnergyUseTotal,TR.CurrentAssetsActValue,TR.CapexActValue,TR.F.GrossProfIndPropTot,TR.GPMActValue,TR.NWCActValue,TR.CurrentLiabilitiesActValue,TR.GrossIncomeActValue,TR.CO2DirectScope1,TR.F.AcctRcvblTurnover,TR.SupplierEnvironmentalCommitment,TR.SupplierEnvironmentalDueDiligence,TR.SupplierEnvironmentalPolicyTraining,TR.SupplierEnvironmentalRiskAssessment,TR.TakebackRecyclingInitiatives,TR.RenewEnergyUse,TR.PolicyWaste,TR.PolicyEmissions,TR.PolicyEnergyEfficiency,TR.PolicyEnvSupplyChain,TR.PolicyFairTrade,TR.PolicyLocalSourcing,TR.PolicyResourceEfficiency,TR.PolicySustainablePackaging,TR.FindingsfromSupplierMonitoring,TR.ClimateCommitment,TR.F.InvntTurnover,TR.RenewEnergyPurchased,TR.GICSSectorCode,TR.HQCountryCode
10,0.0,0.10985114472533636,0.03181601797880062,0.08309259260447231,0.09372236445878651,0.4400011667622728,0.05899755819030765,0.06166910429119793,0.15956732510326369,0.11165134710021477,0.07101298811889475,0.17293484212807825,0.30260967487476503,0.06417522897581114,0.35609055275931945,0.33889127185826423,0.07000967426855824,0.021076586511208677,0.14593305149871877,0.0453124967538017,0.06129248355879676,0.05441546162544136,0.060353483931302625,0.2552805661624026,0.0787198134391724,0.062089856991198095,0.020820742239254904,0.010456790376237321,0.00649667089889303,0.01147745134640784,0.017153035461791172,0.017493547810359104,0.0001181395397819454,0.0007006936470879303,0.01883759986520703,0.000504572259920598,0.01268794681599795,0.06506102131376285,0.12937370872190226,0.0037693964501927047,0.02220635865691688,0.07286575691872856,0.0523665895905044,0.3152923356824027,0.07235838250339247
15,0.0,0.13445718132001164,0.03712618623443363,0.07905223530342012,0.09890351623757734,0.3219249531761211,0.05263202331979147,0.032914075612992276,0.16977669680530627,0.09251850511884038,0.07163003943364513,0.2056018502108783,0.2628905870780686,0.06817658054189388,0.2106867193940719,0.3226921218544512,0.08499533492215633,0.01769333465387693,0.12400667714472564,0.032190974203466075,0.07364583771943795,0.04814362549755449,0.058486288369981904,0.24284142458293298,0.07836246654167339,0.06289045258652977,0.02130918593680169,0.0053012913447003495,0.0064262146957662246,0.011210000233105798,0.009930982358594314,0.017785783223993813,0.0003305283201891458,0.00042716291192821797,0.013679955210827717,0.00030083065401184753,0.011532981160204923,0.07925212901323622,0.12150141427738394,0.0026112262508719997,0.0282390599959558,0.0740851419346818,0.046328329696838616,0.3020745954537095,0.05082499689438554
20,0.0,0.11783359628923018,0.03428407868669402,0.07842679065851427,0.07760786302795232,0.38485929443324884,0.053361619869266595,0.05667263539027427,0.10360837409993381,0.09246226518845055,0.07358983152024455,0.15944967662102422,0.26045580217690434,0.05526527358073179,0.23094129407283043,0.25396870087181506,0.08906811624002826,0.01811301419652148,0.11901687021734647,0.03376316746919988,0.06736230238966781,0.054745261304328996,0.06359867026696557,0.16821890985725124,0.08421551728144074,0.05569283593404598,0.020129234636816266,0.006617509869183436,0.007080146512362029,0.016502819251068522,0.012967150323188946,0.022733635863132148,0.0002934178304333999,0.0009693716364104935,0.01804948609200673,0.000588514371617003,0.012457991737271974,0.08024649757216185,0.15384683709532423,0.002628447015719673,0.028408579483932273,0.07224971800163284,0.047545759988571835,0.11560868921361599,0.07988180564412574
25,0.0,0.09983882790779773,0.03788950993213927,0.0865236493750718,0.07926098548814431,0.40769138201159627,0.054544190957971944,0.06193840137993703,0.10123345692929216,0.08118320825872746,0.07665998620580283,0.13444249772741323,0.2779033756273661,0.05459173781780962,0.22317027104228856,0.26034274150489267,0.08209447171861049,0.02044825735427036,0.14026534840201857,0.0427524195160037,0.07221629132635292,0.04779746371460311,0.06114667517162121,0.12849950259694867,0.11764902878992109,0.055945863030545696,0.020619463523524076,0.009071701066298826,0.0065501299672607325,0.02660478216656289,0.011186363571374848,0.02337464175288857,0.0004279834107657779,0.0007464264931557939,0.014262853772549313,0.000464607196479225,0.009093560929164524,0.08365709548733939,0.1934176438984523,0.0031487177330743366,0.025532948345244336,0.08270450701520031,0.05409960143487992,0.29032306899473,0.09525094479427508
30,0.0,0.11688919726257126,0.04644973523056432,0.0960931029366356,0.07860795914604858,0.28943800519956503,0.06620239147412656,0.04314815731159979,0.11711619097562913,0.11143413668040335,0.08147821172858334,0.1639858624445847,0.31076356183125453,0.07390099770746054,0.24813099301276564,0.3106164103002394,0.08768416033731867,0.019280373384616075,0.10814340535240839,0.030604404281313558,0.0566173625838958,0.054387998968363,0.07251712024889194,0.18850672842147143,0.09966737466460762,0.0640376294933236,0.022654903507039883,0.006240444646483517,0.00796967554046848,0.01870620960968279,0.007356786571085946,0.024552609749876834,9.486450567961325e-05,0.00020276055957598992,0.012158570643047567,0.0016485738987095048,0.011746696270007824,0.08173926253326506,0.1908192443862515,0.00238420018029565,0.031039107014720135,0.09098182123612603,0.04874858450860516,0.29138796210090295,0.06952475245631594
35,0.0,0.09829698044717192,0.0362834025474375,0.08520661690036581,0.07944588897931139,0.370741109254946,0.0573333098807457,0.062396064156347325,0.09835926626885803,0.10548425467979561,0.07055293117004839,0.1328158888896034,0.3046052127681969,0.09129674350467444,0.20823805320341382,0.2547760605044937,0.08128771635243866,0.019729339829870036,0.14875538860545712,0.030571602021600985,0.06256004291772665,0.05185491138318473,0.0815878306507395,0.1426891338682376,0.0851591863785876,0.055198410322224646,0.018780177868479467,0.005632110391987237,0.00555680637809066,0.02339112754005194,0.011868054609533175,0.022290849075937473,0.00034424447593791425,0.001251730269314345,0.011625564587421717,0.00036265675875397484,0.015150788748474737,0.0719416597342432,0.19533128575096395,0.002676560991765498,0.01740240518862528,0.08013117995384465,0.0558329108243191,0.16261187598593227,0.08785367270001455
40,0.0,0.15474893026415568,0.08135092322952821,0.10593178280490766,0.09289812387131137,0.349627805402745,0.08553102393265605,0.11073978120870837,0.09643637624112726,0.1368846231548876,0.11259634409797768,0.1917109557417723,0.3606709270929167,0.08134293367076947,0.2525155333420634,0.28452943633649835,0.2156555685684481,0.040477144042281275,0.2809408787420891,0.15815719683016236,0.15615314379181913,0.10878076506900122,0.15718136796717283,0.20690577377308048,0.41330157391107697,0.0662891673218046,0.017727739417840383,0.008865939511625695,0.007153063260704762,0.020186298681616307,0.00960784406055701,0.030506603523089156,0.0011618389100192552,0.0018776990787294223,0.031547323984183515,0.0007555063839669193,0.01851978128428136,0.10668688671182062,0.17842269987345577,0.0033142555379809184,0.013498601586929367,0.196302993511401,0.045425685186949644,0.2830531044952977,0.18728978575350644
45,0.0,0.11828880298841815,0.03466149972759982,0.10320521735565975,0.08902255312249246,0.39657830455529614,0.05581839075052893,0.0780445176447274,0.11276197839646006,0.08979984632539728,0.06523968290923508,0.14229349995697746,0.28224274222979756,0.07166707225269935,0.24144271508313925,0.2895585446267087,0.079920094751361,0.02487038635834457,0.14910975515028024,0.043176384333970336,0.06816298106574797,0.05244899684266569,0.06559854742546856,0.20584546785785757,0.08358044557460285,0.06260370658317455,0.02834414473012275,0.007993907261213759,0.0069974001143818885,0.02405371742507998,0.008073770843098358,0.02033717264657342,0.0003680639718315699,0.0016259843235732043,0.011877713492488045,0.0005204704091808626,0.016238504991119528,0.08577386038095194,0.18672917201541253,0.003571389677794397,0.01898924195854054,0.0934511029845077,0.05959354468624494,0.21182418513557047,0.09945816201477695
50,0.0,0.10303957606987384,0.03431734787331727,0.09668016797902201,0.08985178415893587,0.3821555745567777,0.05208407713815137,0.07855770837208949,0.10219270320013098,0.11035460515783699,0.08089820688716474,0.14840687048836293,0.2766700861637937,0.0541659199791803,0.20707340578731473,0.2806947257111029,0.08757664041245491,0.021434947192559898,0.14994701019008022,0.03876866472091541,0.05759263090727068,0.058020143615886234,0.0906735027724652,0.18660339616689445,0.08619981297212267,0.053403681929893615,0.02078142685154137,0.006575239864089975,0.005277675845226489,0.027527424998962824,0.007526099461061204,0.020283740678561157,0.0006599359086943032,0.0016937505702541158,0.013467643272439754,0.0027228118883301723,0.01550431374597058,0.07104829688150063,0.17210632041517698,0.0023569466369618365,0.01970578394140185,0.08268650210304684,0.06317114563490552,0.25879333433949675,0.10714446026614063
55,0.0,0.1066096147230587,0.031618002573570225,0.08925593127131257,0.08039189588849031,0.3877235109918971,0.0604988417010505,0.03709755731008319,0.12255428124545048,0.09998557080694515,0.08208105407460224,0.1724892754715463,0.24708578566058578,0.04782757000191101,0.17181622894834667,0.3590305790385214,0.08932334958220903,0.021794577581768938,0.1228538484971954,0.026682063076268966,0.05745785495509233,0.05897787241665353,0.08094297845032686,0.19530323965322652,0.08406235300097288,0.0682492788719723,0.014822763836365275,0.005874886014805866,0.005697805564559376,0.009495560459617386,0.0074660065081243844,0.018294875711370638,0.00014166659561293463,0.0008407082063277438,0.014116321311417629,0.0004942898148209733,0.016523428923886384,0.06876593359561309,0.12648115806629898,0.0034556702328863947,0.018243243266487456,0.060285945762262726,0.042449769737817805,0.1891819535812648,0.10871396354390181
