,Date,TR.WasteRecycledTotal,TR.TotalAssetsActual,TR.F.PPENetTot,TR.TotalRenewableEnergy,TR.InventoryActValue,TR.TotalDebtActValue,TR.CO2EquivalentEmissionIndirectScope2Locationbased,TR.CO2IndirectScope2,TR.GoodwillActValue,TR.SGandAExpActual,TR.WasteTotal,TR.F.OpExpn,TR.F.GrossProfMarg,TR.NumberofEmployees,TR.EnergyUseTotal,TR.CurrentAssetsActValue,TR.CapexActValue,TR.F.GrossProfIndPropTot,TR.GPMActValue,TR.NWCActValue,TR.CurrentLiabilitiesActValue,TR.GrossIncomeActValue,TR.CO2DirectScope1,TR.F.AcctRcvblTurnover,TR.SupplierEnvironmentalCommitment,TR.SupplierEnvironmentalDueDiligence,TR.SupplierEnvironmentalPolicyTraining,TR.SupplierEnvironmentalRiskAssessment,TR.TakebackRecyclingInitiatives,TR.RenewEnergyUse,TR.PolicyWaste,TR.PolicyEmissions,TR.PolicyEnergyEfficiency,TR.PolicyEnvSupplyChain,TR.PolicyFairTrade,TR.PolicyLocalSourcing,TR.PolicyResourceEfficiency,TR.PolicySustainablePackaging,TR.FindingsfromSupplierMonitoring,TR.ClimateCommitment,TR.F.InvntTurnover,TR.RenewEnergyPurchased,TR.GICSSectorCode,TR.HQCountryCode
10,0.0,0.11326512568145235,0.034966025175455155,0.08879674772093801,0.09997060909713168,0.4353500596241023,0.05675476502722333,0.05566842342297785,0.17364912001983124,0.1133224477108348,0.09337941063434226,0.17887416413761423,0.28618518680926214,0.06192417127809092,0.33946858383514067,0.3140532331728661,0.07631351316063163,0.013829220320527668,0.1507029468056357,0.04120223820844068,0.06730083648802888,0.04944874809499855,0.06964954265834293,0.26548224272802007,0.08903077012132374,0.04845638245076756,0.025225967257687613,0.00899012232414139,0.010515232927373427,0.01440069199736396,0.015862576328636305,0.01763760144679284,0.0009151531235922686,0.00020270720618405488,0.01524457538810553,0.00036369768311863724,0.01623804986988818,0.06774447637900166,0.11605568073560092,0.003163232126906794,0.02385947680932463,0.07734765245888506,0.06398664816364083,0.2895893217300737,0.05637539917160343
15,0.0,0.14617225859853145,0.037783981061819745,0.08349196759683453,0.10086566138438786,0.3146484011687231,0.05036188306609528,0.03312363296000384,0.18304822129229398,0.0909670267331006,0.0948080858776195,0.2095339381263411,0.247447082692388,0.06609404490859103,0.20011119383167053,0.2914477729450416,0.09166276432825211,0.015833341811696804,0.13156463358222803,0.029918613950484844,0.07413588657815122,0.04638283629836205,0.06027652449334205,0.25246853726780827,0.08053609917467858,0.051073293774635126,0.02194885291377622,0.005541900173382181,0.012192872193667045,0.012740111433705048,0.010823294937311748,0.02093623594224305,0.00033634399767306196,0.00012794797419744792,0.009219343884700441,0.00028473662996999306,0.010447381482337346,0.08018104720851157,0.1031919189895647,0.002736309181011169,0.029314095507245886,0.076534757640597,0.05342185631486457,0.2741007872164058,0.04345672230317714
20,0.0,0.11964836782073454,0.036162768819299605,0.08055853731422825,0.07674650209766871,0.3837881956551203,0.049296195551568174,0.05495601855161822,0.1145767175561806,0.09051656481952514,0.09708719000190892,0.16336656932494809,0.24585097160204145,0.05631228252140516,0.2161704059282295,0.23632018015315534,0.09270521010339054,0.015059400746765686,0.12396098830926225,0.03188240306181755,0.07074938828426497,0.05298040307567549,0.06880125402763611,0.18034872909795696,0.08680035177552703,0.04694398618171119,0.022537431981394896,0.0075223837156262775,0.011659100675138805,0.01930055608667214,0.013125114875186042,0.025094052071159976,0.0007368889196017035,0.00023976738789371495,0.012605649969570436,0.000560528586142323,0.012479127092217083,0.08120014400046119,0.13372299218489214,0.0028558557905081013,0.02874152970975459,0.0753075214448402,0.055023740915563606,0.11578237314254013,0.06511607488743011
25,0.0,0.1062645801701282,0.03684151253973517,0.08905644406462353,0.07908076782675198,0.4046799341995212,0.04957334224118258,0.05860614720090191,0.11484635184787076,0.07947875243677596,0.10273137726898166,0.14050019254953328,0.2600903683881043,0.056014335258982875,0.20556818345346128,0.23900868724894675,0.08404834915081429,0.015515901584892357,0.15208563923849594,0.03955606575086244,0.0741483755276789,0.04609483943739885,0.06526717631407607,0.13935368420235725,0.12132271692439818,0.046596461551445256,0.022928593229783422,0.00987845971815483,0.01099732694728742,0.03224752810288164,0.013018218719968958,0.023829576236165714,0.0007282443918145661,0.00024844185933834236,0.009079068596269058,0.0004221602505531865,0.00931389925407877,0.0847761760158438,0.16945757385818142,0.002721190690765155,0.025405707390536082,0.08585485336463314,0.06152638576316886,0.2737052843342024,0.07192567760752618
30,0.0,0.1277133599663238,0.04607956084876013,0.10265383629309051,0.08148537005140237,0.28472991029060757,0.06026768487211368,0.04347794080386041,0.13369664346207957,0.10820273434512824,0.10822230827254214,0.16772888694050594,0.2894061615631089,0.07213550791224668,0.23158872230188668,0.2856299081881349,0.09084762105033657,0.015072918866680276,0.11792460724236913,0.027093043907140055,0.06088379971921585,0.051619521735193984,0.07674811126950322,0.19885183103290394,0.11214413335378032,0.052440526430405365,0.02145485613763713,0.0066860432570072644,0.014681473546614088,0.02339559788998895,0.009016403938572271,0.027195513153814067,0.00026018993075447504,0.0001318102542810016,0.009055465109891211,0.0013532737281578382,0.009120079017190584,0.08165239162055464,0.16772101937208275,0.002670773924672907,0.029209328977900486,0.08796286491936074,0.058311810465728475,0.2701560168585357,0.05409820711014713
35,0.0,0.1033822339823012,0.03878098325285458,0.0878503203654583,0.0809261824500672,0.3628575238490527,0.051644324115137315,0.057674578137792594,0.11210420337282698,0.10768250054177053,0.09179836431473962,0.12895567650556983,0.28794666637104915,0.102777044904298,0.1927322680773515,0.23279487749697542,0.07943356605623975,0.015661083713859377,0.15507020853519693,0.029250021653230908,0.06745397654619076,0.05232307730228184,0.0905428331020887,0.15214185310028083,0.09010173921048949,0.044265507276030416,0.02268392065631884,0.005826711297565206,0.013323311562473844,0.028814015280226084,0.013604931479367303,0.0245933591766563,0.0007571302284831048,0.0005544501928879356,0.008966883390699542,0.0002806141139926326,0.012615754573329972,0.07517989239900527,0.1693325241903204,0.0018767115959193823,0.018228189318744984,0.08163504408699207,0.0643743300669495,0.15236288862274136,0.0709793152458672
40,0.0,0.16744982609878345,0.08476457510867845,0.10903045824257665,0.0912520224813854,0.34208577046067706,0.08162368792847881,0.10189528636601383,0.11609737316292816,0.12826502493995937,0.15749760367381177,0.1922741576471781,0.3460008006772758,0.08583857863579476,0.23648661614843963,0.2607601085139966,0.21217293455927336,0.029251647079037647,0.29452403126283033,0.1420657496051645,0.1524825761630005,0.10701318450472103,0.18009867767605486,0.22229759904632335,0.41370125679756153,0.05542848869633086,0.020997896117789634,0.007958368238936378,0.009972810224863113,0.024637929680710612,0.009492314853391984,0.034279924752492356,0.0015976219874887878,0.0007426019132250824,0.0244723724817408,0.0006847219241637786,0.01748376648501682,0.10691013889956233,0.1525372755840874,0.004519677886620206,0.013387308000946067,0.1948740399365031,0.05492142104629337,0.2806704911278012,0.15048621698012463
45,0.0,0.1226340115234525,0.03521985598216983,0.10213154678198512,0.08806791180066388,0.3947529004819321,0.05199077883869369,0.07584217450174101,0.12361453304300486,0.08950413532631102,0.08420043029502874,0.1421473920042095,0.26471182153200085,0.07109688717507735,0.23707978316876627,0.2690146671575031,0.08239780845019333,0.017356881680017325,0.15511249819402076,0.03795286050617517,0.0709351833248033,0.047344097053096154,0.06998669671050947,0.22092279905868142,0.08860773206089124,0.0475503964531705,0.032388116122863415,0.008180192227366382,0.014174985022029183,0.03161615296917474,0.010857995394519237,0.021820889507574562,0.000727392133697032,0.0005875770423301305,0.010679200899930302,0.0005254376004557417,0.014428272325421355,0.08877618138386831,0.1583021373772707,0.002393658560843599,0.021870947271609792,0.09717006594943732,0.06960067144080051,0.19753113154709806,0.07918592416762224
50,0.0,0.11499623550451271,0.03458261415959294,0.09469368395783181,0.08816764950754724,0.3725828457746322,0.05144015357988551,0.07167149513164059,0.11387953907955811,0.11473585007399834,0.10938384684542987,0.14327318216453336,0.2533029270526413,0.049848240853640764,0.2008416698416793,0.2501396903880914,0.08861766181468159,0.01567244156926656,0.15706759953449517,0.038286066792274046,0.06232482669705638,0.05534282702435156,0.10264926552993267,0.19829976966240173,0.09038011618762955,0.04426689772617562,0.02595859054711812,0.006529068899007204,0.009966252590132833,0.03351471053198059,0.008068987178015607,0.022756019489734616,0.000938680424574775,0.0005290375459442983,0.009879271703133496,0.002523682172731637,0.013405999765151983,0.07148523419139186,0.1474236071656892,0.0028144134420126253,0.02270831700542466,0.0899957538922744,0.07828165079648947,0.2347803658248855,0.08145557507475788
55,0.0,0.11399389561209015,0.032798223341382,0.09345489088081108,0.08568668634871389,0.3839975397495942,0.054886025802526314,0.03810717784388433,0.13466352819206262,0.09699214091978747,0.10411989122917273,0.17274571700282418,0.23000165399208175,0.046159355979181235,0.16122229708125374,0.3325711771437826,0.09417894409514863,0.01676715087326488,0.13017945899548236,0.022452214671059408,0.05811422603677106,0.056266771067610986,0.086749653808883,0.2084356523696682,0.08539505154107817,0.05203849181937623,0.019640599951114127,0.005537032764035219,0.011611237709943108,0.011970457677291687,0.0077723341221619235,0.018475993235219815,0.0003576272301308213,0.00023868579682957816,0.010931378515355172,0.00027910633510125257,0.013525803440662476,0.07569774252368902,0.10593873785386795,0.0018919889760187717,0.018387497613265448,0.05903560890076699,0.05199402149809389,0.17623261530499243,0.07079996630751456
