,model_name,fold,sector,rmse,mae,r2
0,catboost_baseline,1,All,25069723.93022128,5925446.881894022,0.13080607794404842
1,catboost_baseline,1,10,59264580.97498288,26853551.4442727,0.03616775041485065
2,catboost_baseline,1,15,5424639.787918909,3927617.2255654563,-0.8873723806834171
3,catboost_baseline,1,20,5627514.796427553,3620908.884620921,-1.2514167424382863
4,catboost_baseline,1,25,16595778.289583553,8124403.142280675,0.478430137598584
5,catboost_baseline,1,30,39822865.924932845,12439242.99210244,0.26157130641874937
6,catboost_baseline,1,35,5180406.651996457,3212440.517109545,-2.1726872864935087
7,catboost_baseline,1,40,44716750.19905315,5616282.390424393,-0.0027955886243644645
8,catboost_baseline,1,45,4524355.350747,3245740.6996307974,-0.3375717401309881
9,catboost_baseline,1,50,7381220.704461341,5232555.515753754,-29.268463379256392
10,catboost_baseline,1,55,10144002.346860953,8098572.4420697475,-3.5619092784128235
11,catboost_baseline,1,60,4091911.8508665385,3017881.167354338,-96.0682913805837
12,catboost_baseline,2,All,9471187.676132174,5652228.228088798,-2.269263249697623
13,catboost_baseline,2,10,16014743.551405972,12068185.554028252,-3.0780244654364655
14,catboost_baseline,2,15,6392608.066705379,4429414.502788651,-0.6641850964058864
15,catboost_baseline,2,20,11319866.16785765,5785709.308886662,-20.168853203037443
16,catboost_baseline,2,25,7327509.682657143,5130518.576334769,-3.0096098794995143
17,catboost_baseline,2,30,13752250.054382723,7698940.970826055,-0.024951762369038732
18,catboost_baseline,2,35,4107558.2459871667,2887205.1445535365,-4.073713999298369
19,catboost_baseline,2,40,9484927.192742128,5562905.796034482,-1210.0294416714876
20,catboost_baseline,2,45,9524442.480006946,5094883.363853929,-10.132709753523672
21,catboost_baseline,2,50,7228378.055488172,5047570.089618299,-64.21009528420781
22,catboost_baseline,2,55,10871986.036227034,9335270.837122053,-23.062351327122386
23,catboost_baseline,2,60,7943045.04522435,6212437.570886709,-84.09653602805
24,catboost_baseline,3,All,15072107014.473946,321638980.4963506,-0.0004459895022190796
25,catboost_baseline,3,10,5194897.215199804,3302164.997250328,-0.022410724466956022
26,catboost_baseline,3,15,7520376.8167155385,3568809.007225394,0.09024839581075039
27,catboost_baseline,3,20,33149415487.477837,1546225264.1551616,-0.002170356556105535
28,catboost_baseline,3,25,19636253.618762836,3171900.8146143225,0.007930512120227773
29,catboost_baseline,3,30,3128701.7703028773,2198816.3864256185,0.30251772310263036
30,catboost_baseline,3,35,1749915.8518642387,1680326.7390486684,-4.301071167149228
31,catboost_baseline,3,40,2015737.0796777415,1995664.7573107409,-32.12945735270423
32,catboost_baseline,3,45,2725292.332933863,2053913.108950663,0.01467104405703945
33,catboost_baseline,3,50,2162683.40151097,1946763.6630173253,-0.41579112279982167
34,catboost_baseline,3,55,2432327.0799116744,2133492.1014738805,-1.550417327657824
35,catboost_baseline,3,60,2028045.3192657635,1996953.225166158,-2.5257837151506006
36,catboost_baseline,4,All,10500639.64901477,7372134.875097574,-1.3470134098016135
37,catboost_baseline,4,10,9942469.55480224,8234116.645696552,-3.832394159815144
38,catboost_baseline,4,15,9726127.484471638,7645217.699256639,-3.4318823926621107
39,catboost_baseline,4,20,11651202.203311287,7465956.390520444,-18.13065038313215
40,catboost_baseline,4,25,7753412.12027865,6285697.011953746,0.06984805654350468
41,catboost_baseline,4,30,15660917.933352662,9040111.60705048,0.1964719734343684
42,catboost_baseline,4,35,8822467.224579794,6283730.012515631,-8.148416790100235
43,catboost_baseline,4,40,8562461.771565653,6459802.355566663,-787.891046457003
44,catboost_baseline,4,45,6554373.075376096,5376031.906583031,-3.7080012812076193
45,catboost_baseline,4,50,13633020.4669107,10262981.122313133,-341.5549054354242
46,catboost_baseline,4,55,12907556.680895582,10956060.130216682,-29.486790389716035
47,catboost_baseline,4,60,9862177.027393196,8284975.876220617,-1791.244187866146
48,catboost_baseline,5,All,19024532.99756251,17690767.40623353,-6.5902087251311565
49,catboost_baseline,5,10,16939645.129685834,16325564.195920369,-10.97990820545936
50,catboost_baseline,5,15,17991143.796908293,17402173.454146322,-4.303455567064552
51,catboost_baseline,5,20,18947330.53453661,17591624.458859764,-7.697369618895722
52,catboost_baseline,5,25,18797189.143823896,17198669.723255955,-11.157828260950142
53,catboost_baseline,5,30,21508261.700563293,17333080.119632266,-0.30138260297218333
54,catboost_baseline,5,35,17182708.053831834,16350545.408658648,-9.039186467510563
55,catboost_baseline,5,40,18449366.656517915,17697577.29539639,-6780.313428850926
56,catboost_baseline,5,45,19841387.98001155,18002383.844186753,-47.661282807692885
57,catboost_baseline,5,50,18733730.956353653,18094311.332752567,-503.1278804700159
58,catboost_baseline,5,55,22044017.12002224,21257725.39371601,-48.721841600045536
59,catboost_baseline,5,60,18271615.846437592,17781522.14129967,-3765.4880088895234
