,Date,TR.WasteRecycledTotal,TR.TotalAssetsActual,TR.F.PPENetTot,TR.TotalRenewableEnergy,TR.InventoryActValue,TR.TotalDebtActValue,TR.CO2EquivalentEmissionIndirectScope2Locationbased,TR.CO2IndirectScope2,TR.GoodwillActValue,TR.SGandAExpActual,TR.WasteTotal,TR.F.OpExpn,TR.F.GrossProfMarg,TR.NumberofEmployees,TR.EnergyUseTotal,TR.CurrentAssetsActValue,TR.CapexActValue,TR.F.GrossProfIndPropTot,TR.GPMActValue,TR.NWCActValue,TR.CurrentLiabilitiesActValue,TR.GrossIncomeActValue,TR.CO2DirectScope1,TR.F.AcctRcvblTurnover,TR.SupplierEnvironmentalCommitment,TR.SupplierEnvironmentalDueDiligence,TR.SupplierEnvironmentalPolicyTraining,TR.SupplierEnvironmentalRiskAssessment,TR.TakebackRecyclingInitiatives,TR.RenewEnergyUse,TR.PolicyWaste,TR.PolicyEmissions,TR.PolicyEnergyEfficiency,TR.PolicyEnvSupplyChain,TR.PolicyFairTrade,TR.PolicyLocalSourcing,TR.PolicyResourceEfficiency,TR.PolicySustainablePackaging,TR.FindingsfromSupplierMonitoring,TR.ClimateCommitment,TR.F.InvntTurnover,TR.RenewEnergyPurchased,TR.GICSSectorCode,TR.HQCountryCode
10,0.0,3978662.3974888986,2076136.6249171905,9856314.631295763,7156529.789632698,4525341.31386081,1524204.8294219014,901964.3497200938,5323210.147767518,4274501.047251619,4073260.0539828823,3519560.359300296,3931295.9680205127,8259813.087775243,53342647.073916025,2166670.165273917,1537348.4071036358,1953839.4082830604,4595141.035006851,8698161.332871739,2801405.5730767366,4046223.6823035204,7051721.408187871,2559149.4784242595,2781657.1083963914,7298853.514454266,13605151.61421905,22985481.248123616,7991271.223287108,662691.566183116,1164194.732752018,4521239.071587304,97580.58543629828,101432.768441498,466740.2865651927,44309.256650192,4471867.814712406,10611988.003683984,2878075.606809427,10223533.73437184,3290076.1544173425,4369219.560423862,4092671.9642713033,0.0,0.0
15,0.0,4178573.2473672633,1353636.6738031527,8190365.0839162655,5517012.574483147,3882104.3620817866,1701017.555872157,833295.2553927636,5226709.055109855,5073003.474185089,2959338.4912228687,3949084.8135164217,4799532.6411388265,6875616.3940518955,41363514.55468391,2921258.92086765,1441835.0850751307,2527024.541552145,3709181.5547629935,8563236.43872433,1906389.3002097798,3782315.077456622,3852200.456777621,1639649.4304011448,1955447.0889378327,6616936.0390278995,13363300.915917443,37888085.4322601,9577421.827661468,383000.4057885541,1147704.6755481372,5519967.485818711,88340.65311227237,41022.263234733466,155263.8333608322,132963.1835673604,6293275.601652866,13880851.988576334,2399010.0688786614,12434680.507416135,4106555.39507176,2419302.691291341,2751287.7620701953,0.0,0.0
20,0.0,6389927.604862444,4263441.15471986,15304008.870590592,8770239.028535787,7041185.177714469,3604422.525927482,2325168.570017481,7379987.752448977,6439599.416269663,6171677.731135008,5399016.970710568,12288838.5384476,13179594.463564258,108380176.0611336,6564534.775429596,4503568.3531380715,2203947.299083091,25501522.71564167,15952387.578888379,3102063.4548953846,7320080.645776282,6400715.387832104,3345533.7532889084,4478013.940790734,10213427.808614803,15164633.65644323,38148254.62907649,13044090.463893473,527899.7742627083,2108351.495030968,5842321.491368294,138777.86531772162,130609.45793640552,758805.0837999781,370609.6138348385,6994167.5985882245,18672922.55879605,4066881.070051988,16179393.512500262,8174185.089711484,7499766.22329431,4737170.39221989,0.0,0.0
25,0.0,5261405.414573844,2051427.997533916,12585695.508600933,7832735.242791713,6441595.422362241,3118395.152765223,1593097.9002667193,4824903.100071433,5969247.491214979,6398215.849200579,3616479.0569190625,6436592.621519999,8380402.651978167,63849234.27970323,3428072.63550731,2024342.456643844,1436140.4177731588,4953019.814837223,11476775.913909813,2480100.7982716416,5255657.603576261,5186887.239259564,3777915.183360844,2581815.7990899673,7832939.975231477,16834319.550149653,34599603.60685559,11386059.762201704,1004736.2003160001,1619639.3468119146,5528141.998743909,142507.13202972547,110024.03872579748,425807.04681919,285030.63404204947,6277666.473306172,13160397.70669123,3751160.671346795,14102476.85955045,4787784.841903184,4191941.935906891,4872647.752157849,0.0,0.0
30,0.0,5867116.47718914,2074999.7978535597,12422618.121232407,6939694.583750421,5573782.656465947,2134399.4046010235,1091046.0020116183,7145678.246366199,6513233.648741036,8618909.814860888,5399823.722529524,6088645.418585997,8179398.080844173,64096268.20701619,3513649.9989707847,2064969.365504344,3375589.717763167,4548624.500230143,12962867.931809384,2292809.0839329446,5209991.564266043,5016779.247830129,3347044.595545802,2664597.056962485,8645705.24858707,18184651.714682702,45865445.5177446,12694809.899429271,939334.2571699509,1888739.0600581383,6425154.5776951695,90509.81264311784,86230.6788826854,243276.72106398517,427019.7471087097,8881552.194121439,14111588.697802192,3660937.645251867,16252523.933169214,4985652.968015806,4468357.847452821,4095298.173812419,0.0,0.0
35,0.0,5105037.65936875,2310295.3744268566,13864149.227539055,8865352.082901219,7682493.780911037,2702793.632574076,1588098.0855192316,5153798.396107859,5795202.810128742,7785126.445318808,3121741.6773845446,7124919.792935122,8250454.763608239,68964731.69587688,3047105.897849048,2002074.2196403013,1819035.0851763103,5558979.3492410695,10684624.788028438,2650392.05321816,5600796.193793103,6840805.586693047,3407471.024093125,3349419.220038489,7044107.1643248955,16758040.830921851,35822809.17157363,10669687.15526795,645769.3873590673,2024374.516600985,5787973.202242918,124444.5495515356,51976.21278101746,472546.7976076481,82484.69703628171,6798981.094299533,13825071.92295496,3413371.314781592,14759780.737337928,5872000.342148977,4844873.956298015,4454570.498498455,0.0,0.0
40,0.0,3480809.4429301424,3594605.8592800926,10021663.43152938,6929792.839423255,5459467.011946511,2669747.576754335,1418357.4093899792,3101303.333469239,5900187.01892279,5594747.372476722,2403842.786437469,5593410.700028146,9140289.262178335,44179649.89004608,2324813.9071727386,1890160.2290784332,961360.5701800166,5659517.780181169,12850568.582615856,1789609.3905947832,5273882.075382677,5773390.010046239,3843335.104363264,4347278.7798623,6266812.163682994,10708710.055746514,37723768.42500083,7314329.077587336,304205.3390926542,1546344.4881631,5184897.285019257,266095.68520031497,100764.11083801085,739810.2624493878,125333.4462691548,5943558.1076368615,10130203.000444924,1683413.0843311762,15402893.550214572,4681066.693164752,4793718.9809851805,2031798.7322390692,0.0,0.0
45,0.0,5595026.411407923,2202634.3415455585,22484659.652251452,14188360.283094225,9107866.960423138,5418646.992818302,6822203.025232928,9355463.252002,6221784.374440153,9473860.934570335,2618010.1642467803,8375235.480000382,15790698.777859261,120376797.13242163,5443060.125485521,4581140.189944519,2252997.337305,23597691.637102243,22463540.82411038,3051901.871908076,7016506.512430554,8131377.594773564,5336492.688751014,4829506.089947742,10177499.971174594,21092492.894373283,45989128.19475001,15048646.128554232,803606.8492310562,1948332.3155543804,7399253.784025912,332926.85567336,183384.51435751573,1007942.588316279,351559.50950946874,9255556.47043132,16790404.680398893,4436255.412052769,17143093.230688598,9541192.64399342,9439121.375386566,7265618.341114704,0.0,0.0
50,0.0,6916530.805547255,3189472.9826914473,18883292.962728754,9453210.6230649,7862771.620582416,3422685.8724443032,2252064.793411385,7809835.097311086,6875707.632841839,8890494.673923554,3444162.9281725697,7324903.328532913,10430761.663432317,102338047.39763612,4214696.246845289,2325535.582849527,3817734.28726123,5190785.948274961,18563349.46303104,3103331.1758493925,7305306.615317699,7519765.436740353,5797258.9409986725,4127847.308049263,10477221.65600215,24761396.53296731,49893634.634218566,16974558.355551895,1932668.7656471864,2708806.9769072696,8195441.548725768,284194.3162066441,131073.62370034025,879359.7843466336,272931.6327917102,10862074.177839017,15152339.942576945,3844834.1136767277,17540884.279372163,8215306.764277899,12330792.224714566,6870349.455895261,0.0,0.0
55,0.0,4710317.769740108,1862390.0266553934,9642439.474642625,6549134.715955001,3952311.003912801,1621134.0307849816,1542180.2240606903,4809955.582658178,4551546.51884785,4964646.703871842,4279676.088184671,5669895.644346243,7669964.893295455,44206105.642458044,2492643.451187331,1250550.582514418,2391806.8493167763,3315935.7096151453,10969744.387658913,1884411.372496083,3464994.852100968,4646866.5376492385,1821760.050088747,2800161.8929262785,5461237.637219916,10314581.09860048,31059685.9191602,6184572.496796748,364262.8681508846,1142423.1942350664,3841799.07367887,68790.16088643091,80473.01213449796,276143.5471019688,126987.21496019252,6079224.975223157,14392182.047558533,1937237.6419811824,12260126.798675928,4533353.616439751,5774941.750417539,2953234.313753207,0.0,0.0
60,0.0,3806123.7269450207,2426331.6890023067,10051544.599916276,6594162.814835348,6051993.182670136,2605560.418337599,1507882.902728481,5084061.860643786,6881122.919994337,7230718.079432412,2290675.5052255504,5805470.841910499,9747536.368888961,52611601.46107116,2280892.469095049,2219527.764272629,1852215.7791644095,5435569.009760312,14197629.816705048,1723647.0156498773,5845059.152647742,6148385.221248555,3888329.359820325,3230901.934349662,7548520.082283678,13905722.333223311,36666616.207938634,8901625.093463376,272562.48820765695,1286589.4960601968,5539159.588352427,347386.7013395114,177076.19169492202,622443.9312958614,57273.17324563992,6417227.192917332,12022686.110406674,1819135.0065951387,13974096.765960582,5981112.045073174,5237940.587776931,2902823.0738123134,0.0,0.0
All,0.0,5167178.230029526,2618741.0650853375,13713541.941646945,8458454.36295106,6400328.392839731,3105529.6518183057,2332959.6139152884,6113914.608837186,5991915.252129893,6593961.249256391,3736231.49322944,7321888.505863219,10256852.543420406,74971735.04932748,3954281.9337451197,2695073.5710109514,2121767.3304632907,10892208.92231015,14108106.060868155,2485171.40194263,5715634.876539482,5960504.634298758,3631191.098410951,3519924.350863148,8261856.964434322,16062739.91324987,39061737.36904308,11437898.819697045,698755.5545535382,1735256.810397671,5936577.0833818475,184925.24890477853,112413.72703518349,583901.2059161506,250408.7546099358,7222921.733896715,14485110.005449075,3290256.8555556163,15057608.231242197,6196507.235042555,5957657.172833076,4438766.022279816,0.0,0.0
