,Date,TR.TotalAssetsActual,TR.F.PPENetTot,TR.CO2IndirectScope2,TR.F.OpExpn,TR.CO2DirectScope1,TR.TakebackRecyclingInitiatives,TR.RenewEnergyUse,TR.PolicyEmissions,TR.PolicyEnergyEfficiency,TR.PolicyEnvSupplyChain,TR.PolicyFairTrade,TR.PolicySustainablePackaging,TR.GICSSectorCode,TR.HQCountryCode
10,0.07830967401093325,0.06738297879659291,0.3335894737487742,0.48414431494341587,0.8021505369117498,0.42924264382941796,0.038962380295446845,0.08517491601261092,0.001384061941140012,0.0019975040117141026,0.024675935334342775,0.0010387888819415997,0.21070311352717205,0.48898993577306665,0.20832202655876098
15,0.06768205299717539,0.06940985591462993,0.3247321209884666,0.49856276855551,0.6911033094628671,0.4972507089922257,0.05717140376060136,0.08356277016226625,0.0020385934141197697,0.0012148494306279797,0.02710929284563669,0.001535944004782401,0.19953613220230618,0.9554362720683383,0.22024474955575646
20,0.0754812941046449,0.08383317222926212,0.2894482333844025,0.4478384912465844,0.59321958811521,0.43931744453383875,0.0659136058932196,0.11723964196893548,0.00293097422079015,0.0021317194256110167,0.04878896189727813,0.0013096052799702316,0.22348050958876126,0.37308809425325373,0.19584795081162357
25,0.08952735672016651,0.08612884332521326,0.33031621687734714,0.4104865035918434,0.6211000442812677,0.3783453787337529,0.11675345757116043,0.11234521805477096,0.0037693106627974915,0.0016039532963147418,0.04599817083960153,0.002773395644493546,0.2603682201427701,0.6558024464220058,0.23299781201548855
30,0.06357861540603518,0.09103334975080946,0.40022746932682773,0.3994589371222408,0.6663803662950757,0.4492156638872232,0.09632679363062431,0.10663321564025337,0.004083173259556124,0.0016806750260957434,0.026310061995986095,0.005625465038059049,0.28087442441246285,0.8548585119004151,0.1883859768160361
35,0.08108080963370355,0.0988574319286725,0.398232512770258,0.3536647732015117,0.7301936275068452,0.2965418039953319,0.07937580687895593,0.09366126347395894,0.001380046919724445,0.0024428039617276024,0.03921431291715815,0.000920077249503586,0.31738528015268874,0.11586427084987379,0.21195003838380055
40,0.0953478944867265,0.3472962808880985,0.5360635337197266,0.43744746251034583,0.5863766760239069,0.4645017655060843,0.06067273480981134,0.06082985850493178,0.006184124396853184,0.0045924716537492855,0.04623135340367775,0.0023482807192761095,0.2279248329900731,1.7129830788205722,0.4026211637768759
45,0.08177005103453693,0.11006062381446603,0.42295887091643325,0.5012027849457158,0.6598663085697689,0.4062494838873678,0.11422805735055942,0.10774191008507654,0.004216499783480348,0.004044028419996762,0.047960875139190035,0.00092680897156168,0.2835498254845437,0.11877854299246636,0.2394727095540956
50,0.08971429559791189,0.1030101329398719,0.4048317700597635,0.4340537290549227,0.697245343308526,0.36641991051705625,0.1297584892889969,0.07269734064018085,0.0031267210989608706,0.003532608311791741,0.02266750547187453,0.0024857701271053436,0.25346644446772787,0.4514093183762507,0.2509281869884875
55,0.07114417434642113,0.07535742579877021,0.38101362467366773,0.49613444704835435,0.7709410181957201,0.38481526207196365,0.04793950195495351,0.03707317661511838,0.001192720318573451,0.002125834447336823,0.015660193666043508,0.0008495230632288084,0.2156368250914692,0.42902058554359984,0.16711438704772272
60,0.0571002821209124,0.07056161922106878,0.6033025372799622,0.30789246102077245,0.8528158652415768,0.34380292453144334,0.04659852932240826,0.07095200983652389,0.003520517765251764,0.001967633772225041,0.04382630309363606,0.0022830409891502353,0.23648702072753466,0.5006806667766196,0.19197977032698776
All,0.07989922326985238,0.12483930322565782,0.3895404409522647,0.44195044874188083,0.6596034409760764,0.41780792158598584,0.08143012864710918,0.09168695029844945,0.003465886158507087,0.002577038971920155,0.03936409275691449,0.0019839843325723952,0.24442905243010077,0.6821787384106518,0.24186099124503874
