,TR.GICSSectorCode,TR.F.OpExpn,TR.CO2IndirectScope2,TR.CO2DirectScope1,TR.F.PPENetTot,TR.PolicySustainablePackaging,TR.HQCountryCode,TR.TotalAssetsActual,TR.RenewEnergyUse
10,0.42567515776644194,0.7720755526431738,0.5486739362463439,0.4279210185728197,0.251423987307461,0.291194355812968,0.1923582027213418,0.07386263506319098,0.1458753740498289
15,0.8404182933354009,0.642223695210999,0.5809692341464561,0.5199901937243191,0.23873171888621506,0.28279585721973594,0.15435580425316994,0.09756967723733713,0.12263621988620199
20,0.34631095706005866,0.5813238351946104,0.5064145106485923,0.42066151912837335,0.21161257815780402,0.31035698622383073,0.1438945202198333,0.11733825592313184,0.1698274162034785
25,0.5851287602546849,0.6188219588316085,0.46067922221194524,0.36407727931868605,0.24257811669692173,0.38733340716994424,0.19839972314751236,0.11452294496637205,0.16669584172103868
30,0.7200705133999501,0.6497578409017696,0.4629239102928865,0.44769024752236997,0.28952571057971305,0.4362915705060828,0.16265968805602218,0.1094903929329198,0.15420112827978072
35,0.11046510007186722,0.7298764655473573,0.4235564338395855,0.29430992098679587,0.28797210594618805,0.456688812716942,0.162017303899351,0.11608476548582554,0.13602685938873652
40,1.4127302689204806,0.5952644404936913,0.529225874787406,0.4833004585747114,0.43508586633337587,0.3467249563038563,0.4063979932112554,0.48514393608088907,0.10861881487465347
45,0.12786406309689263,0.6440343165093375,0.5839433803195839,0.4311784298875059,0.33697439477639596,0.41110661856244196,0.21772639561717538,0.12452203543975501,0.15356476522573542
50,0.3795601934556078,0.6865764869344226,0.5328765409097331,0.36267349519684666,0.3503489809819139,0.36509509705356985,0.2047397496613194,0.08344115981366207,0.09312733058844852
55,0.4048485056683273,0.7625916033075292,0.5631750243747579,0.42634092354685227,0.33515262283470426,0.31578515524342243,0.17317244217262442,0.07763574314939779,0.06036063048869817
60,0.5311674586096141,0.8496780452778626,0.43399236368262656,0.3529464080047238,0.5016684804743525,0.3297673363914254,0.15659447283228367,0.09015669767461948,0.0929694004875037
All,0.596133665758528,0.6479476914926858,0.5159695900088557,0.4230752207256697,0.3029252986390195,0.3560517989942279,0.20975334034533935,0.16224350611633487,0.13632782285408088
