,model_name,fold,sector,rmse,mae,r2
0,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,1,All,2.267190044343796,1.5510019871226817,0.5630804829849436
1,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,1,10,2.7321450245880126,2.056745090351424,0.5805609846085004
2,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,1,15,1.1797590765164028,0.7986247492778146,0.5419036699168138
3,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,1,20,1.4571044123280676,1.0442311443900736,0.5643783584423765
4,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,1,25,2.363978768055067,1.4398570475179568,0.4557144415318257
5,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,1,30,1.818531440636957,1.2039732455115588,0.4576886312397981
6,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,1,35,1.4864770476014866,1.0372280183964062,0.7525164410756471
7,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,1,40,2.9699319510216284,2.4950740363690915,0.07194377432436483
8,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,1,45,2.489215276885999,1.5355819319994255,0.43531022879187065
9,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,1,50,2.360908505746929,1.5481158874643017,0.33299741377227854
10,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,1,55,3.2951519244275875,2.057574766554891,0.05845246585967734
11,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,1,60,2.6407850095017227,2.2173883033154937,0.08820433592729593
12,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,2,All,2.2546790439965925,1.460491445672274,0.5429931768730563
13,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,2,10,2.8057972780029807,1.635036001972295,0.08205378467203284
14,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,2,15,1.0978096738075827,0.8828318132303454,0.49228124791437755
15,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,2,20,2.447618535072465,1.5101071313606005,0.2922374078208375
16,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,2,25,2.227933961132243,1.2401244606401904,0.4041753440869027
17,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,2,30,2.1961551317212114,1.4334825550176113,0.408717214380242
18,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,2,35,1.8175122665301964,1.0450348561144507,0.5940715026078554
19,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,2,40,2.6992400794662506,2.1137507486482585,0.237585254994238
20,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,2,45,2.2119595961698137,1.5205212520208367,0.39467033678183494
21,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,2,50,1.847702551130974,1.2849083607193008,0.23621303726662368
22,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,2,55,3.3425846657934177,2.2390419046317365,0.27071986117113045
23,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,2,60,2.074885808042131,1.540643555455348,0.5838931978142738
24,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,3,All,2.1076236367135257,1.4323327953685099,0.6113962736580982
25,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,3,10,1.9096472236615825,1.471571368937035,0.2780888457952688
26,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,3,15,2.1319644311140573,1.0784758778951629,0.4832589468028654
27,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,3,20,1.9811282136249357,1.3807301731998147,0.4576943529580666
28,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,3,25,1.7741842721315495,1.1772906280159627,0.602752782790154
29,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,3,30,2.437629033635705,1.5308068993533306,0.3380888813732028
30,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,3,35,1.396123400521224,1.0624523821284708,0.6762291252581456
31,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,3,40,2.720754002902978,2.1974573639770316,0.29134420394810523
32,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,3,45,1.6368759414968301,1.1567077261729448,0.6244528562024383
33,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,3,50,1.6532181335515066,1.1890323237285447,0.6620996252770348
34,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,3,55,2.1568300559167746,1.5925337811909261,0.2999475970887654
35,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,3,60,2.963253263295165,2.241581510561697,0.256029960161519
36,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,4,All,2.0332417536586362,1.4312971029951116,0.6361280454435199
37,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,4,10,2.9931709656629084,1.9037482479101167,0.3896847106124306
38,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,4,15,1.2398263808366263,0.9014201802742734,0.43733139597095805
39,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,4,20,1.790102177639088,1.2385682317878308,0.45980552131072916
40,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,4,25,1.5921086138508689,1.1081298527023626,0.6155212084555445
41,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,4,30,1.221191372202064,0.9721023985171638,0.6101937936985591
42,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,4,35,1.801531357869953,1.1031691434939697,0.6083365621274375
43,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,4,40,2.6756542843093567,2.3227632161380427,0.23704115441896467
44,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,4,45,2.1372627875481065,1.6306112316644046,0.5161075746961503
45,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,4,50,2.6683344116408305,1.7451246601444552,0.32349676606921673
46,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,4,55,2.326371934699048,1.3285264311338747,0.35871002734637436
47,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,4,60,2.7371576209473103,2.118298546762971,0.09528848863429384
48,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,5,All,1.9626739411598733,1.4117446433644891,0.6318559764553537
49,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,5,10,2.084496048172565,1.380910350924665,0.47433818344072987
50,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,5,15,1.3800176471975636,1.0477312461063002,0.46553679609459775
51,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,5,20,1.6169718929836758,1.1671409325653597,0.59049175685539
52,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,5,25,1.5942145799784309,1.1053517244930418,0.41824029198269597
53,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,5,30,2.2204849437365057,1.1929721119416319,0.2239665868504762
54,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,5,35,1.332727782662837,1.0077243041688166,0.7287263172217868
55,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,5,40,2.6361234250619177,2.1824548086862228,0.10292356816690007
56,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,5,45,1.984678183640913,1.4856419813512411,0.5855156781811894
57,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,5,50,1.780654134816137,1.4560367667857008,0.5934083843549208
58,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,5,55,2.4534680421559436,1.8327144801397373,0.4482790558867076
59,metrics_catboost_14_imputed_only_10_percent_missingness_without_country,5,60,2.6732238776919273,1.966606270238629,0.2893336042179001
