,Date,TR.WasteRecycledTotal,TR.TotalAssetsActual,TR.F.PPENetTot,TR.TotalRenewableEnergy,TR.InventoryActValue,TR.TotalDebtActValue,TR.CO2IndirectScope2,TR.GoodwillActValue,TR.SGandAExpActual,TR.WasteTotal,TR.F.OpExpn,TR.F.GrossProfMarg,TR.NumberofEmployees,TR.EnergyUseTotal,TR.CurrentAssetsActValue,TR.CapexActValue,TR.F.GrossProfIndPropTot,TR.GPMActValue,TR.NWCActValue,TR.CurrentLiabilitiesActValue,TR.GrossIncomeActValue,TR.CO2DirectScope1,TR.F.AcctRcvblTurnover,TR.SupplierEnvironmentalCommitment,TR.SupplierEnvironmentalDueDiligence,TR.SupplierEnvironmentalPolicyTraining,TR.SupplierEnvironmentalRiskAssessment,TR.TakebackRecyclingInitiatives,TR.RenewEnergyUse,TR.PolicyWaste,TR.PolicyEmissions,TR.PolicyEnergyEfficiency,TR.PolicyEnvSupplyChain,TR.PolicyFairTrade,TR.PolicyLocalSourcing,TR.PolicyResourceEfficiency,TR.PolicySustainablePackaging,TR.FindingsfromSupplierMonitoring,TR.ClimateCommitment,TR.F.InvntTurnover,TR.RenewEnergyPurchased,TR.GICSSectorCode,TR.HQCountryCode
10,0.040587119515980916,0.28122947846167556,0.02605761721442664,0.16605028073988098,0.11653657119386808,0.31415036258774726,0.04466886749836509,0.1993016353787137,0.05072227468097308,0.05132603593427302,0.1798348007132767,0.2811679853094977,0.21977153374436217,0.11537039408303909,0.16594291022473973,0.05139522752113971,0.023168429748979168,0.13939416566085266,0.08884971228742447,0.052709614174602896,0.10643960481849256,0.07264822406653386,0.17487464541108483,0.09760979263510837,0.0835586699439273,0.014864054271254402,0.0,0.002431880492465764,0.008424193176620702,0.04095753304926819,0.017405189382449636,0.0,0.0,0.01412770388637835,0.0,0.016785498492483328,0.021083035408753635,0.11318685997516498,0.0,0.0018515221627905755,0.04389783163727115,0.09430845145978962,0.17643699278054614,0.12854225388037124
15,0.037515491149677324,0.27727054813182755,0.028400505433991505,0.14585770604384507,0.12749615011609428,0.2707861142718991,0.039700999924928454,0.22062838017558384,0.05416486800055019,0.04586996209362817,0.19839417901827974,0.2760151423310021,0.13429462735110662,0.12732515340291609,0.14764795945112028,0.04699417056796031,0.021686944180421663,0.1175173156381281,0.06580985278216142,0.05097402607952194,0.08707205192049138,0.05654575145169393,0.17993839335566456,0.08486184536984683,0.08319510785264685,0.013129869053688995,0.0,0.0036012646986012644,0.00991370069443013,0.03702255466559004,0.016179621317201198,0.0,0.0,0.018663800957671083,0.0,0.017606764496950162,0.014137656480214084,0.11325973566255888,0.0,0.001910303853973689,0.030221063580971062,0.07941225719191,0.21189988411649985,0.11605379169612592
20,0.042639235215130335,0.25005192577526014,0.02717533723484465,0.15978823349246077,0.09180328581041541,0.29379047341863757,0.03929369445524264,0.2021884559099483,0.05977236866232788,0.031457308442052745,0.17253615960566338,0.2452680555372643,0.19123514943211745,0.1429978280714341,0.1746931706173222,0.04789386259056274,0.02544494438146247,0.11629260425730903,0.06519413218855555,0.04666111740496703,0.07548874248655871,0.06250307702089306,0.15095123451265804,0.07881409975334486,0.06719805819380255,0.015378572343254529,0.0,0.004136354727454321,0.011243654468697739,0.04596138612791336,0.016927279916918062,0.0,0.0,0.021937196321913276,0.0,0.014416067045444207,0.01904833080217991,0.11350901054493139,0.0,0.0018263412219009312,0.04411904467470808,0.057431732959367016,0.04058305778732628,0.1094767177598266
25,0.042891970723619915,0.22697184513998836,0.027982622324720482,0.1554152391748345,0.09715843845108461,0.2937690805213208,0.03536148992400562,0.19903301106737392,0.05306682172260182,0.038648713008520796,0.1466533475301,0.24623369861696023,0.1473369590107238,0.13061706738147777,0.1322263429979336,0.04979154091949927,0.02560166033982339,0.12985042716308898,0.057672618364941405,0.05025605212595474,0.0771109728397866,0.06414073852379583,0.13745419142820298,0.10369937479226773,0.06388778167841648,0.019456930122262225,0.0,0.0037138092930585837,0.020076888641165417,0.04681167911817938,0.01718663998883924,0.0,0.0,0.02366375673095644,0.0,0.013367395358046518,0.019794042229100754,0.14791125870771554,0.0,0.0018909624153024352,0.04112750913729469,0.06052586564356843,0.15959655667504957,0.1145421517884032
30,0.03340225857509673,0.2460717619914061,0.03472682301387401,0.1754876434951838,0.13340813365862872,0.28962395903303695,0.0353663539135479,0.20013602662665023,0.06917813732972503,0.045504177422316085,0.1886792348587954,0.27299041039335004,0.13175414989098413,0.16002093028164804,0.13975977495400482,0.05038578865777582,0.02709739664621677,0.13604667730309405,0.059312960401205865,0.04771610002927463,0.08516932757314806,0.07580681196360917,0.15314823626472346,0.11999608520152313,0.06327746054740718,0.015479914581682172,0.0,0.004033473042554974,0.01774618628051557,0.04658961178096927,0.015487131009774257,0.0,0.0,0.016122737909179823,0.0,0.015467207947292545,0.015798498138099887,0.16599809252069622,0.0,0.002483044006980681,0.03556376807572329,0.08587372346691453,0.20691654064166126,0.10932019440736776
35,0.0402938061520535,0.19972560051269633,0.04284017551872928,0.18878906584860083,0.07808012605750204,0.27229883317143394,0.04803477809513307,0.14987858466513806,0.10267936794579967,0.03799241193953223,0.11015113306209919,0.2468917565663782,0.1944481678250166,0.1401513400114925,0.13554941275972665,0.05944930907227919,0.033343078695457544,0.13755060483897094,0.057243680672449136,0.04452795879573462,0.09702921742777487,0.08000163322607326,0.10436567947958272,0.1056953208033674,0.08590018725524844,0.017026994443695813,0.0,0.003623123315999313,0.013343122090834606,0.04286961505503257,0.023820641209649582,0.0,0.0,0.019552834732771567,0.0,0.01454605999435434,0.021600141358944933,0.15799730588619904,0.0,0.0020158765589553735,0.05819695652671378,0.04899661176974707,0.08413553646575146,0.11469045492969715
40,0.05094826631922684,0.3903927059644296,0.03920831587026199,0.2354282609906536,0.17722516329638766,0.4119471186840214,0.14973081138183506,0.21429129624851537,0.1149937188651533,0.028850269336346244,0.3190570254303809,0.2807865023045544,0.38137601200457233,0.12811796756422072,0.20606229297192707,0.041525206002269555,0.05498444306450295,0.11273193081287913,0.0834134690281039,0.07684785091296684,0.08119557302264248,0.0903600526326396,0.11133321707298387,0.3165484724928274,0.1217508751709023,0.0216944214582792,0.0,0.0027369843549992527,0.00906002118850211,0.01672217453650217,0.05195103619327026,0.0,0.0,0.02495372307649569,0.0,0.014721982865170716,0.04296592890381371,0.11372456477533381,0.0,0.002314280853936927,0.0696627310322734,0.17656073347642334,0.156644633943486,0.17970000825862553
45,0.04961020053779255,0.20489362876493125,0.03257459168648668,0.1865462714350515,0.09437211627830162,0.3416038817275911,0.04717514102127627,0.21514699886632238,0.07764343032599058,0.040813940103091535,0.1438169807988132,0.2856013444448397,0.2025869376965072,0.1383085580357096,0.15640642654255119,0.05075218037549514,0.037549996260193085,0.13465648764676372,0.061685604638661934,0.04659100394089483,0.08509682444591601,0.07570779142178305,0.15341690337243433,0.08429935159251013,0.06571648941168914,0.023983282071809213,0.0,0.0051152273279337305,0.019603727239934723,0.03592415805978324,0.022699801631584533,0.0,0.0,0.016451941012250667,0.0,0.019791624949857634,0.027159407866041246,0.12915604289851543,0.0,0.0029639942961558977,0.0453971239342433,0.06549600827233226,0.14504134367394347,0.11356967822673877
50,0.04637212962868167,0.19084276234344583,0.03547751203773781,0.17454289761805028,0.08841203203221136,0.33269883213060186,0.042359714248332805,0.2033620307418873,0.0860270886544999,0.029192839540669913,0.14023594165897194,0.28033131070801065,0.1570400853463027,0.19072578288669745,0.1459425460981026,0.060359815152428394,0.03834175549864998,0.14841993176550813,0.05648165397265695,0.058484907007568046,0.09204292882174893,0.08701197418628186,0.13942574041138905,0.11224512544486688,0.06419180841481015,0.01845027079231333,0.0,0.004597038474617126,0.01945154910913048,0.023496634237138242,0.028825816285836442,0.0,0.0,0.01590366370755818,0.0,0.017688427557547567,0.021230443441784853,0.12593496490624512,0.0,0.001954643963489434,0.06882166018186137,0.07333119526869794,0.15751037698403686,0.13685542518866692
55,0.037878694097766175,0.26885122407410283,0.03776878671480701,0.17650820653114524,0.09726525341770759,0.28152656067651477,0.05812788145560675,0.23985882567786163,0.0831634728046854,0.045435946973104394,0.18990750931397585,0.24420423944440361,0.139698365261816,0.23604558588054178,0.15070030283945418,0.04888033452936393,0.03809259603059379,0.1268647141370167,0.05402846905227786,0.07667713497391777,0.0842197975787269,0.0709759378540473,0.14089061540623293,0.10517499618455461,0.07630542043665392,0.014047795354858417,0.0,0.005143583398522879,0.01060164418881814,0.021314595981577093,0.015538266262885726,0.0,0.0,0.012229583550338303,0.0,0.016938333192163896,0.015746211515546397,0.10958922773508359,0.0,0.0013016670493135563,0.05907401818272512,0.0875279059351752,0.21450817940278824,0.08307990123274307
60,0.03853927910689894,0.25369108138846497,0.018889357515466082,0.22195482241325573,0.0857911515614126,0.2807225551047969,0.0745148827152941,0.16586742475654725,0.09881957075018975,0.06238852552681211,0.15180109290915123,0.43476416309837024,0.17361028729054193,0.25871080099500293,0.21130240044352788,0.04223770496915291,0.025733175820114848,0.11612598225180934,0.062425687986339524,0.08814910825599113,0.08256735515872043,0.05238434672474854,0.10345598162613041,0.05771438281888391,0.08301611226507923,0.020041446219822682,0.0,0.0024488163825916874,0.009070556829467167,0.020574127240217902,0.01271124062506558,0.0,0.0,0.01656797593835712,0.0,0.02382670246845889,0.03581260530495515,0.12187260732697833,0.0,0.0020707511962490236,0.0378756315762721,0.06437243504411523,0.18254198348862397,0.10805789974098733
All,0.043133526686951355,0.26058927247360336,0.03184197762552282,0.17856912265170644,0.1119636714928051,0.3139193384626393,0.05875073099448716,0.2047931674278118,0.07512201915423268,0.03871358641656773,0.18554459082932634,0.2710017971540515,0.19855867958577897,0.14878870823644394,0.1611361986106199,0.04886505999216134,0.03264101254402286,0.1255522714511106,0.06496247732180768,0.05618346545947704,0.08334861259350979,0.07109887863677933,0.14186828592983367,0.12572313659387152,0.07855126352842823,0.018072495837215912,0.0,0.0038502307159149008,0.013925512271010031,0.03578385952886368,0.023343992556551573,0.0,0.0,0.019845249274453948,0.0,0.016125324470054835,0.02363667783423179,0.12734259284039967,0.0,0.0020917152795377853,0.04799050183842657,0.08390211067932896,0.14696577917851822,0.12243895136898751
