,model_name,fold,sector,rmse,mae,r2
0,catboost_baseline,1,All,25541084.417333353,6623828.541123205,0.09781366908660782
1,metrics_catboost_14_imputed_log_winsorized_target,1,10,58351230.48219516,27332934.266218152,0.0656468486288937
2,metrics_catboost_14_imputed_log_winsorized_target,1,15,6619237.960907586,5016457.969006048,-1.8101646978542196
3,metrics_catboost_14_imputed_log_winsorized_target,1,20,6061148.661061171,4221065.718540527,-1.611755225398404
4,metrics_catboost_14_imputed_log_winsorized_target,1,25,16631346.563411774,8459529.030692516,0.4761920720989389
5,metrics_catboost_14_imputed_log_winsorized_target,1,30,41679098.04169159,12928367.264137557,0.19112732440289548
6,metrics_catboost_14_imputed_log_winsorized_target,1,35,5016064.080785456,3246878.5546303815,-1.9745804248783627
7,metrics_catboost_14_imputed_log_winsorized_target,1,40,44967947.95593864,5676714.196604833,-0.014093705301603698
8,metrics_catboost_14_imputed_log_winsorized_target,1,45,5160705.412755339,3559748.4890393186,-0.7402907305076389
9,metrics_catboost_14_imputed_log_winsorized_target,1,50,8442781.702080917,6182767.428641203,-38.60090508039363
10,metrics_catboost_14_imputed_log_winsorized_target,1,55,13237825.313198378,11637449.873500634,-6.768930815286977
11,metrics_catboost_14_imputed_log_winsorized_target,1,60,7875503.516463253,6098621.273507088,-358.5683902125846
12,catboost_baseline,2,All,42233383.955851905,41791828.76684433,-64.00589904879261
13,metrics_catboost_14_imputed_log_winsorized_target,2,10,44619071.468198486,43825941.80277358,-30.65562600709305
14,metrics_catboost_14_imputed_log_winsorized_target,2,15,39779100.30484794,39445873.7684994,-63.43997808880481
15,metrics_catboost_14_imputed_log_winsorized_target,2,20,43568311.332002625,43063216.89129867,-312.58566497551294
16,metrics_catboost_14_imputed_log_winsorized_target,2,25,40919528.39626222,40681465.602512814,-124.04045833892286
17,metrics_catboost_14_imputed_log_winsorized_target,2,30,38499301.40461338,37239192.319265015,-7.032701038906298
18,metrics_catboost_14_imputed_log_winsorized_target,2,35,40951577.83193978,40858054.408672094,-503.3125787247182
19,metrics_catboost_14_imputed_log_winsorized_target,2,40,42923083.34171279,42656501.009144485,-24799.961694608406
20,metrics_catboost_14_imputed_log_winsorized_target,2,45,41895596.841874205,41563569.36622046,-214.4063606463372
21,metrics_catboost_14_imputed_log_winsorized_target,2,50,44518517.4493911,44367477.426003635,-2472.514743961282
22,metrics_catboost_14_imputed_log_winsorized_target,2,55,47559713.86291939,47282177.96684766,-459.46726132425067
23,metrics_catboost_14_imputed_log_winsorized_target,2,60,45617723.47842195,45474209.57259662,-2805.758506874459
24,catboost_baseline,3,All,15072109692.121542,322084109.1540407,-0.00044634497236439863
25,metrics_catboost_14_imputed_log_winsorized_target,3,10,5235201.366747869,3497463.0734042386,-0.038336833125182546
26,metrics_catboost_14_imputed_log_winsorized_target,3,15,7993228.587320721,3984101.319616286,-0.027751435526803148
27,metrics_catboost_14_imputed_log_winsorized_target,3,20,33149421195.55314,1546666275.4534926,-0.0021707016882455132
28,metrics_catboost_14_imputed_log_winsorized_target,3,25,19705598.768180687,3649710.6909229034,0.0009111811568416339
29,metrics_catboost_14_imputed_log_winsorized_target,3,30,3676320.0954896123,2686807.5466191103,0.03698849162718243
30,metrics_catboost_14_imputed_log_winsorized_target,3,35,2261734.289246814,2180548.2609757893,-7.855487382751113
