,Date,TR.WasteRecycledTotal,TR.TotalAssetsActual,TR.F.PPENetTot,TR.TotalRenewableEnergy,TR.InventoryActValue,TR.TotalDebtActValue,TR.CO2IndirectScope2,TR.GoodwillActValue,TR.SGandAExpActual,TR.WasteTotal,TR.F.OpExpn,TR.F.GrossProfMarg,TR.NumberofEmployees,TR.EnergyUseTotal,TR.CurrentAssetsActValue,TR.CapexActValue,TR.F.GrossProfIndPropTot,TR.GPMActValue,TR.NWCActValue,TR.CurrentLiabilitiesActValue,TR.GrossIncomeActValue,TR.CO2DirectScope1,TR.F.AcctRcvblTurnover,TR.SupplierEnvironmentalCommitment,TR.SupplierEnvironmentalDueDiligence,TR.SupplierEnvironmentalPolicyTraining,TR.SupplierEnvironmentalRiskAssessment,TR.TakebackRecyclingInitiatives,TR.RenewEnergyUse,TR.PolicyWaste,TR.PolicyEmissions,TR.PolicyEnergyEfficiency,TR.PolicyEnvSupplyChain,TR.PolicyFairTrade,TR.PolicyLocalSourcing,TR.PolicyResourceEfficiency,TR.PolicySustainablePackaging,TR.FindingsfromSupplierMonitoring,TR.ClimateCommitment,TR.F.InvntTurnover,TR.RenewEnergyPurchased,TR.GICSSectorCode,TR.HQCountryCode
10,6997906.013253466,3603929.9954420244,7899158.814620895,9333796.281021234,3822799.8715844713,9282759.959973397,2652162.120269307,8212259.620415879,9694898.781284247,9172371.909319412,5712106.2906857105,5111894.663076179,7762104.757056246,55067798.0502389,3645342.0455032154,3961185.5700690914,8393198.790076656,11279221.859310614,14238822.112160044,5942510.541852922,5217249.063468138,11221812.952968523,5295407.22765138,3417975.89156919,379011.13704407983,3184781.5367146335,362800.51249586366,604124.4996055892,93167.91003649273,397889.0790668503,956159.3371384875,28823.190457079378,22274.701362807416,226307.05668673528,40357.98295709467,3769735.0896443715,2582291.8467584318,362230.5168941648,124312.66707000537,320279.1605359505,9784626.589775305,2782977.574089811,0.0,0.0
15,5990156.883409474,2214965.4590920047,7960090.199298382,5295067.567682437,3293206.698751535,3819814.3211669563,2045653.2034096501,5936147.219766081,6655859.587869206,4592971.707308291,4817966.166382497,2408426.9054138325,5349276.495580748,35642556.141423345,1165840.8986535997,4328794.016924049,6694649.632115399,6759598.620473467,7161081.639843248,2920295.9628858985,3107103.51811907,6133635.350727579,3043627.968306417,2346256.8991703372,245737.99389407615,2508856.564979609,236324.16266371516,415092.84384496044,86723.42078671952,145667.81669722582,367711.05141511257,18770.999806291926,18925.454924401012,91255.40095479674,62540.408530614775,1983738.9792368382,1374160.7165875419,296494.1399145843,159413.40254171853,111794.3301695685,3568380.2964775413,1813940.7670945928,0.0,0.0
20,11641235.341639366,5956928.946723502,18520067.542402364,17494562.551234588,8361182.260110613,7739144.901285612,4997555.995717875,15651241.644290492,11857186.7722144,8776187.966347767,6505303.360747094,8873892.777219672,8350052.90616011,118389536.16080914,5202179.506139248,14966154.856187982,16634570.572301295,13390716.763715893,10218344.948834635,6568824.456102473,13281146.456884138,14670402.849286433,6004800.314225228,6191519.975902729,909656.4996339502,3369283.202602871,650303.5706981377,743885.1458140921,392952.6344945206,289401.1971592296,997652.6421467531,51527.03209376305,40369.51215352362,379191.1686210488,213659.9384553564,3748018.8025064967,3774317.8860860863,481170.0876439573,477434.0460372834,401113.6450244126,12909877.147976493,5563898.059165343,0.0,0.0
25,7653631.438891542,4198795.800296375,8136622.850942691,10112074.773660509,2799361.5186530747,7284701.985464047,3103679.8574673636,7313575.165713022,5653169.06882578,6058170.607569328,3887033.131864372,3421759.7996403254,4126216.5770295756,54249151.30818976,4195016.039478752,5355246.77217896,8176866.573938647,10195648.902364125,8324275.350504205,5510072.9236004045,4596713.160914324,10149308.448386159,4774736.398982664,3263320.240966764,424562.7383228627,3353596.6420674543,274656.16361670085,716964.1693747411,240534.87286957825,172275.87194591365,567979.9424432963,53630.34824105452,27772.979367510936,178164.9418227633,58995.82087679491,2329097.236057484,2400289.1087343204,555543.7813985357,549469.257930658,226113.4179229755,6152628.900652352,1871096.0510532584,0.0,0.0
30,6507484.7413513325,3460262.90762143,9841670.40969039,8812562.93326336,3564978.735905962,5434415.5671053855,2341533.042147756,7750123.28108421,8872992.843978653,5497163.6995079415,4468651.575346795,3047349.424605727,4775137.925717064,47134924.98230446,2593080.808916171,5710026.690952719,8286474.552903876,11794019.525752602,7242907.279936549,4608765.594672308,4698896.446338497,9095992.958396344,4343933.703675889,1997784.3111212756,291345.63790282543,3602072.3074246063,272077.1052302118,863121.397404044,143359.7125921684,122952.20433519404,462772.72452032816,11443.986047244776,13454.875831613825,206395.92753141,244032.9626803924,2203586.7101701987,2179812.462684173,369281.38240202353,271824.6720653156,163755.5230090301,5539537.2204018,2215761.3687166846,0.0,0.0
35,11395955.052064274,3885300.9667159943,9917758.717298735,10817130.938804617,3827483.668157678,7619952.929478116,3445251.127600945,9655688.748556495,9949478.876417173,8287908.924229651,3566927.308258249,4228292.358753537,8434737.101072684,73335582.03012086,3144725.592693355,10294571.081553767,12909339.185475213,13247068.063162167,16571017.277258843,6827302.6935544815,4715211.311367116,10930994.018551763,5649274.846393665,7027372.183988939,582706.616450305,3724217.8737114756,255924.16109084318,897361.0007982714,241136.04522157778,234863.48245941848,904348.9126147252,59208.508639286316,32005.911970603993,154934.59413201018,53668.17673900753,2885787.71952779,4069469.9345104643,735605.1094908001,520746.18654515763,239816.65126835587,9987699.788326995,2501972.3115614746,0.0,0.0
40,8158975.107708041,11887359.998648895,7755795.559810236,12180295.829397509,1804348.387912207,15690199.465085117,1466277.2646289608,9623793.366556786,4965573.857417445,4714852.730773196,11296749.540213274,5962982.05693602,11440317.547367072,64718129.13078198,5534287.624675698,7480472.915455512,12143845.065721307,6861637.996562182,7686878.9061736185,5723360.143939769,3650200.9935093005,8564321.286591286,5987991.856173828,7487200.7381093595,747269.5627264736,2656962.834688927,80218.47927514167,1404790.313708543,206036.2164135079,204326.23447109002,1022122.4274549758,41948.73624239004,14680.500316535636,313083.72535986366,74659.37794386847,1556142.3073895967,5362817.8236958645,564168.3887754966,300407.6571232551,399911.69641127525,5341386.667491343,2810381.0360939438,0.0,0.0
45,7684563.449242816,4959731.523373699,8468784.801489662,10350528.924413295,2439490.73664532,7394353.859352914,3321884.4515923318,6369480.216889684,6856005.346209852,6803593.221542822,4205195.0885032285,3601774.087740078,5539894.468507976,47131189.00809721,3737883.7292987946,4693585.1756732715,6895851.19169684,10686860.35970992,10706245.613307104,4216565.970808005,4883940.083559693,11065126.103151783,4804269.4843579,4175634.437392304,543079.3259839826,3658705.0438667065,245482.73903782057,751689.4610040869,251663.47986544343,163271.73591822438,757128.4378883671,43290.023061069514,17256.19739532466,159624.29578802723,73421.07796283442,1965184.4276493066,2694052.765998468,486223.2645676344,306135.1806836511,211269.73400483967,6691231.103521854,2055381.9221554627,0.0,0.0
50,14186475.70169336,7180090.5890255235,15333296.575165762,12011328.351219548,4297333.402522792,11245201.344447788,3276384.893216594,11072262.811714875,19336277.35983776,8532060.119990448,6126932.991847435,5934813.744856643,6164709.551955195,76757718.86045226,3214956.2377542867,9130996.760746257,10880397.128111864,12549957.583727462,15241521.072407909,10023020.342574598,5324977.433467782,15152957.582545117,6551323.58522238,4807718.661200353,668590.143843458,4621652.683978419,246944.72890992495,994884.571327741,377331.90467629855,168108.46725369242,1794451.1329350525,48799.52191146519,62143.39916646947,180476.9698826201,286725.5111038642,3065512.6773796077,4079210.861922155,566668.0098489983,395893.1718839062,446999.23036855826,17075141.998763714,4355613.43679464,0.0,0.0
55,6849162.601332436,3724909.0275395582,8012170.808282784,8129354.134409258,5199176.547956923,6766077.707640145,1941444.1133082146,7589776.267210631,7791459.574561592,4957127.373954568,5081386.441710032,2925540.6897840905,4607653.462883192,47361245.85234319,2057024.4583302257,5863264.657725623,9064065.920965731,7111001.904323812,8327361.979304052,5609068.404782004,3787580.624672197,7982478.201490686,4055062.6117934296,2353585.14712959,403718.12188295554,2645137.6047343086,231564.76641543902,632370.6898832219,61408.44585477366,152771.44282145487,523569.82183955534,10752.348212864868,29763.1594492339,146180.4141650731,40839.36162380577,2245138.529168104,1960109.3285394765,268127.537332029,171624.64820191485,152675.5339338951,7122135.326209453,2447156.3797283024,0.0,0.0
