,Instrument,Date,TR.UpstreamScope3PurchasedGoodsAndServices
3,SCATC.OL,2019,1630.0
4,SCATC.OL,2020,2036.0
5,SCATC.OL,2021,2643.0
6,SCATC.OL,2022,6990.0
7,SCATC.OL,2023,14272.0
8,SCATC.OL,2024,5465.0
16,MNTC.ST,2023,200.95
17,MNTC.ST,2024,46.174
25,TSCO.L,2023,38453200.0
26,TSCO.L,2024,529470.0
30,2881.TW,2019,37872.0
31,2881.TW,2020,39384.0
32,2881.TW,2021,35310.0
33,2881.TW,2022,39350.0
34,2881.TW,2023,48427.0
35,2881.TW,2024,48729.0
42,TATA.NS,2022,63183.0
43,TATA.NS,2023,73442.0
44,TATA.NS,2024,84039.0
51,8425.T,2022,108410.0
52,8425.T,2023,174226.0
53,8425.T,2024,130073.0
59,035420.KS,2021,70791.0
60,035420.KS,2022,83826.0
61,035420.KS,2023,61348.0
62,035420.KS,2024,93271.214
69,4928.T,2022,65054.325
70,4928.T,2023,62622.56
71,4928.T,2024,66107.664
78,6121.TWO,2022,236875.0
79,6121.TWO,2023,261635.0
80,6121.TWO,2024,341940.0
87,SG.N,2022,3664.0
88,SG.N,2023,67677.0
94,CLNX.MC,2020,37138.0
95,CLNX.MC,2021,31963.0
96,CLNX.MC,2022,32724.0
97,CLNX.MC,2023,43860.11
98,CLNX.MC,2024,66419.0
101,OCEJ.J,2018,23605.0
102,OCEJ.J,2019,24562.0
103,OCEJ.J,2020,22058.0
104,OCEJ.J,2021,19729.0
105,OCEJ.J,2022,23110.0
106,OCEJ.J,2023,21699.0
107,OCEJ.J,2024,17829.0
114,6674.T,2022,471173.0
115,6674.T,2023,523813.0
116,6674.T,2024,560749.0
122,4502.T,2021,3710000.0
123,4502.T,2022,4070000.0
124,4502.T,2023,4060000.0
125,4502.T,2024,2689000.0
133,ARE.TO,2023,468973.0
134,ARE.TO,2024,484151.0
139,WOSG.L,2020,85350.0
140,WOSG.L,2021,227397.0
141,WOSG.L,2022,133335.0
142,WOSG.L,2023,134561.0
143,WOSG.L,2024,129126.0
148,PANW.OQ,2020,153415.0
149,PANW.OQ,2021,157937.0
150,PANW.OQ,2022,185254.0
151,PANW.OQ,2023,208724.0
152,PANW.OQ,2024,183836.0
158,066570.KS,2021,2965535.0
159,066570.KS,2022,2735782.0
160,066570.KS,2023,2712121.0
161,066570.KS,2024,2468350.0
168,WAWI.OL,2022,204022.0
169,WAWI.OL,2023,199028.0
170,WAWI.OL,2024,219688.0
175,MYTr.AT,2020,1116996.8
176,MYTr.AT,2021,1074601.8
177,MYTr.AT,2022,1688761.3
178,MYTr.AT,2023,1465664.3
179,MYTr.AT,2024,1262638.5
184,FG.ST,2020,97556.0
185,FG.ST,2021,129955.0
186,FG.ST,2022,210849.0
187,FG.ST,2023,52162.0
188,FG.ST,2024,66755.0
195,VBBR3.SA,2022,15338069.0
196,VBBR3.SA,2023,16794833.0
197,VBBR3.SA,2024,17019120.0
204,SGXL.SI,2022,688.0
205,SGXL.SI,2023,560.0
206,SGXL.SI,2024,650.0
211,HEIN.AS,2020,11402000.0
212,HEIN.AS,2021,12924000.0
213,HEIN.AS,2022,11667000.0
214,HEIN.AS,2023,10366000.0
215,HEIN.AS,2024,10188000.0
222,NTES.OQ,2022,7527.0
223,NTES.OQ,2023,6037.0
224,NTES.OQ,2024,5541.0
229,NDAQ.OQ,2020,38795.0
230,NDAQ.OQ,2021,68340.0
231,NDAQ.OQ,2022,59249.0
232,NDAQ.OQ,2023,60202.0
233,NDAQ.OQ,2024,58245.0
237,LREN3.SA,2019,322965.2
238,LREN3.SA,2020,274566.0
239,LREN3.SA,2021,298432.6
240,LREN3.SA,2022,298365.7
241,LREN3.SA,2023,282556.4
242,LREN3.SA,2024,315375.33
247,GLV.I,2020,25880.0
248,GLV.I,2021,122628.0
249,GLV.I,2022,157724.0
250,GLV.I,2023,153744.0
251,GLV.I,2024,234184.0
258,PROT.OL,2022,388.0
259,PROT.OL,2023,863.0
260,PROT.OL,2024,4702.0
265,HUM.N,2020,439823.0
266,HUM.N,2021,4793751.0
267,HUM.N,2022,6175405.0
268,HUM.N,2023,5566108.0
269,HUM.N,2024,6897449.0
276,MYCR.ST,2022,18153.0
277,MYCR.ST,2023,11551.0
278,MYCR.ST,2024,15055.0
285,6807.T,2022,810000.0
286,6807.T,2023,740000.0
287,6807.T,2024,750000.0
293,QNBE.CA,2021,1503.0
294,QNBE.CA,2022,327.67
295,QNBE.CA,2023,457.4
303,SQZ.L,2022,22167.0
304,SQZ.L,2023,13468.0
305,SQZ.L,2024,7860.0
311,AG.TO,2021,156025.0
312,AG.TO,2022,284499.0
313,AG.TO,2023,209662.0
314,AG.TO,2024,86119.0
321,5332.T,2022,750000.0
322,5332.T,2023,751000.0
323,5332.T,2024,619000.0
330,MCG.L,2022,221783.0
331,MCG.L,2023,138835.0
332,MCG.L,2024,86244.0
337,WY.N,2020,600000.0
338,WY.N,2021,600000.0
339,WY.N,2022,600000.0
340,WY.N,2023,600000.0
341,WY.N,2024,500000.0
344,INF.L,2018,163567.0
345,INF.L,2019,169230.0
346,INF.L,2020,132389.0
347,INF.L,2021,139369.0
348,INF.L,2022,158916.0
349,INF.L,2023,201123.0
350,INF.L,2024,234680.0
356,VET.TO,2021,24321.0
357,VET.TO,2022,78047.0
358,VET.TO,2023,45881.0
368,MMS.AX,2024,535.26
375,688063.SS,2022,155308.85
376,688063.SS,2023,63472.08
377,688063.SS,2024,91140.77
385,SFM.OQ,2023,1402000.0
392,NOLAb.ST,2021,321842.0
393,NOLAb.ST,2022,274547.0
394,NOLAb.ST,2023,244022.0
395,NOLAb.ST,2024,229694.0
403,029780.KS,2023,508.0
404,029780.KS,2024,373.0
409,NELLY.ST,2020,20459.0
410,NELLY.ST,2021,23191.0
411,NELLY.ST,2022,18132.0
412,NELLY.ST,2023,12982.0
413,NELLY.ST,2024,14704.0
417,INVP.L,2019,380.0
419,INVP.L,2021,38.0
420,INVP.L,2022,36.0
421,INVP.L,2023,60.0
422,INVP.L,2024,30.0
427,TMO.N,2020,5643961.0
428,TMO.N,2021,7474726.0
429,TMO.N,2022,7104084.0
430,TMO.N,2023,6295138.0
431,TMO.N,2024,4893687.0
439,ARBNO.S,2023,98644.0
440,ARBNO.S,2024,127362.0
446,TDMS.KL,2021,529901.0
447,TDMS.KL,2022,637613.0
456,GAMA.L,2022,33448.0
457,GAMA.L,2023,39699.78
458,GAMA.L,2024,34102.39
464,TT.N,2021,34565483.0
465,TT.N,2022,5000000.0
466,TT.N,2023,5000000.0
467,TT.N,2024,4000000.0
473,IGD.MI,2021,10348.0
474,IGD.MI,2022,7958.0
475,IGD.MI,2023,6705.0
476,IGD.MI,2024,7449.0
480,KSP.I,2019,4302620.0
481,KSP.I,2020,7956323.0
482,KSP.I,2021,8163984.0
483,KSP.I,2022,7114105.0
484,KSP.I,2023,6503611.0
485,KSP.I,2024,6315645.0
491,RENA.PA,2021,10891636.0
492,RENA.PA,2022,15135987.0
493,RENA.PA,2023,16502714.0
494,RENA.PA,2024,16310804.0
500,9505.T,2021,200000.0
501,9505.T,2022,210000.0
502,9505.T,2023,200000.0
508,8129.T,2020,1570141.0
509,8129.T,2021,1467736.0
510,8129.T,2022,2174178.0
511,8129.T,2023,2344474.0
512,8129.T,2024,2086402.0
516,GJFG.OL,2019,41066.0
517,GJFG.OL,2020,34136.0
518,GJFG.OL,2021,33063.0
519,GJFG.OL,2022,33599.0
520,GJFG.OL,2023,54283.0
521,GJFG.OL,2024,62887.0
526,6754.T,2020,26078.0
527,6754.T,2021,52800.0
528,6754.T,2022,60151.0
529,6754.T,2023,59771.0
530,6754.T,2024,48116.0
536,GPN.N,2021,247886.0
537,GPN.N,2022,313806.0
538,GPN.N,2023,170606.0
539,GPN.N,2024,133768.0
543,GEI.TO,2019,129298.0
544,GEI.TO,2020,423928.0
545,GEI.TO,2021,595310.0
546,GEI.TO,2022,551730.0
547,GEI.TO,2023,444950.0
548,GEI.TO,2024,434848.0
554,AWK.N,2021,101000.0
555,AWK.N,2022,63000.0
556,AWK.N,2023,113000.0
557,AWK.N,2024,130803.0
565,APSE.NS,2023,475391.0
566,APSE.NS,2024,327542.0
571,SFER.MI,2020,142761.0
572,SFER.MI,2021,151247.0
573,SFER.MI,2022,179669.0
574,SFER.MI,2023,103043.0
575,SFER.MI,2024,88032.0
582,7649.T,2022,1562062.0
583,7649.T,2023,1601452.0
584,7649.T,2024,2215043.0
591,036460.KS,2022,12524796.0
592,036460.KS,2023,5807050.0
593,036460.KS,2024,5707736.0
599,AGCO.N,2021,4671012.0
600,AGCO.N,2022,5460383.0
601,AGCO.N,2023,5677222.0
602,AGCO.N,2024,4144215.0
608,NST.AX,2021,126822.0
609,NST.AX,2022,232952.0
