,Date,TR.TotalAssetsActual,TR.F.PPENetTot,TR.CO2IndirectScope2,TR.F.OpExpn,TR.NumberofEmployees,TR.CO2DirectScope1,TR.TakebackRecyclingInitiatives,TR.RenewEnergyUse,TR.PolicyEmissions,TR.PolicyEnergyEfficiency,TR.PolicyEnvSupplyChain,TR.PolicyFairTrade,TR.PolicySustainablePackaging,TR.GICSSectorCode,TR.HQCountryCode
10,0.11469361764735528,0.14785747751437922,0.3194320780225426,0.47986928267816126,0.8523826107271522,0.3199040490357014,0.3838091661308323,0.022773733253750702,0.03690761362460659,0.0010466280995506789,0.001819878825487816,0.03772121351805789,0.001369077473578797,0.1810705560630565,0.6190204062084673,0.2254721861097139
15,0.08748903054256695,0.07932429790859977,0.24230690801037788,0.49236114790522995,0.5259724158203715,0.1515709876362439,0.39292904039057047,0.0296392874734965,0.03918529315416734,0.0008983067990295297,0.001540719648418177,0.04049897990750079,0.0014487134755120374,0.17410625257175988,1.0325352902318168,0.2097226073921547
20,0.07717703196803814,0.09508705490548423,0.20604144193589383,0.3882409836692763,0.5223510735795045,0.15996661923858116,0.3994080559123547,0.03782185788741046,0.049781638538096654,0.0018378745879651292,0.0025624413903104076,0.03994813569263952,0.0014164186832474185,0.22590871061458695,0.4495265875579464,0.2924357861019441
25,0.08497034253002464,0.09542146932704751,0.24960979189334995,0.3570194535625227,0.5963271977028546,0.15291216142729322,0.4116913498859258,0.057022877866954716,0.04499584749542942,0.0016671772888361977,0.0034896392218033236,0.04982483232413792,0.0014757939261379252,0.25759410083032014,0.7982026183529415,0.35403770491520165
30,0.09834133201345707,0.08800326298988195,0.2973815371208148,0.35695923450693656,0.5830269945591456,0.20657168792527675,0.3978876825822334,0.02782536336402682,0.03259372871031097,0.0005289742422079822,0.0017785804346538486,0.02510458267818084,0.0034207766507023452,0.24321646734877891,0.876967797001078,0.31675937045057095
35,0.1020264299395125,0.13845584286782342,0.27293102258624,0.27297746653437793,0.5235453919551974,0.18985622762225224,0.27870959488466407,0.0266888922783309,0.03578295837967343,0.0006374661185610675,0.002438257833801271,0.023110333362469298,0.0007249273223872315,0.3005805583811994,0.20499855599875894,0.29721452970433077
40,0.1333039722807626,0.15574629819108537,0.3208402961934089,0.2957463765794254,0.5011294535514149,0.14781912233668607,0.47928603314101426,0.030080828002237544,0.04200464910013261,0.0021886834911314292,0.006470467350419575,0.0650661288478198,0.0010445736555615543,0.2692900529008301,1.9726939723846393,0.796856824090728
45,0.11012919699756407,0.15315344748468776,0.3069858099615096,0.4111886469761907,0.6417363522822435,0.14322344505546394,0.48600507732760645,0.051214091907272566,0.05125461390730955,0.0010856796682632917,0.004837990717578238,0.035842451308516134,0.0006210668039104232,0.3251762329966787,0.1440463923976626,0.3781671338035958
50,0.10554295487697608,0.14171061238122293,0.30878828597389185,0.3629829562736266,0.5299566994904624,0.19532555352066872,0.40116276231704023,0.06849934771537557,0.044226921871876435,0.0009194184658832518,0.00335160739414258,0.03495766185142458,0.0006145103048559424,0.21389177473966328,0.4666623472985782,0.436030277120557
55,0.10849687483221472,0.11869376675973654,0.2916282646205077,0.29553014828096597,0.5297698263697337,0.3195927330961365,0.34528525938208626,0.015031545156492717,0.024697288595608956,0.0007947937879103399,0.0033777299776867795,0.020302281808104634,0.0008420837094297864,0.190353410157931,0.26984716873237535,0.41812508375753354
60,0.08001321628298422,0.10650665061068586,0.4157544436030435,0.287039164689096,0.8932491398190722,0.48358043712223764,0.2980916399477167,0.013972009229612052,0.03219847317810651,0.0016337905921370388,0.006069922234718011,0.04730529774765157,0.00037647691009696057,0.1385765547630828,0.516879450006627,0.35123936644612874
All,0.09825617547751216,0.11576330902770246,0.27632428746069504,0.37144813177857205,0.571959031511278,0.18484838946464963,0.4089320009101603,0.03818685003283925,0.04247479013931063,0.0013538414749919418,0.0034838523206741244,0.04113194776957397,0.0013144525340758443,0.2401681767752613,0.762720230763927,0.3867781389136492
