,Date,TR.TotalAssetsActual,TR.F.PPENetTot,TR.CO2IndirectScope2,TR.F.OpExpn,TR.CO2DirectScope1,TR.TakebackRecyclingInitiatives,TR.RenewEnergyUse,TR.PolicyEmissions,TR.PolicyEnergyEfficiency,TR.PolicyEnvSupplyChain,TR.PolicyFairTrade,TR.PolicySustainablePackaging,TR.GICSSectorCode,TR.HQCountryCode
10,0.0825256972766244,0.13742446936113453,0.1964827685932049,1.0195164020743672,1.183168046613182,0.5955725710962757,0.057732793904756906,0.04680795930472822,0.010674402554257346,0.00268101001192356,0.044741811652552164,0.004460769993028756,0.13465337433407376,0.8323781593558106,0.05995080201120143
15,0.059216495021690074,0.11590180182509022,0.15951372583361595,0.656827939978787,0.49356476539991784,0.5219146589116807,0.0365048351972783,0.08518273140661974,0.007151018178605855,0.0029385410969502727,0.026828414433909785,0.0008827525304480543,0.20354451409322416,0.8715433036722873,0.13887501629920115
20,0.060667459234313305,0.16207484469287134,0.07112811840594509,0.1707893405439181,0.4230655437337299,0.29542802323474004,0.08716281734211545,0.03344524856804729,0.009560648309425593,0.015053759058473932,0.03032887064232881,0.001238257391290175,0.3208584250768267,0.28424245211460775,0.16440156348152873
25,0.05480962915107149,0.126858750649905,0.10242731484971798,0.3732072453078272,0.4322789300145717,0.4105812064175249,0.12190772984568789,0.04947281340637803,0.003074161328444212,0.004688575905726379,0.03438477475436404,0.00870815543382164,0.3987929137781889,0.6896766639375856,0.19564582304058528
30,0.08319225032980271,0.1485581936247402,0.2350257101047781,0.5164142071435495,1.1123513914071705,0.494524733098595,0.04423803141495522,0.1017732086855779,0.005932190542864745,0.002141740143564263,0.0273001394711997,0.004405043475873788,0.33464133156876885,0.7932686352982671,0.1992984024497769
35,0.09312819709274704,0.13845855402504462,0.19997065373560322,0.4357978726873501,0.542519164149911,0.40436200238794145,0.04938254474442056,0.02757281917355864,0.008697780609671411,0.004170305869101138,0.030236437553240562,0.0010894724346197648,0.257161090763356,0.30277009500240665,0.41271854715674045
40,0.08468767604381813,0.46187057808166854,0.1748121133860124,0.5839037053605861,0.6135484928547739,0.4276219901420245,0.07020419421332048,0.05717048105518161,0.002645177050444411,0.010848293013246737,0.09499320270928875,0.0007262893170940851,0.19622857951502362,0.9994802665088032,0.7610122690895728
45,0.07430164634288837,0.191220011461691,0.18599460560628553,0.7543370087832797,0.6098718530243804,0.45486025380710504,0.1324947027462366,0.04942359936071045,0.00599652308215713,0.0059411702756602645,0.03408188429245058,0.0007336368391668107,0.2772340351760948,0.05205038879023609,0.37990297512864674
50,0.028915404427885948,0.09887587202857294,0.5346102137126235,0.9583642019196557,0.663593037736032,1.160140234792161,0.05300336476953198,0.04453931703247824,0.003311644460768485,0.0033993784044212254,0.10567117911751064,0.0022965912967990595,0.2560499021100845,0.1341847704749955,0.4532900457172805
60,0.042654813300299854,0.10722625840065807,0.42598269239681685,0.501100658614969,1.537229875199927,0.9140113724740525,0.06352396944388687,0.14527120275417596,0.0026904551873449395,0.0022514063879383543,0.04846756896765048,0.0021757707975863998,0.2037155151608201,0.13339038875513973,0.1711679405959078
All,0.06769863266706568,0.159691640555196,0.1876714160535863,0.5264628546078279,0.6592903099884735,0.494945393864033,0.07596278437715073,0.06035627401179685,0.0062063534441411375,0.005659313789107235,0.03942623325879024,0.002828182482725029,0.27424176471000916,0.5148276156130193,0.27368413074610504
