,Date,TR.TotalAssetsActual,TR.F.PPENetTot,TR.CO2IndirectScope2,TR.F.OpExpn,TR.CO2DirectScope1,TR.TakebackRecyclingInitiatives,TR.RenewEnergyUse,TR.PolicyEmissions,TR.PolicyEnergyEfficiency,TR.PolicyEnvSupplyChain,TR.PolicyFairTrade,TR.PolicySustainablePackaging,TR.GICSSectorCode,TR.HQCountryCode
10,0.06967525445175825,0.18494155650186636,0.2065217048589204,0.5718641568081616,0.9171675006047031,0.39040679523434646,0.06182350129376496,0.02025273099585476,0.0,0.0018008344648120069,0.051447469621155636,0.0015321679266743988,0.1757018460830468,0.4325034831480703,0.14287925867805137
15,0.05494910086100868,0.11705408336412251,0.19421105163353342,0.47479498154541694,0.6631157515024139,0.3752711468825691,0.04431997133729289,0.04720737724595773,0.0,0.0010620878688512826,0.06007670988961591,0.0016293936104472234,0.18010698018247331,1.1750073755600965,0.09668529446726763
20,0.059647112184056654,0.1269243251956502,0.1520564468217802,0.38278075344337004,0.7046933976243784,0.32972684509024774,0.07048022042618389,0.0395043745191742,0.0,0.0019558238523988587,0.0719302177029372,0.0011933088737587467,0.21849526870544325,0.4448443637550884,0.13351111123662154
25,0.05609177886994554,0.12695877318688512,0.19217229982469908,0.3651114315834967,0.6772622992106682,0.3589854455959952,0.09221493052355859,0.046347376285182956,0.0,0.001297402669892372,0.07214086564356578,0.001957815267094973,0.26473056558390823,0.8916305570456836,0.1613807881066011
30,0.061395357762429346,0.13839894482958562,0.2054967861389842,0.36442174448223175,0.8243989719352771,0.37785619798770037,0.07198240766655632,0.03201509547635454,0.0,0.0010871189007988743,0.07175527215722521,0.005868952695718998,0.26082496966466745,1.1447204009261245,0.12931576027615138
35,0.06999746155945478,0.1245040710576379,0.22156871659909844,0.424046195931247,0.7215467920978028,0.3685092739469551,0.07674926538743837,0.03437134239947811,0.0,0.0009428555238276485,0.05309911760846877,0.0007333194055588019,0.2786963673748324,0.21425726110541657,0.20037470539199218
40,0.10221498690454782,0.44388220897452885,0.2672281412747179,0.37706064216710106,0.6775588444633963,0.3893557475227776,0.07283368946292583,0.03228090039360003,0.0,0.0030257104816277056,0.07172022438658157,0.00296624523191332,0.14690087689018522,2.0213240144066185,0.47386792835289726
45,0.07726486378438853,0.12923112576972065,0.2290637413282808,0.4105433071517006,0.7333664036950758,0.38978402046287225,0.09220039380953649,0.0313302158877289,0.0,0.0037383601417639843,0.06742521374485963,0.0011783466852148046,0.2958647975570659,0.1660570622914242,0.20363531383040087
50,0.08976197827631907,0.1508531841176092,0.2677625361985081,0.4325923533455006,0.7522778924746669,0.4347233585432882,0.09839791480963188,0.01910518753816838,0.0,0.0015725029207503563,0.053271383393190964,0.0016164981543793264,0.1997500580397963,0.558788089771562,0.17061935357006644
55,0.09586336494853503,0.1626615895527696,0.22848921205541317,0.5238914585736955,0.8003561723480893,0.41265887004170293,0.049889190041863186,0.012565731108403647,0.0,0.001045865523017749,0.0420009810393822,0.0014560582011628,0.2038053028479505,0.3106823279605955,0.27097799857268
60,0.05765635949872407,0.10693827805312957,0.492031574284362,0.38088727729963157,1.1938416907550047,0.46166262007959713,0.0644957124121225,0.05303750818729049,0.0,0.0034277481654924717,0.08442845726576749,0.0012437276758729989,0.10425233335934095,0.8720477106748815,0.1823855765060568
All,0.07047047766540536,0.1735057516604676,0.21959389421064074,0.40933916099249507,0.7376346058695081,0.37695027362313976,0.07470628474353327,0.03611112648289505,0.0,0.0019169363655088048,0.06619287681352086,0.001998528885205786,0.2199446057715874,0.8389338643468233,0.20017121590435213
