,Date,TR.TotalAssetsActual,TR.F.PPENetTot,TR.CO2IndirectScope2,TR.F.OpExpn,TR.CO2DirectScope1,TR.TakebackRecyclingInitiatives,TR.RenewEnergyUse,TR.PolicyEmissions,TR.PolicyEnergyEfficiency,TR.PolicyEnvSupplyChain,TR.PolicyFairTrade,TR.PolicySustainablePackaging,TR.GICSSectorCode,TR.HQCountryCode
10,0.09806368836637082,0.16885290476069628,0.20338536434462606,0.438311749064164,0.8915945510306923,0.5184681079518237,0.011523170821669723,0.040679101527420776,0.0007643727924453184,0.007768659055327025,0.04835786961563686,0.0009187024784247262,0.09464972996306503,0.34760095433128063,0.23448700475119336
15,0.06628593834256225,0.14315186909824593,0.15762676874798592,0.4632594972930334,0.5475822751858596,0.5088781284644001,0.022696539744119164,0.04489268347383312,0.0007014252412219667,0.0021956290976176155,0.04487450015155698,0.002376122499518132,0.1747472649833362,1.0643275764511038,0.282493784726633
20,0.08801066739916368,0.14537726297010764,0.10310072024133357,0.357233105104868,0.6314121377500298,0.4408128758931986,0.03411800937281914,0.05492548518740641,0.001587217043293473,0.004125685258974813,0.06526901763718448,0.0008862068349649063,0.2138990002787323,0.4073459863662806,0.3242807967701414
25,0.07275159537833395,0.15041875881173286,0.15906097785961743,0.3857887391969599,0.6619021525664681,0.49503259608606753,0.03426432957083458,0.0625869994248292,0.002011727549577181,0.008486840913700151,0.04845468702180767,0.0019994943035167214,0.2609451666720993,0.9179204163822953,0.3175994980125158
30,0.05855241994347458,0.13842846843580073,0.1699679573578808,0.34455839048058395,0.6173817362872562,0.47122813775197564,0.015366671451852306,0.05766401904060671,0.0023242788261866646,0.005154815276004135,0.06399279330384762,0.004502508224254263,0.23384949703373362,1.1791057976118546,0.21878119258825637
35,0.09088340496557762,0.13956099098742372,0.16112170611418108,0.2941399349829796,0.5713811132158783,0.3955120376516984,0.02765287485387289,0.033525113574369526,0.0021782700010984798,0.0059174088838371925,0.04498608765846557,0.0005165944042633465,0.25424789144877685,0.29648569049107065,0.3248814770271908
40,0.09448586317766276,0.24918265130095027,0.27066441145453884,0.348244821966719,0.5693064392085091,0.5139902021520396,0.02923215135722579,0.049354284217710605,0.0022982721626256222,0.006217545285056418,0.08072521244804155,0.000829417432850029,0.18919750757131995,1.888464184567888,0.8421424249689257
45,0.10005781853153023,0.1606754816830744,0.17174999876944566,0.36599771999302494,0.5969792074206094,0.5078841825236725,0.04425668856547233,0.05459297564751118,0.0028705748667256304,0.01102553229273854,0.055064629129006254,0.0006324377672822911,0.29378338329408077,0.13222712647355564,0.3775078407710851
50,0.1268470733919585,0.17033003563340093,0.1624900870668187,0.35179230144167595,0.5300189877390207,0.43488715947309237,0.06097264693483675,0.044294772408478775,0.001784492515605477,0.0036711226677788294,0.03612430787093006,0.0008012951049184111,0.21581288250287498,0.47464708670053823,0.4289784855094413
55,0.06148887613920889,0.2411946676381302,0.18901013076656953,0.4864488880938488,0.8997157130336201,0.4573568839587116,0.025226031415206056,0.03243495289672823,0.0007756301246537417,0.008810319654809738,0.041070096470414943,0.0008198495231331222,0.16917530329538422,0.3584088400127456,0.327728775037378
60,0.06930544200697927,0.11293215239658673,0.3469791249445857,0.28065899098521974,1.0717231404001595,0.3742571112821533,0.022077511860925842,0.036674883786544765,0.0011667197022230708,0.0036272395676227977,0.055767337669910814,0.0005578042120056065,0.14360838217551872,0.617881277384444,0.3017266472056955
All,0.08426866875225596,0.16569165074780817,0.17857918111326027,0.37233281525674655,0.6467087660639309,0.47305793715048966,0.03120954322623755,0.049916529642448276,0.0018143507678892979,0.006126079469355087,0.056468643676771776,0.0013766982911616044,0.2166742975550783,0.7733291204735193,0.38856648248975945
