,Date,TR.TotalAssetsActual,TR.F.PPENetTot,TR.CO2IndirectScope2,TR.F.OpExpn,TR.CO2DirectScope1,TR.TakebackRecyclingInitiatives,TR.RenewEnergyUse,TR.PolicyEmissions,TR.PolicyEnergyEfficiency,TR.PolicyEnvSupplyChain,TR.PolicyFairTrade,TR.PolicySustainablePackaging,TR.GICSSectorCode,TR.HQCountryCode
10,0.15482048732368073,0.1423503180782148,0.36717641659754696,0.7940254880379106,0.8181223055278357,0.40990424886126176,0.10403220129698368,0.05939175097108302,0.0,0.002827130981596483,0.023409049581593764,0.0014367911996316684,0.1923128777618462,0.4003582435427418,0.13798914537699908
15,0.06665247622804804,0.13859591742626184,0.26223920255641275,0.5779178879640491,0.6169733568931006,0.3647837105280991,0.07349155000684239,0.07420251371006426,0.0,0.0008793490689641767,0.030914827000324323,0.0036069268363184545,0.2150110617676554,0.9903105630338421,0.07665171878560399
20,0.07898289621396223,0.14033340377956188,0.20827295648041413,0.5322505182645078,0.6420173822045794,0.35695187901634423,0.12637482173014045,0.06558189946434691,0.0,0.0011716788118038923,0.04261002595555713,0.0034773198523195973,0.2989533093731184,0.4483191765481237,0.09095011226345519
25,0.07945001700822935,0.14660271741697464,0.29250947695032686,0.4860215715366284,0.6416366750464565,0.33955837645760567,0.19022357692824893,0.07020950383170144,0.0,0.0010108537496190174,0.043256151804942196,0.00348864878713253,0.30485392304824205,0.8065148123201957,0.10226897100548324
30,0.08497338285012127,0.12728260805164904,0.3047453385461848,0.5050220496607638,0.7240527493142318,0.397307583304376,0.11125978843669498,0.06269609331341644,0.0,0.0022304054671852913,0.035386468150143575,0.011642128126945485,0.3469591163930521,0.9476242695989535,0.11492279323819195
35,0.0943810453466567,0.156405349108418,0.2505268494249759,0.5682467673997792,0.6380487335627811,0.3102547753251163,0.14121970892725352,0.05291760303097746,0.0,0.0024602663246106444,0.041772777848248566,0.0016039401056634566,0.32718665449109247,0.21799875140292663,0.10982292682987323
40,0.15600926327182435,0.5727925686486791,0.35801084701735053,0.56701664154253,0.7077855675590369,0.3667199584441348,0.1410773001124163,0.06374673521955852,0.0,0.003301022895404424,0.057780971428394085,0.013435097218422292,0.22128139441494296,1.6845921820169558,0.24712765514204768
45,0.10523067522206664,0.1698140696710172,0.2847856972609776,0.5833496013791545,0.7578267795586373,0.30657032441532134,0.1970262469234023,0.05940864052465198,0.0,0.0024295681917384294,0.04366807961472777,0.004218016367850681,0.3832269005041355,0.17389621167009328,0.10115860316017282
50,0.10102808147406678,0.17264201915450905,0.34938196585149206,0.558765263973605,0.7258405193673387,0.39030356624122076,0.23650786682086433,0.053849023524543176,0.0,0.0068252933651800265,0.027843376988310756,0.0051538552781066034,0.24334556999120646,0.6458350934140572,0.09556599619002898
55,0.11499260625717546,0.1902609690045151,0.42880656370360004,0.6039882368187036,0.7564856744519183,0.4242245280301393,0.08888104647246478,0.028022254344213158,0.0,0.0009921933173777358,0.025908113129681647,0.0035391822572624423,0.21171492890241309,0.27943458031646257,0.12465252024958544
60,0.10422081965668857,0.12249715269298503,0.4207840512089368,0.48917542817621856,1.328862500862947,0.3662318832371231,0.13356013279372708,0.10470095768251689,0.0,0.006907512376036662,0.06947484327548115,0.0033044977110783017,0.12807680918027298,0.6648369590297475,0.1531062019777685
All,0.0987429961767428,0.20509767321195005,0.2977750652494401,0.5527651049635414,0.7065306078979804,0.3586701164959152,0.14509020216673094,0.06427066213981063,0.0,0.002314752965935452,0.04147391257405377,0.00544429400718998,0.27716372538077927,0.7416234861496744,0.1217912232055092
