,model_name,fold,sector,rmse,mae,r2
0,metrics_catboost_6_imputed_sector_35,1,All,1.7023746154272996,1.0966078940507027,0.6680500555280758
1,metrics_catboost_6_imputed_sector_35,1,35,1.7023746154272996,1.0966078940507027,0.6680500555280758
2,metrics_catboost_6_imputed_sector_35,2,All,1.7401452321485122,1.10209042181336,0.5574520533521001
3,metrics_catboost_6_imputed_sector_35,2,35,1.7401452321485122,1.10209042181336,0.5574520533521001
4,metrics_catboost_6_imputed_sector_35,3,All,1.2180288990543573,0.9944489771094995,0.7052169804748951
5,metrics_catboost_6_imputed_sector_35,3,35,1.2180288990543573,0.9944489771094995,0.7052169804748951
6,metrics_catboost_6_imputed_sector_35,4,All,1.6761971755129512,0.9942526173602477,0.6153012601467978
7,metrics_catboost_6_imputed_sector_35,4,35,1.6761971755129512,0.9942526173602477,0.6153012601467978
8,metrics_catboost_6_imputed_sector_35,5,All,1.4662038511819133,0.9291700198576511,0.7740093355565139
9,metrics_catboost_6_imputed_sector_35,5,35,1.4662038511819133,0.9291700198576511,0.7740093355565139
