,model_name,fold,sector,rmse,mae,r2
0,metrics_catboost_14_imputed_drop_over_100_000_000_log,1,All,3515564.4475052697,1359393.4339898278,0.4053102608730824
1,metrics_catboost_14_imputed_drop_over_100_000_000_log,1,10,6282868.914139101,3157151.134958169,0.4498658221379884
2,metrics_catboost_14_imputed_drop_over_100_000_000_log,1,15,4044108.2157689338,2330865.781267183,-0.5640893249357095
3,metrics_catboost_14_imputed_drop_over_100_000_000_log,1,20,2048830.5455308284,1096896.949815127,0.4463744809347612
4,metrics_catboost_14_imputed_drop_over_100_000_000_log,1,25,2776556.409799657,1528604.855836637,0.5911597102989102
5,metrics_catboost_14_imputed_drop_over_100_000_000_log,1,30,9580462.430365428,3477229.6421336127,0.34073641724984527
6,metrics_catboost_14_imputed_drop_over_100_000_000_log,1,35,976225.0228583999,739512.8252902289,0.6744040305100134
7,metrics_catboost_14_imputed_drop_over_100_000_000_log,1,40,517075.74935123016,410364.25577366946,-6.001922200589008
8,metrics_catboost_14_imputed_drop_over_100_000_000_log,1,45,2262547.3350325776,1104191.710086796,0.3348681168898119
9,metrics_catboost_14_imputed_drop_over_100_000_000_log,1,50,735048.2344038037,607600.1187733385,-6.042828514432462
10,metrics_catboost_14_imputed_drop_over_100_000_000_log,1,55,4230470.714322268,1816241.2473331313,0.1942393213918442
11,metrics_catboost_14_imputed_drop_over_100_000_000_log,1,60,342359.7492726332,304131.71219451196,-0.728447207115587
12,metrics_catboost_14_imputed_drop_over_100_000_000_log,2,All,4198155.916161634,1544042.8905966212,0.44777263902750364
13,metrics_catboost_14_imputed_drop_over_100_000_000_log,2,10,3151307.4528849996,2207264.9775975314,0.3878736784711184
14,metrics_catboost_14_imputed_drop_over_100_000_000_log,2,15,6823268.897385849,2643406.443938516,0.39183895488879905
15,metrics_catboost_14_imputed_drop_over_100_000_000_log,2,20,3677253.2681921073,1362850.9856892135,0.27953620869115214
16,metrics_catboost_14_imputed_drop_over_100_000_000_log,2,25,5714146.193195451,2507432.5300882407,0.4467068578398432
17,metrics_catboost_14_imputed_drop_over_100_000_000_log,2,30,7790298.98628191,4449352.340433797,0.3057531852150466
18,metrics_catboost_14_imputed_drop_over_100_000_000_log,2,35,1387971.4426780553,620012.7533689087,0.7481139746229315
19,metrics_catboost_14_imputed_drop_over_100_000_000_log,2,40,500396.6700458671,252597.98587382055,-5.650891219814828
20,metrics_catboost_14_imputed_drop_over_100_000_000_log,2,45,2294370.3832256435,1048534.962087643,0.052506285606520375
21,metrics_catboost_14_imputed_drop_over_100_000_000_log,2,50,1129706.0145804188,477267.67148772744,0.4823496635664257
22,metrics_catboost_14_imputed_drop_over_100_000_000_log,2,55,2696229.2723166263,1508276.49254334,0.38922482548434456
23,metrics_catboost_14_imputed_drop_over_100_000_000_log,2,60,411554.2951255653,186235.3179511762,-1.0698038485132648
24,metrics_catboost_14_imputed_drop_over_100_000_000_log,3,All,2895186.8143261173,1315841.7037925194,0.5262885090018962
25,metrics_catboost_14_imputed_drop_over_100_000_000_log,3,10,3581968.5736189066,2285884.3678460736,0.33285080526427246
26,metrics_catboost_14_imputed_drop_over_100_000_000_log,3,15,2931734.0071135485,1785696.1259745932,0.5745043556133849
27,metrics_catboost_14_imputed_drop_over_100_000_000_log,3,20,2425832.57606624,1331598.2941402057,0.2986779862925193
28,metrics_catboost_14_imputed_drop_over_100_000_000_log,3,25,3584044.606192389,1835132.3687705684,0.48734610626765207
