,Date,TR.TotalAssetsActual,TR.F.PPENetTot,TR.CO2IndirectScope2,TR.F.OpExpn,TR.CO2DirectScope1,TR.TakebackRecyclingInitiatives,TR.RenewEnergyUse,TR.PolicyEmissions,TR.PolicyEnergyEfficiency,TR.PolicyEnvSupplyChain,TR.PolicyFairTrade,TR.PolicySustainablePackaging,TR.GICSSectorCode,TR.HQCountryCode
10,122591.30869385893,249167.57398932517,292601.28165449185,561930.694484229,1724276.6486495093,607285.3839789155,269311.8041571241,1722.6784795873198,0.0,3502.141873932929,4241.716620153263,19555.60784290742,514703.73358605837,592979.548331504,0.0
15,58407.52004971106,300253.3897344611,243162.84475284268,828061.2939132072,1280375.4342436453,671477.0523985627,161642.06654868054,860.8170185706646,0.0,5703.527473595859,4213.983013986819,29573.921068243802,522974.30191689916,967127.0514282582,0.0
20,80415.55434557688,238751.56594413918,218048.3605420014,549550.7244817835,923643.5064785196,349981.348003995,269582.803267906,1133.2602527404044,0.0,3467.0816435574743,2241.467118949501,15693.32170546429,434984.40098567674,277438.9248472149,0.0
25,122067.0242097752,320298.08126626594,312279.3972370896,527411.6790609253,1191946.0480744236,290607.5867615412,407849.17881834833,1349.8682662042104,0.0,4498.713278741116,1873.0312799297847,12124.292058922163,581146.9157638889,274962.8644281132,0.0
30,67908.29891679689,292956.353297237,298718.10596516635,646481.0876853229,1085543.5675198117,456259.1045529725,209169.93548929263,2041.641937946025,0.0,5031.647872628967,1563.0370458788966,67160.5728706641,666565.277725081,1261936.258985458,0.0
35,75700.7227715845,167652.60907271743,252986.20050900255,346072.90877822984,1042150.0282539325,246740.58651374004,216415.4378022683,571.5686317400276,0.0,1688.5979137883437,1145.086701403153,8902.075221841693,455958.66020902526,1195446.8433919246,0.0
40,17954.891237241918,160372.7292664239,194389.52624271138,383828.8855619179,556876.6954350165,273858.2494911061,112769.26914467059,601.9614582169617,0.0,1626.3637455803632,3035.729370521365,5163.521806313324,250913.98163682962,687444.4166276582,0.0
45,79524.25155158265,188555.17138172104,261726.87104399313,565248.6961373932,1119995.3891129524,352452.01015935245,266198.778048214,404.09061696082864,0.0,2098.5273261418906,1595.2422872394636,9853.601511068911,423860.9456955175,1133526.1270538482,0.0
50,48993.19631725342,166068.30301521625,382450.38119366666,575622.7138219554,1009092.1690568659,363972.8334167834,386963.38961325935,391.6948946355815,0.0,1977.2978938618896,1933.3398569721671,11204.309476242968,397105.3421355861,1551583.0986041324,0.0
55,33236.40939217058,115272.16392747496,327640.07441558567,305371.0263197025,522031.1188313278,393968.9410038307,110594.9540315879,2469.7745505373596,0.0,2406.8183402772256,1422.275781940891,8649.769269703105,296230.3619843338,672346.8790642308,0.0
60,22494.008339923494,110616.98565972035,250842.10001027907,381360.58864173025,640906.009737272,225406.31756526398,106783.7531721148,244.85912385622083,0.0,1898.747299280932,1221.916546282508,5587.957905704848,267974.97987609234,691251.6217550607,0.0
All,67590.02063889605,225064.93051218757,261318.61182994107,544940.7220792215,1008457.3690359091,384867.64164135745,235986.81640108925,950.9788517887962,0.0,3275.530849166523,2384.2511156002806,17067.0296350276,442776.24932001886,787307.2302111345,0.0
