,model_name,fold,sector,rmse,mae,r2
0,metrics_catboost_14_imputed_drop_over_100_000_log,1,All,22494.264496492928,16686.60587984262,0.2551540554154449
1,metrics_catboost_14_imputed_drop_over_100_000_log,1,10,34113.44445484109,28332.25000096537,0.0725901844587804
2,metrics_catboost_14_imputed_drop_over_100_000_log,1,15,31085.79951693777,25538.26204780067,0.11701821511842347
3,metrics_catboost_14_imputed_drop_over_100_000_log,1,20,32341.640679674878,26641.7268077749,-0.029246577153150488
4,metrics_catboost_14_imputed_drop_over_100_000_log,1,25,23386.40044741252,19035.912266664785,0.16851730046873725
5,metrics_catboost_14_imputed_drop_over_100_000_log,1,30,26239.371857674305,23527.96853787651,-0.27686939563234314
6,metrics_catboost_14_imputed_drop_over_100_000_log,1,35,27961.45558500441,20027.325558544413,0.22102177006460988
7,metrics_catboost_14_imputed_drop_over_100_000_log,1,40,15690.265171453397,11760.447775749124,-0.050076023654543445
8,metrics_catboost_14_imputed_drop_over_100_000_log,1,45,18363.197034422366,13202.538913118744,0.08606340903572263
9,metrics_catboost_14_imputed_drop_over_100_000_log,1,50,21708.23509530596,17253.143204015047,0.31867377459122015
10,metrics_catboost_14_imputed_drop_over_100_000_log,1,55,26034.174053471575,23015.847839432245,-0.05641956940866666
11,metrics_catboost_14_imputed_drop_over_100_000_log,1,60,18373.85544661318,12374.807563136335,0.12014308977891475
12,metrics_catboost_14_imputed_drop_over_100_000_log,2,All,23680.347494407863,18003.02271455077,0.26280347187772424
13,metrics_catboost_14_imputed_drop_over_100_000_log,2,10,22144.776408515678,20122.252278871474,0.1611624469498829
14,metrics_catboost_14_imputed_drop_over_100_000_log,2,15,33836.98161933241,26436.817142956457,-0.03812248987859812
15,metrics_catboost_14_imputed_drop_over_100_000_log,2,20,27688.489758218817,23519.75371875542,0.14168968797028603
16,metrics_catboost_14_imputed_drop_over_100_000_log,2,25,28276.570639457477,24515.391328895574,0.10735781119809318
17,metrics_catboost_14_imputed_drop_over_100_000_log,2,30,30778.571852755456,29102.069494386167,-0.6697608478216872
18,metrics_catboost_14_imputed_drop_over_100_000_log,2,35,29777.56213274488,24146.10157840335,0.2155354312369585
19,metrics_catboost_14_imputed_drop_over_100_000_log,2,40,12419.828208224615,9369.256998266175,0.2609864251215762
20,metrics_catboost_14_imputed_drop_over_100_000_log,2,45,27511.47225399015,21879.22145420314,0.24916921195328345
21,metrics_catboost_14_imputed_drop_over_100_000_log,2,50,26182.216250271365,20820.506857414683,-0.04429246067938131
22,metrics_catboost_14_imputed_drop_over_100_000_log,2,55,27005.974971478463,18695.134536006957,-0.06784799084982684
23,metrics_catboost_14_imputed_drop_over_100_000_log,2,60,26829.937229959483,19418.661957088065,0.20673440161429057
24,metrics_catboost_14_imputed_drop_over_100_000_log,3,All,22987.708089122843,16769.53629785408,0.25975429515748694
25,metrics_catboost_14_imputed_drop_over_100_000_log,3,10,33568.18497645295,31518.41503242804,-0.3991855484797331
26,metrics_catboost_14_imputed_drop_over_100_000_log,3,15,29554.634896559342,22408.6477257619,-0.39650130365089664
27,metrics_catboost_14_imputed_drop_over_100_000_log,3,20,25297.73832152587,21185.10983072885,0.06569855403230818
28,metrics_catboost_14_imputed_drop_over_100_000_log,3,25,30163.784476736168,24057.14609732098,0.17162773477959725
29,metrics_catboost_14_imputed_drop_over_100_000_log,3,30,33358.245410210475,24340.7935347099,-0.053362155731563554
30,metrics_catboost_14_imputed_drop_over_100_000_log,3,35,31443.059873707836,25250.691989663486,-0.042158022091513425
31,metrics_catboost_14_imputed_drop_over_100_000_log,3,40,17892.08334530564,12000.537080073085,0.28838324795278836
32,metrics_catboost_14_imputed_drop_over_100_000_log,3,45,22501.491499667107,17136.41303113126,0.2737773458220498
33,metrics_catboost_14_imputed_drop_over_100_000_log,3,50,24590.770435562856,19317.99244766243,0.26865364517133095
34,metrics_catboost_14_imputed_drop_over_100_000_log,3,55,24916.329217876264,20521.93528775808,0.04055066241005112
35,metrics_catboost_14_imputed_drop_over_100_000_log,3,60,17775.543434697352,11625.443907679544,0.24473546098695964
36,metrics_catboost_14_imputed_drop_over_100_000_log,4,All,24430.635769059834,18323.092367683294,0.2341138606017611
37,metrics_catboost_14_imputed_drop_over_100_000_log,4,10,29895.775318315245,20039.584807486495,-0.1397395535561785
38,metrics_catboost_14_imputed_drop_over_100_000_log,4,15,29715.057221491446,26530.92469295439,-1.5096897888480671
39,metrics_catboost_14_imputed_drop_over_100_000_log,4,20,28361.86854563494,23132.959568025806,0.08998756300044897
40,metrics_catboost_14_imputed_drop_over_100_000_log,4,25,27998.936816496025,22917.655806079594,0.12830816866787098
41,metrics_catboost_14_imputed_drop_over_100_000_log,4,30,27662.499844226983,22174.616548081754,0.026221864739484735
42,metrics_catboost_14_imputed_drop_over_100_000_log,4,35,20435.87460130067,17839.02247663058,0.23142371191355593
43,metrics_catboost_14_imputed_drop_over_100_000_log,4,40,18404.695932678937,11794.44128607408,0.2803237652422109
44,metrics_catboost_14_imputed_drop_over_100_000_log,4,45,28601.34063484329,23406.873031537445,0.15672074019360294
45,metrics_catboost_14_imputed_drop_over_100_000_log,4,50,28944.04364021797,23032.628475207875,0.1387357112155757
46,metrics_catboost_14_imputed_drop_over_100_000_log,4,55,16266.314846753643,13173.010336374406,0.10195875583413438
47,metrics_catboost_14_imputed_drop_over_100_000_log,4,60,21300.970448619984,15829.171197242253,-0.10680764298746026
48,metrics_catboost_14_imputed_drop_over_100_000_log,5,All,23765.110038235165,17448.501329489558,0.23981701429324465
49,metrics_catboost_14_imputed_drop_over_100_000_log,5,10,27299.701874304305,20574.200406333297,0.23419420792961143
50,metrics_catboost_14_imputed_drop_over_100_000_log,5,15,22108.16751253954,17837.2216752829,0.3795715713347789
51,metrics_catboost_14_imputed_drop_over_100_000_log,5,20,30859.236505158944,23425.54701242113,0.133604064833597
52,metrics_catboost_14_imputed_drop_over_100_000_log,5,25,25477.74401741723,20326.344702742215,0.07622492978852835
53,metrics_catboost_14_imputed_drop_over_100_000_log,5,30,8357.516349299456,6208.50976916374,-0.1601267974734495
54,metrics_catboost_14_imputed_drop_over_100_000_log,5,35,29095.7481041237,23295.665534235446,-0.004812398805081219
55,metrics_catboost_14_imputed_drop_over_100_000_log,5,40,16626.10486269784,10520.048272956737,0.02514498429288714
56,metrics_catboost_14_imputed_drop_over_100_000_log,5,45,21258.992394309284,16503.83743802401,0.38219227389600385
57,metrics_catboost_14_imputed_drop_over_100_000_log,5,50,31240.540597293235,26994.20915865471,0.03387710370578789
58,metrics_catboost_14_imputed_drop_over_100_000_log,5,55,25243.11716012337,20977.800581339798,0.17288252297241746
59,metrics_catboost_14_imputed_drop_over_100_000_log,5,60,23830.38553390288,17301.787633808923,0.21061447021125324
