,Date,TR.TotalAssetsActual,TR.F.PPENetTot,TR.CO2IndirectScope2,TR.F.OpExpn,TR.CO2DirectScope1,TR.TakebackRecyclingInitiatives,TR.RenewEnergyUse,TR.PolicyEmissions,TR.PolicyEnergyEfficiency,TR.PolicyEnvSupplyChain,TR.PolicyFairTrade,TR.PolicySustainablePackaging,TR.GICSSectorCode,TR.HQCountryCode
10,1014.2388382886439,1013.3618244797267,2057.1997553959523,2179.352035323084,2505.807733923809,1311.7332087215448,89.45750647115361,745.70581705621,13.030583615740559,8.146159297497498,244.2058061202593,31.32761291677719,491.87542846817394,3232.141420616073,2893.7156396744535
15,910.4535881376523,1550.8959559473649,481.23495292897246,1939.7868934462151,1522.5619793520527,3233.985001067786,106.52328844494252,937.41027797742,45.45627796880764,12.9826205028472,206.11439924361588,21.5573161341402,2025.3556053599032,5879.969362160474,2301.904539235985
20,737.1376173832552,1005.7043677836715,1079.79833560207,2054.754169812942,2523.1144913120256,2185.858191110784,92.72163796499039,886.4671870269611,45.36336073955415,27.56480289617188,569.8753484996114,23.69030412127502,1199.9002721600964,5255.653437232691,2167.7663294527224
25,727.3917137360351,716.2767445612988,1439.058762930727,1329.7741773999892,4656.314738276363,1903.5696430143223,356.887853320427,977.4026213027912,46.160740797219475,25.9327937908593,406.4121417946509,17.63099666126876,2835.439186694339,3909.055846404129,2317.9534325563704
30,622.5340499471243,945.9925916612536,1097.5880244464413,2259.9362579416124,2981.705229256428,1247.461128442899,51.28537849648149,324.9556992960698,3.4342175447221535,22.13453090149569,264.7091409892011,27.97412319825529,1731.9653485993022,1541.0396267962794,1273.793529228497
35,735.4733123020081,1209.396526266777,1370.6454804594948,1376.2563295261143,4556.939010099331,2560.5997665701443,168.3365082755921,678.6701551637345,50.52816326209067,21.758198044325006,406.64819484347385,15.076125301284968,2316.012503962956,3019.87740382158,2494.186380339386
40,790.657934394242,1740.8895905635825,1045.2272321998857,1443.0811795421628,2054.3500786882614,1042.4380503919313,41.242678337090155,253.33491794096892,21.376766369827997,25.155744060460417,243.28507429258468,39.39013977886068,716.8352544779626,7690.149883353206,4212.4766336119055
45,645.2419672542268,1182.6185868775494,1870.4563864312609,1989.6095621018885,3119.3051262621066,2576.6384988020245,134.8167703581656,1030.3398532940278,57.31408816867671,40.5267557320174,504.5630859450043,35.561268244060436,1884.6467634399821,3440.899143108363,2066.1901596689668
50,987.0209303503674,739.2413861933737,1105.191906922885,1814.1621892843823,3819.68153367387,2230.636991838179,208.45610191642734,624.6383850052719,52.4084178116097,32.80501625278103,364.6997484572478,78.19181680165183,1544.3055124719647,4596.92130148085,2389.0617856058825
55,1187.2105810835303,718.5523534733144,1790.9495232902696,2486.5747518091293,3254.039914682847,1691.521574632803,103.92999376701121,470.4830581507606,8.289055745950675,22.751458466419855,435.2575232813694,28.15140272290083,545.4011312643586,4185.3619779400815,2715.933380234551
60,525.7374427510763,832.9696128609667,2955.8197613380544,1001.9658699391046,5855.93478318916,1484.754794413994,43.998612141515025,312.7376489496967,43.51878495226585,21.773911891423797,347.0965720416379,14.518810595524927,533.3787637890242,1755.206314339738,2770.3580456710524
All,761.3431793751262,1184.2812642574281,1521.5991990255682,1619.5193973623027,3356.942278254621,1789.0734506785207,109.48001862501712,581.6591822453046,38.053358390919804,26.57639928056184,373.57958040440553,32.24093542005126,1238.444753702489,4848.752869020492,2927.638383619786
