,Date,TR.TotalAssetsActual,TR.F.PPENetTot,TR.CO2IndirectScope2,TR.F.OpExpn,TR.CO2DirectScope1,TR.TakebackRecyclingInitiatives,TR.RenewEnergyUse,TR.PolicyEmissions,TR.PolicyEnergyEfficiency,TR.PolicyEnvSupplyChain,TR.PolicyFairTrade,TR.PolicySustainablePackaging,TR.GICSSectorCode,TR.HQCountryCode
10,0.08756262125458202,0.12425636632874673,0.4599948633939927,0.6426792974834743,1.0091068135110897,0.5508318657326448,0.04871354685821749,0.03951055089547225,0.0006824147831307179,0.0005331510869853899,0.056150037097392594,0.0007801903495000949,0.17860265833723343,0.7911694152072491,0.18196441638593155
15,0.08833140157370281,0.08353032774055086,0.2878492958624609,0.5518918280131921,0.6679437669301094,0.4586047051069201,0.049266219853785514,0.0561187264245606,0.0009487775820962338,0.0003938143961876509,0.06670329222003786,0.0009690479744972283,0.21959451014876075,0.820192944134876,0.18122226403695407
20,0.08779240647414535,0.07767888312643595,0.21920432260826872,0.43766130294258576,0.6586250780940626,0.3859889912846213,0.0656032871049474,0.08698844354966229,0.001300887635862124,0.0011117810941483198,0.05951169982465942,0.0028709713891319653,0.25084063002286333,0.32884700547193346,0.19010035639199213
25,0.10917843259981776,0.08354906517382071,0.2537483591815731,0.3698398164103614,0.5764152564535194,0.40347402201679744,0.08763561999832674,0.07657951823396111,0.002617215357866373,0.001370089664428556,0.07353349868007941,0.0029372037111537967,0.3037199235020401,0.6462413050880879,0.2212852192663718
30,0.09930511821286762,0.0723553187676684,0.280928722647406,0.4440770194247629,0.7696509586027864,0.47110018166406853,0.055447397872278176,0.051408538684454344,0.0005530002524717107,0.0005652068482316941,0.05009195964044933,0.009142783130777436,0.27853270547869274,0.8081950558303521,0.2114643667097329
35,0.09955584721404354,0.10586632990967346,0.27158868095914224,0.39125945278561175,0.731958598133018,0.3168349616940479,0.07186602737642882,0.0588486830873855,0.0028249620644682266,0.0009185070759686952,0.041286372554143504,0.0029746099617425307,0.33491037315154487,0.23760516877090762,0.22311073428283637
40,0.11715488806292562,0.47488610655009666,0.4693099083357922,0.5073623405087843,0.729209883461605,0.4687946279068213,0.06439739021888384,0.043071631454036106,0.003909612219765817,0.00198175652286069,0.08530548103218374,0.006941188892873041,0.2218323050140417,1.6134598723052944,0.3643879418998295
45,0.12616750558815606,0.09678258986051627,0.32736551689172727,0.534377645814975,0.7149809025979017,0.47015501016293737,0.08363696769863664,0.06855569208044192,0.0025594572670371595,0.0015573675369940259,0.06192311076274603,0.00215372021296548,0.2982906803655657,0.12955069401081992,0.2492958491339386
50,0.10144998823951905,0.14565393679220914,0.32227358657040234,0.5011597813711454,0.6678284663968507,0.4561565478112596,0.08393581631067665,0.04901401014025947,0.0019511203938593535,0.0006498455424962922,0.054904395673228364,0.0019043824055287534,0.24584210804747209,0.3553440945826257,0.2330025945826461
55,0.09305797158447643,0.08190482882894042,0.34153831734507545,0.5495561894449158,0.9739145587380625,0.44146691196601506,0.03960880750099408,0.02571832941042203,0.0005885575501272537,0.0007601156264732141,0.03231757441138761,0.0049549991973006574,0.20509101320490783,0.28570423090793623,0.22606537822980818
60,0.07313761777098142,0.1023131336109412,0.4927366276361636,0.4659702169966824,1.2367193599628972,0.4289676291076329,0.048620463806266855,0.06593387398977144,0.002371969571697446,0.0013324708011880925,0.07029083477940289,0.0048069630432855965,0.19853939836078166,0.404896686386958,0.2079965536575177
All,0.10147929266054692,0.15260916272181244,0.3236676190467073,0.47840264291182016,0.7357416179788511,0.43488346476521217,0.06600362009545219,0.061133999291180185,0.0020546766762285992,0.0011470365550844902,0.06348728708836797,0.0038821414353670336,0.2553209711124572,0.6572343517698568,0.23622033132682543
