,Date,TR.TotalAssetsActual,TR.F.PPENetTot,TR.CO2IndirectScope2,TR.F.OpExpn,TR.CO2DirectScope1,TR.TakebackRecyclingInitiatives,TR.RenewEnergyUse,TR.PolicyEmissions,TR.PolicyEnergyEfficiency,TR.PolicyEnvSupplyChain,TR.PolicyFairTrade,TR.PolicySustainablePackaging,TR.GICSSectorCode,TR.HQCountryCode,TR.TotalAssetsActual_lag1,TR.TotalAssetsActual_roll3_mean,TR.F.PPENetTot_lag1,TR.F.PPENetTot_roll3_mean,TR.CO2IndirectScope2_lag1,TR.CO2IndirectScope2_roll3_mean,TR.F.OpExpn_lag1,TR.F.OpExpn_roll3_mean,TR.CO2DirectScope1_lag1,TR.CO2DirectScope1_roll3_mean,TR.TakebackRecyclingInitiatives_lag1,TR.TakebackRecyclingInitiatives_roll3_mean,TR.RenewEnergyUse_lag1,TR.RenewEnergyUse_roll3_mean,TR.PolicyEmissions_lag1,TR.PolicyEmissions_roll3_mean,TR.PolicyEnergyEfficiency_lag1,TR.PolicyEnergyEfficiency_roll3_mean,TR.PolicyEnvSupplyChain_lag1,TR.PolicyEnvSupplyChain_roll3_mean,TR.PolicyFairTrade_lag1,TR.PolicyFairTrade_roll3_mean,TR.PolicySustainablePackaging_lag1,TR.PolicySustainablePackaging_roll3_mean
10,0.03382614457711807,0.0720070491887297,0.12773857932453037,0.2587312780771545,0.3046119840192964,0.22429147576038008,0.0061074535316043045,0.004246551314749787,4.708319238194866e-05,7.166956285284114e-05,0.0047334743151615935,0.0006211622707028313,0.0706081330379216,0.7525020882474345,0.08508369408092807,0.028136952529725603,0.029479223003835774,0.11331377043122187,0.13040025870855693,0.2739264736982205,0.16068254685628683,0.2919033010693016,0.21981998617679235,0.2278193224066806,0.07436430764316691,0.0,0.040276302041280444,0.006246622998016662,0.054286046388764275,0.00013965815487311666,0.005792723858629698,0.0,0.013852634483761242,0.009577679440359803,0.04069993002394087,0.0,0.0020044549643698935,0.04910337481519637,0.10675503397213774
15,0.04176185649123885,0.05318309895882801,0.0983649699521882,0.21023181991752662,0.25048332758872716,0.20170158927939777,0.00422253166752629,0.0045938023892227045,4.774145255375515e-05,0.00023573768053076862,0.007380810792683295,0.0008164376446605041,0.07266501795980636,0.8485230034668144,0.10017891590114494,0.02449363201549786,0.020433308221994833,0.08561972721836937,0.08794013080472657,0.24063924374442724,0.12740428680456306,0.3458547973584591,0.16515654272356536,0.20893607724361285,0.06389317468839027,0.0,0.029693166912756693,0.005923112590514058,0.056899835816970036,0.0003483261866606301,0.00551231590196118,0.0,0.008260442179510734,0.015762482617669087,0.0539250481502855,0.0,0.002258204042869816,0.0461848472648567,0.1150489837076699
20,0.03822454941096658,0.06039160958766806,0.0992809843521488,0.1770263342307514,0.2050991445308765,0.1889797292810701,0.005159017861005745,0.008297605667539995,0.00019289176195441552,0.00032331326705194754,0.007292386827163748,0.001163440466448574,0.08917249462215565,0.382884677989201,0.1324962141851656,0.026968295501168985,0.025561190298420522,0.07474835866116031,0.07618073983157209,0.2017536606180492,0.10470930582514969,0.2614096910484166,0.12850145300838242,0.18707501223716774,0.04872818952167499,0.0,0.04696829648235192,0.013698860379012915,0.09563487079488449,0.0003770060335261518,0.0063770082932790104,0.0,0.008210235511133743,0.016592009222022485,0.0542579033705919,0.0,0.003103411722766387,0.0694519211813868,0.1264219002158327
25,0.038278680018378836,0.0651545828653431,0.10945923148741488,0.17483397608113677,0.21574729075579976,0.1798331874382046,0.005903987214890847,0.00902917650360909,0.00025082902062468744,0.0003539673431828256,0.006963805388455602,0.0019683843599342978,0.12188007308384777,0.7801678527561089,0.15435715025558278,0.030733036048814447,0.024301253945436523,0.08488910830794996,0.07809792770838485,0.20563389600513027,0.09701410278095941,0.26202888391086676,0.11177178266564784,0.17310646002753324,0.05154085525232853,0.0,0.04510270380621592,0.012279302241893674,0.0866593320706049,0.0004993520557994029,0.009956080239944202,0.0,0.011217495249158596,0.01441598153421434,0.047599807517546555,0.0,0.00705342385649198,0.10322804542433106,0.16575232267390336
30,0.044443641307338334,0.06556101494667652,0.10653925667551355,0.18031364608911973,0.22498815965170596,0.1797188136787115,0.0059451738776906005,0.0080934742817235,8.936180715374e-05,0.00028278032385141893,0.007056312211219883,0.00335786864897378,0.103093410571849,0.7416877830270799,0.10321389390320579,0.026364165109834956,0.02416740427150818,0.08862464645243268,0.09323781397493534,0.21084209979977855,0.114758798496851,0.25569939878951214,0.14172330894405216,0.19236527847239496,0.05421051950172747,0.0,0.028242599028077953,0.00676349040061194,0.07908929676613648,0.00024843645231108777,0.01124472259751558,0.0,0.023790006528152222,0.01209924051655742,0.045663996242977435,0.0,0.004991050494032592,0.08497941352256769,0.17712826523652045
35,0.050830657596006114,0.07741925945153784,0.11878931339736606,0.15048308296820012,0.25279522499124923,0.14588948264021218,0.010230134279749526,0.003370184782188858,0.0003226102218932699,0.0003236258661735789,0.006108130856732457,0.0010940621648069084,0.12900840383421705,0.2273365190699798,0.12298659101528554,0.028015369573161322,0.029129623769188956,0.08288136980694799,0.09047577487133825,0.18614942936996742,0.09919102930594506,0.2909071584915347,0.16773902497369994,0.16122036359443012,0.046644370377113685,0.0,0.05283534014696037,0.008431247102110557,0.09070835033821453,0.0008635985001230922,0.010832925733748024,0.0,0.014447518433409622,0.010158675149421752,0.03158788546578723,0.0,0.001960045867931945,0.10437369419326975,0.18980021533042382
40,0.06730495100293843,0.27319970948811484,0.16286243579969426,0.16275677743358097,0.24645861589632864,0.18907399282086518,0.0053764592758921955,0.007466968745032837,0.000477308683730111,0.0006763584648348958,0.010748155261093264,0.004647538949621969,0.0907706120702517,1.3165244886612082,0.28648641076957554,0.17822890427224836,0.10852154828478534,0.12377512513501211,0.1333382542256553,0.19143653771426875,0.12922887090943258,0.250538887116195,0.13702763015798397,0.23544629409447007,0.08158759921941465,0.0,0.054034069548385286,0.013117670190888586,0.06577139301861025,0.0009719972423810438,0.009596471244237547,0.0,0.019211454533272648,0.020280712445597954,0.07228929839185548,0.0,0.023758486795445347,0.061738798896417584,0.202953102717279
45,0.062453812083862525,0.06549810027173175,0.13313260240150282,0.1942578888332695,0.21767798735619517,0.2040115117012493,0.008352949853969598,0.007267184109342528,0.0002025190186357947,0.0002521646893603025,0.009716034034529275,0.000776585836465946,0.1103062618165183,0.11516223821129074,0.1510296080476008,0.026295994697059098,0.027031636514597338,0.09719906745421687,0.08211291299760408,0.23782510012978897,0.09852460805899767,0.2866726604492315,0.12470335784655623,0.21768761545006782,0.04636172390652215,0.0,0.051147331434182784,0.0127148471868398,0.09355728873413581,0.0006910272045796888,0.009281229478256733,0.0,0.008812867073347426,0.016877941250246085,0.06473628290126247,0.0,0.0038009632933151322,0.08758250474717454,0.17283199433674407
50,0.03981274629323095,0.07913778395048421,0.13961675240853738,0.2363873275549337,0.26656822767875116,0.19745324070100986,0.011694738935491973,0.003039074720683166,0.00017891602666124888,0.0004594977659049382,0.0075642104413226165,0.0010526983374224133,0.10982702921137177,0.18504417908584078,0.12359498723042342,0.03226861822335862,0.03256576683045779,0.1062557325965819,0.09809783706327825,0.2713455942088758,0.11519452532786542,0.25683685672334144,0.1458302325313611,0.23183289286419118,0.04963875243697063,0.0,0.06125227107648056,0.008393411718029969,0.08830638397299062,0.0005615204985814484,0.0072180757712190175,0.0,0.009064674646319866,0.010936177252377026,0.037543612503355334,0.0,0.00637958581663977,0.07374942521220007,0.15329394652906997
55,0.03582748115973113,0.07399409069314683,0.13113086615513836,0.1992931475308647,0.2939558457292099,0.2115569541136516,0.0035992262536055125,0.0019067472802510408,7.44705160040116e-05,0.0002113066833108216,0.006899552693101019,0.000853243589263378,0.07464886478824213,0.3451034673736933,0.14997017215187797,0.025847053334284113,0.040077340856096044,0.10137685571864453,0.11381719370318462,0.24815742586234968,0.13063332874354722,0.35339247722000505,0.2096167260575705,0.19767664330209986,0.051960322723136124,0.0,0.03681750619685843,0.003700078648936001,0.052425362896811926,0.00014987307005171814,0.0036213494412433494,0.0,0.004937524368583998,0.01132778553368265,0.027443203188414374,0.0,0.003453950998835071,0.05267005041446863,0.12897784530498868
