,Date,TR.TotalAssetsActual,TR.F.PPENetTot,TR.CO2IndirectScope2,TR.F.OpExpn,TR.CO2DirectScope1,TR.TakebackRecyclingInitiatives,TR.RenewEnergyUse,TR.PolicyEmissions,TR.PolicyEnergyEfficiency,TR.PolicyEnvSupplyChain,TR.PolicyFairTrade,TR.PolicySustainablePackaging,TR.GICSSectorCode,TR.HQCountryCode,TR.TotalAssetsActual_lag1,TR.TotalAssetsActual_roll3_mean,TR.F.PPENetTot_lag1,TR.F.PPENetTot_roll3_mean,TR.CO2IndirectScope2_lag1,TR.CO2IndirectScope2_roll3_mean,TR.F.OpExpn_lag1,TR.F.OpExpn_roll3_mean,TR.CO2DirectScope1_lag1,TR.CO2DirectScope1_roll3_mean,TR.TakebackRecyclingInitiatives_lag1,TR.TakebackRecyclingInitiatives_roll3_mean,TR.RenewEnergyUse_lag1,TR.RenewEnergyUse_roll3_mean,TR.PolicyEmissions_lag1,TR.PolicyEmissions_roll3_mean,TR.PolicyEnergyEfficiency_lag1,TR.PolicyEnergyEfficiency_roll3_mean,TR.PolicyEnvSupplyChain_lag1,TR.PolicyEnvSupplyChain_roll3_mean,TR.PolicyFairTrade_lag1,TR.PolicyFairTrade_roll3_mean,TR.PolicySustainablePackaging_lag1,TR.PolicySustainablePackaging_roll3_mean
10,0.043736131471175624,0.04695271562485224,0.15710359103850277,0.28076048314117574,0.5359618100153672,0.31979913021280076,0.00478015762735396,0.028296544779557356,0.0,0.0008467869703149599,0.01635506572986816,0.00021645703818108251,0.09893122187975432,0.4560530341677191,0.17075066958468982,0.01842891860207359,0.02443976716516,0.09605421350910183,0.05675932526776963,0.14262926981331642,0.1130391805590158,0.1179122582781522,0.09478564784588034,0.061188017731447164,0.10393410095566522,0.013903929656785715,0.009965773533643174,0.04827291718639137,0.031233791296187266,0.018168197809171272,0.001470173947960512,0.017292516966921783,0.004028648717072908,0.01905673036549921,0.02020230569165037,0.005799845434919114,0.0020686686779816934,0.03379580394697394,0.09382347925282561
15,0.04120971346819436,0.04495918386611167,0.1638939783757948,0.298556263435874,0.4858641393436522,0.3462589631249547,0.009678266079301336,0.031739238711001046,0.0,0.00042570594394151357,0.01911131663407297,0.0005049335179676158,0.09651776402218586,0.8112509225752471,0.19436862349414438,0.018704315577273388,0.026341380185052738,0.10342891389555836,0.0550709596736211,0.1569896359465903,0.11936408532334065,0.10488287677153069,0.07742310384530324,0.06780654816099968,0.12368359323263493,0.019793973274864235,0.01916507357172216,0.054540079168461805,0.04689559118962888,0.016682338283196586,0.003370279097554818,0.011437329798230983,0.00295881116036879,0.01662363065536895,0.021511066627146226,0.007856637535988907,0.001959590100837394,0.031283369139952916,0.08873183798881368
20,0.047336710898299286,0.04594069320352558,0.13582831255377634,0.29809651783424806,0.4399609854332934,0.3197446671884601,0.010295281142706534,0.04432449814677669,0.0,0.0006402816132462659,0.0244329753890414,0.00034854444250063976,0.10604844041770824,0.38912500197322525,0.17948587469278451,0.020631189069016398,0.0252381760453629,0.08306738037834747,0.033109291929698303,0.12662035795042953,0.0884374792021905,0.10837455116121741,0.057498223756333136,0.05325260791969614,0.07170862400309688,0.02118013907642239,0.0178896470107682,0.057043422147235796,0.053427721822990576,0.018968866656816873,0.0024325355321642077,0.014662322502015145,0.004150405049799179,0.026880484479312617,0.03150894522017949,0.006209233292013048,0.0009975536307381605,0.037687949476066886,0.07751648904603183
25,0.0471033048711168,0.046281038494340454,0.15481581713578,0.27880732867341007,0.4544990003284432,0.2737839730468282,0.019196530386280563,0.04089446458896254,0.0,0.0006763258347648619,0.02245410797140033,0.0007727078561093026,0.13813803555410403,0.5836007299381976,0.19189143057741803,0.021170710582766802,0.027690530589644626,0.08628183967362879,0.04052415342853061,0.1328888082056823,0.09004657602710146,0.10622077601970281,0.06467565968794657,0.04453701848231056,0.07082384561136006,0.032849407074098384,0.02420727980358449,0.05984609648143196,0.06078223340648819,0.014898363272133744,0.00320696010092826,0.01230379662919711,0.003952509006539549,0.025515458719230746,0.02907618087161726,0.006723709742612964,0.0021396965492930515,0.04874350587657303,0.10519757312811123
30,0.035171531380185944,0.045243248125483415,0.19394975613833546,0.2664460149833941,0.4951548641759134,0.29858377940671876,0.013272177154330567,0.03690241986348469,0.0,0.0005666690576796421,0.018251732740147002,0.0012491944858732283,0.13975638863077092,0.7596202498761795,0.157709922970473,0.017329005078834656,0.026406038068826635,0.10832505675493222,0.049088743052251,0.12771775415252423,0.09935267153494957,0.10856058608704418,0.06439162543328449,0.05609726723540713,0.10650793942686279,0.028896099024246353,0.018873754557681848,0.07607416818581449,0.058411600655935925,0.014210779983403837,0.002704179579327501,0.014242131554815678,0.005212675077362872,0.01692873681855568,0.023344862372661826,0.006284658941371098,0.0031271731810567083,0.052005052725336044,0.12416366869416653
35,0.05100521123622813,0.072666596017471,0.17930294155132628,0.23333744360834255,0.5164829752417996,0.22703275295289208,0.012178116907751686,0.031117931403068715,0.0,0.0004311966154478317,0.0223858211454934,0.00025229984703061106,0.15914329278970088,0.08381757415672464,0.1839560774228317,0.01901029459435892,0.03560165713464957,0.09631579222072383,0.04480147175074304,0.12784349201539755,0.07351338069885928,0.11406226056569081,0.076927013877433,0.04907656481441711,0.0658035914315378,0.027277286248629205,0.016322355251577096,0.055630360649246084,0.03661341165229601,0.01730696263344527,0.0016514362004579404,0.011728428745780735,0.003652045691764979,0.023497523361678443,0.021793820980119977,0.006387419838223854,0.0010932568257711387,0.056297913712268645,0.11082711175417073
40,0.07073310687267513,0.20350694229803962,0.25007255455990324,0.29822576715080706,0.44309934353537417,0.3136465283296611,0.009032912204006035,0.02048917811761796,0.0,0.0008764113362360895,0.02275729903440131,0.0006113021162568028,0.10743046469165371,1.3541745073410032,0.27958111770158883,0.08210752222192237,0.09830102811637156,0.13103581551294133,0.0911224721115105,0.1412317422051666,0.13128553278731606,0.12384242379642658,0.06276509825013563,0.06150937077792405,0.11577848777536479,0.02522088644934353,0.030083301874587447,0.053597789312324264,0.05003087604869469,0.02221010020713008,0.007774113370845033,0.018155416368079078,0.008888490222734713,0.03770018439591782,0.03323082249384793,0.005339864760593048,0.003338665408892071,0.05047039184234457,0.14286744601946805
45,0.05111178439452607,0.06741618422244726,0.20040379610323272,0.36179548964939573,0.5020095680860438,0.3153642635605538,0.01699237148064877,0.035197076081303916,0.0,0.0009312920877874598,0.022431702213964864,0.00020836351698493583,0.13161325294442708,0.10826764874186422,0.19352394880076262,0.018765726380801786,0.03320787367320631,0.10336615907346969,0.037345351423183355,0.150943907250018,0.0838362388062818,0.1161476842817205,0.06689657595439676,0.0528102792272488,0.05408067503093679,0.041165395579668015,0.019888898702005678,0.057487693256966316,0.0546831550338679,0.018937208049418314,0.003765421875284033,0.01336284919275363,0.0064749417121537116,0.032135091582884204,0.03720919046155581,0.005706491675778635,0.0019387104769332504,0.049249726762733446,0.11175681017332206
50,0.04722804719636389,0.0548814228103271,0.19429706660143295,0.3110667502440398,0.5017095282893252,0.2986004025602004,0.02635856295948327,0.024986777641800788,0.0,0.0010168130361414955,0.02322394244254751,0.000747431451706811,0.13718200002135475,0.38101691186407105,0.1970312874933454,0.020524593957450755,0.03487595171770899,0.11869092356177081,0.05813665174454849,0.14820087677841545,0.08274632349717707,0.10973492576348365,0.05401139677318648,0.048526424113084506,0.06584266458353712,0.04347021978240109,0.03525510323921508,0.05347620207902671,0.05041015790440842,0.018823939769974304,0.003636555624965395,0.012161353071589763,0.007204225203550507,0.025697153100062063,0.02826748176562979,0.008180888396212862,0.0025764794812679678,0.04419773400878707,0.10428564991382622
55,0.03734110531145632,0.06912593420271514,0.15196755587976118,0.2911859857822681,0.5305551175847053,0.3150455736323046,0.006676209857025635,0.017962210779340248,0.0,0.0006346844037147128,0.014118138626849994,0.000230682365020241,0.0940526220585652,0.35468283792222405,0.1231701017403321,0.012610692972187879,0.03295471320455168,0.11984366825148764,0.056738358088991414,0.16313457140021187,0.09915558147246395,0.11356524574139931,0.08617207588509455,0.05667963645867219,0.07403872411605492,0.016138431021962753,0.01883958226684615,0.044271039283015505,0.0194229356029903,0.018137888073382156,0.0013204489090611153,0.014644966857571167,0.003700373355672435,0.012139015698351761,0.015273294712777092,0.006379349705846744,0.0008759494420863962,0.035157269408039246,0.07678445371138046
