,Date,TR.TotalAssetsActual,TR.F.PPENetTot,TR.CO2IndirectScope2,TR.F.OpExpn,TR.CO2DirectScope1,TR.TakebackRecyclingInitiatives,TR.RenewEnergyUse,TR.PolicyEmissions,TR.PolicyEnergyEfficiency,TR.PolicyEnvSupplyChain,TR.PolicyFairTrade,TR.PolicySustainablePackaging,TR.GICSSectorCode,TR.HQCountryCode
10,0.09420115917202546,0.10679287909721663,0.27237531550371125,0.6644483459694392,1.0721638119072017,0.4122383745901236,0.047624769698853806,0.0727803217032843,0.0015752830956922113,0.001994145617472492,0.06997493418490404,0.00025431438293537547,0.19775581708929735,0.7550443418247892,0.18323193588038092
15,0.07545627582312481,0.08407759708046035,0.2915786867856899,0.6386304301611108,0.5798615503706251,0.46073081335409866,0.05026107705798427,0.06920755815474393,0.0009674559995060895,0.0017371473549103514,0.04227806499430678,0.0003991755133215741,0.18546140590317584,0.8960761047783821,0.19887433697414422
20,0.0842192390752391,0.07976755188151644,0.2732867454532525,0.5044076176731077,0.6298324832305129,0.3877824876525685,0.06270108962687038,0.09370498943711071,0.0015035264136215496,0.0024105882982808115,0.04684005318523046,0.00045062624809449263,0.2532567569441354,0.37153350439948185,0.18984857090247398
25,0.10145675214399884,0.06684169850126113,0.2892050176560021,0.4895505133683953,0.5282537513731858,0.37592098793614565,0.08366890008440524,0.08084890249460239,0.0021341166095210757,0.0025646873409772126,0.04626653627453374,0.0005655598708732708,0.28064147379368953,0.8216906572436239,0.2331134539985139
30,0.06783331071468839,0.0721264029179008,0.32679333384096376,0.5108210113295597,0.7162267782227795,0.4210110209883506,0.07099619848827778,0.05873247923032844,0.0006404865684325198,0.0021211819839434603,0.04632842364508115,0.0016700387055352405,0.2668244520348456,0.8376210184696142,0.19761498765539887
35,0.09448118497513791,0.1084207327826384,0.3643812180435413,0.4616018656207739,0.6671213596676228,0.345704331090509,0.0733336931327153,0.06766513318274446,0.0025815709755363245,0.004125710222821609,0.04836994350186704,0.0002245367110229725,0.34509005235615997,0.24391367126980645,0.18951067681090908
40,0.1318717821805761,0.38980946418449264,0.5253385677057731,0.536960394763086,0.5402341336534517,0.5052388252503629,0.07150965765136436,0.04715143518524515,0.0019299054634321214,0.006513466318290701,0.056440709375406135,0.0007175917305571556,0.2093370221479663,1.7753753305926534,0.3823311659247557
45,0.09764138133677241,0.08533753280942785,0.3745656188743476,0.49119195048169345,0.6356454225816617,0.40997045364882,0.10486878171903238,0.0768956116136627,0.0016807921267425396,0.004262409917970908,0.0457052883226706,0.00016960573901496093,0.3111964588728624,0.16793469620125928,0.2419394088380387
50,0.08248430196464969,0.08621317833497207,0.3998114048754619,0.5592521180080466,0.5999805906211787,0.4172867871048113,0.0893534751377658,0.07509636377002528,0.002957318377922632,0.003882505437251121,0.03275782308776687,0.00020729412998010219,0.2035687181039069,0.449894401469266,0.19269466647926453
55,0.06284182053574672,0.11517375053159415,0.3784414675876507,0.6017777507844632,0.9319649098266432,0.43051245494435714,0.05821230460744758,0.06753668372861436,0.0006730688073537874,0.007806213002703546,0.022258236699287247,0.00018960319933205495,0.19359671132916756,0.23820840109297972,0.20468974957913477
60,0.07871285266905802,0.10035965075210712,0.6587559606267465,0.47629718372908375,1.196250444741214,0.312648566315462,0.05769124004835383,0.06759801194876333,0.003083574215961994,0.006065964794601877,0.049329875931818985,0.0002277817250420204,0.1446097929949581,0.3823479497062395,0.25622929347323004
All,0.09252893773041093,0.12686879288402225,0.3601468555677668,0.5266945503154611,0.6460946294429764,0.414702224844265,0.07278646303678292,0.07236852589264946,0.001704304979766398,0.0036256097592507414,0.046593900529932564,0.0005256074446940326,0.2481166225348655,0.7121182003559253,0.2345824881630865
