,model_name,fold,sector,rmse,mae,r2
0,metrics_catboost_14_imputed_drop_zero_value_scope31,1,All,1.8861290919479403,1.3369076833176121,0.6675171625829199
1,metrics_catboost_14_imputed_drop_zero_value_scope31,1,10,1.6962494169214453,1.2638260003278035,0.6704893219988008
2,metrics_catboost_14_imputed_drop_zero_value_scope31,1,15,1.0287450302847707,0.8026469444179644,0.5205049159508708
3,metrics_catboost_14_imputed_drop_zero_value_scope31,1,20,1.8209024334716708,1.1852887009795294,0.43603124091166345
4,metrics_catboost_14_imputed_drop_zero_value_scope31,1,25,1.7227209469031715,1.0878598811139877,0.5848069775924454
5,metrics_catboost_14_imputed_drop_zero_value_scope31,1,30,1.7070849486917112,1.158003764802444,0.48375427171065133
6,metrics_catboost_14_imputed_drop_zero_value_scope31,1,35,1.6966575304394016,1.1633951962956683,0.5428799304989492
7,metrics_catboost_14_imputed_drop_zero_value_scope31,1,40,2.440738752851871,2.0214088170738926,0.3586954305334853
8,metrics_catboost_14_imputed_drop_zero_value_scope31,1,45,1.8787424554791134,1.3782277006646686,0.6149885386740253
9,metrics_catboost_14_imputed_drop_zero_value_scope31,1,50,1.752367689279353,1.2354675494233167,0.41027348891343296
10,metrics_catboost_14_imputed_drop_zero_value_scope31,1,55,2.311233657476923,1.7507731405981917,0.5206137656285266
11,metrics_catboost_14_imputed_drop_zero_value_scope31,1,60,2.548122569976116,2.102910083291629,0.44821239134558155
12,metrics_catboost_14_imputed_drop_zero_value_scope31,2,All,1.9286572845610075,1.323650860654081,0.6447857386722317
13,metrics_catboost_14_imputed_drop_zero_value_scope31,2,10,1.6395334496036758,1.406970699753433,0.7150904122784816
14,metrics_catboost_14_imputed_drop_zero_value_scope31,2,15,1.0719068727157142,0.7467546662220682,0.5971711249718297
15,metrics_catboost_14_imputed_drop_zero_value_scope31,2,20,1.8246594132766052,1.2968030546184182,0.41729112546029823
16,metrics_catboost_14_imputed_drop_zero_value_scope31,2,25,1.6329426176411952,1.103861856169581,0.554880174681926
17,metrics_catboost_14_imputed_drop_zero_value_scope31,2,30,2.1177599714855018,1.2619302141165394,0.4325142378236986
18,metrics_catboost_14_imputed_drop_zero_value_scope31,2,35,1.1196281364124838,0.8130661528212241,0.7768897163414725
19,metrics_catboost_14_imputed_drop_zero_value_scope31,2,40,2.475506841608151,1.9839366261607514,0.07672130328456361
20,metrics_catboost_14_imputed_drop_zero_value_scope31,2,45,2.001263789535453,1.3096842627546523,0.49912963961560675
21,metrics_catboost_14_imputed_drop_zero_value_scope31,2,50,1.287069374999593,0.9659749704141064,0.7985951791130315
22,metrics_catboost_14_imputed_drop_zero_value_scope31,2,55,2.82576786832809,1.9328863522494646,0.1747417878790799
23,metrics_catboost_14_imputed_drop_zero_value_scope31,2,60,2.8749537467107946,2.277117626979593,0.2587661369127987
24,metrics_catboost_14_imputed_drop_zero_value_scope31,3,All,1.9774121253983796,1.3618694030783685,0.6498042324553015
25,metrics_catboost_14_imputed_drop_zero_value_scope31,3,10,2.5144510704495304,1.6723066970954221,0.5019867426560702
26,metrics_catboost_14_imputed_drop_zero_value_scope31,3,15,1.4039044211739276,1.03138263175623,0.557146332866123
27,metrics_catboost_14_imputed_drop_zero_value_scope31,3,20,1.635930003243672,1.1365018740241772,0.5574919619202924
28,metrics_catboost_14_imputed_drop_zero_value_scope31,3,25,1.9011263821724131,1.2694821327079637,0.4604209597457942
29,metrics_catboost_14_imputed_drop_zero_value_scope31,3,30,1.478299391519831,1.0651877824439222,0.6596593314484058
30,metrics_catboost_14_imputed_drop_zero_value_scope31,3,35,1.901567562130014,1.2520654214750153,0.655621268589108
31,metrics_catboost_14_imputed_drop_zero_value_scope31,3,40,2.3667926884051287,1.8627277988199322,0.40107067159170606
32,metrics_catboost_14_imputed_drop_zero_value_scope31,3,45,1.9016929023173765,1.2708066812940646,0.610813943171626
33,metrics_catboost_14_imputed_drop_zero_value_scope31,3,50,2.480959450671339,1.6429161750690924,0.45115452515626653
34,metrics_catboost_14_imputed_drop_zero_value_scope31,3,55,2.368512418452561,1.6497977096476009,0.3917385704044085
35,metrics_catboost_14_imputed_drop_zero_value_scope31,3,60,2.653120166089679,1.8946568175570846,0.0978972985922707
36,metrics_catboost_14_imputed_drop_zero_value_scope31,4,All,2.0131165128731836,1.3397388994810793,0.638304735180852
37,metrics_catboost_14_imputed_drop_zero_value_scope31,4,10,2.9588083367634046,1.9532382252770364,0.21180120026737947
38,metrics_catboost_14_imputed_drop_zero_value_scope31,4,15,1.4155535324917627,0.8102327129298181,0.5992093754065947
39,metrics_catboost_14_imputed_drop_zero_value_scope31,4,20,1.812473225691368,1.240435426164199,0.5728052527410741
40,metrics_catboost_14_imputed_drop_zero_value_scope31,4,25,1.7113879849035425,1.0045567583918322,0.5993397368184075
41,metrics_catboost_14_imputed_drop_zero_value_scope31,4,30,2.01990736144213,1.1940876047834046,0.1780265776839295
42,metrics_catboost_14_imputed_drop_zero_value_scope31,4,35,1.8225477613185581,1.19097828850122,0.709201707744264
43,metrics_catboost_14_imputed_drop_zero_value_scope31,4,40,2.582964076865683,2.04617782128938,0.3496647068915629
44,metrics_catboost_14_imputed_drop_zero_value_scope31,4,45,1.7572792817227356,1.3133309892029708,0.6494052144001367
45,metrics_catboost_14_imputed_drop_zero_value_scope31,4,50,2.021643187481997,1.3248426484102285,0.4271834023178336
46,metrics_catboost_14_imputed_drop_zero_value_scope31,4,55,2.5765670638206797,1.6819041186153063,0.2471216562143138
47,metrics_catboost_14_imputed_drop_zero_value_scope31,4,60,2.24200482530062,1.7263923768107428,0.28579596798047935
48,metrics_catboost_14_imputed_drop_zero_value_scope31,5,All,1.9145002114108334,1.3324644788848135,0.6339685130775318
49,metrics_catboost_14_imputed_drop_zero_value_scope31,5,10,1.5473440849930127,1.1166696863626844,0.37765193425989707
50,metrics_catboost_14_imputed_drop_zero_value_scope31,5,15,1.5224766761882886,0.9726647756396043,0.38544610196646323
51,metrics_catboost_14_imputed_drop_zero_value_scope31,5,20,1.6003303657614225,1.1230945168035826,0.525564173787382
52,metrics_catboost_14_imputed_drop_zero_value_scope31,5,25,1.4640206766482453,1.038808485651503,0.6715980859799753
53,metrics_catboost_14_imputed_drop_zero_value_scope31,5,30,2.074842090037752,1.2971883814812843,0.46743778704380967
54,metrics_catboost_14_imputed_drop_zero_value_scope31,5,35,0.8995064572314876,0.7274511913880317,0.7865018270454391
55,metrics_catboost_14_imputed_drop_zero_value_scope31,5,40,2.5813588747949816,2.128146629073332,0.30598111866996824
56,metrics_catboost_14_imputed_drop_zero_value_scope31,5,45,2.0085802402816473,1.4391775226828698,0.47297411189353145
57,metrics_catboost_14_imputed_drop_zero_value_scope31,5,50,2.1293312554854986,1.4414875124938904,0.2908286896158655
58,metrics_catboost_14_imputed_drop_zero_value_scope31,5,55,1.878105919314816,1.0896116644616063,0.4072378634640049
59,metrics_catboost_14_imputed_drop_zero_value_scope31,5,60,2.398493370926117,1.7532734351964103,0.381724645682991
