,Date,TR.TotalAssetsActual,TR.F.PPENetTot,TR.CO2IndirectScope2,TR.F.OpExpn,TR.CO2DirectScope1,TR.TakebackRecyclingInitiatives,TR.RenewEnergyUse,TR.PolicyEmissions,TR.PolicyEnergyEfficiency,TR.PolicyEnvSupplyChain,TR.PolicyFairTrade,TR.PolicySustainablePackaging,TR.GICSSectorCode,TR.HQCountryCode
10,0.08457773749383407,0.12792228371921516,0.28204914808380166,0.5928028870499853,0.871680312880593,0.4762075179892594,0.06358812013694819,0.04257392513739087,0.00032434362326211726,0.0024758642367152302,0.02821541278190711,0.0014067343530897963,0.1619260630234728,0.4551618332229542,0.15134715162781637
15,0.05651121766751786,0.09644716231025321,0.24161397789099415,0.6216403506897576,0.585836049461896,0.4864703729982865,0.047654516194539503,0.0495449888534421,0.00013092856487500988,0.0007976570449479924,0.028679202537334695,0.0020017276199879143,0.1930072727278258,0.9050134513413728,0.1362209236062767
20,0.07062795501085975,0.09639912615836023,0.18650123194076548,0.4584716601304399,0.6351879085323537,0.4215482976440729,0.06493865509328463,0.0528763009811508,0.0007482345890429198,0.0013362196214415202,0.044958330472976094,0.0019575781107412245,0.22562425309174114,0.34758626379611096,0.16021698478019372
25,0.06257777525178773,0.09683422117040119,0.27955270316747516,0.4787817377466892,0.6606980023906561,0.4789067418215,0.08847953560251014,0.06578289912190566,0.0015709366792342233,0.0013972396555215977,0.03319746708767285,0.004382766758582283,0.2869125995075922,0.7774573616207116,0.17056204121803248
30,0.04920909685666277,0.0915650971809131,0.28147552595165587,0.45847489952723486,0.6389951614457232,0.42967159587359566,0.06230958204244417,0.05935687537982604,0.0006182083945802209,0.0030657920002701905,0.04327478249738733,0.003855126855110332,0.27966163977981984,0.9388512171614766,0.10473963558577645
35,0.08783784971493185,0.09073243334174198,0.2224068602352957,0.4217087323507773,0.6095679596238749,0.373179650353832,0.07731550587652916,0.052318750187237764,0.0007851557676106774,0.0009715974104660661,0.025996118238609225,0.0009483846481927979,0.2892397346574576,0.238528525228753,0.17337823967142008
40,0.09267742789575452,0.4667317822201097,0.37532223330997994,0.5062844291255488,0.6322520161279157,0.5102900768655325,0.06287527732599801,0.042039343707193616,0.0021073631512155484,0.002229608589031233,0.04282199229702376,0.001980786645558088,0.21617617132877248,1.5812592652978543,0.47131478084997686
45,0.08513980273034863,0.09574119769934043,0.2653883877746094,0.47189138115058143,0.6295134947957662,0.49544715953338303,0.10652822087183349,0.0647959741301435,0.0018813904064310892,0.0023688480140855194,0.036443072122298276,0.0011811504828977122,0.29658637926962533,0.09918502572852322,0.21884637209937755
50,0.07697775459525484,0.09988170679511689,0.23333525217971562,0.44840425139596957,0.5392755201484085,0.43494636314415613,0.1303082426177272,0.05007306147818847,0.001151848589225156,0.0008325604186784032,0.023674314210059853,0.004650505188074139,0.22564749702840875,0.47736209268002366,0.2259176348254916
55,0.06256046621697585,0.14035628135227807,0.2572209049078792,0.6746947492284358,0.9956310952652735,0.4456345221032414,0.05394443957080681,0.030036937652743085,0.0003351638561216501,0.0031952697276779497,0.02443442287901694,0.0019695539517706625,0.19621249348829164,0.3066512457259171,0.15229420710227043
60,0.05590392936719841,0.11252592037022797,0.5015257527538218,0.44399090004872105,1.0261503542859898,0.37372447785505997,0.05858295573187044,0.04171714419086395,0.0007816088864869535,0.0022729575697273655,0.04830828329852525,0.0015805811154813538,0.1827834454795841,0.8479613024501049,0.146680234319593
All,0.07213381115756026,0.14979809710685374,0.27368811233486284,0.49812393855490733,0.6696124840821628,0.45631513511880606,0.07418860708645662,0.05261414038111771,0.0010954071700508797,0.001774856727561866,0.036370214422553754,0.0023777438314627327,0.24013640254357796,0.6723638673352939,0.2070266337153845
