model_name,fold,sector,rmse,mae,r2
catboost_baseline,1,All,57287356.80419244,53880925.49475256,-3.538738350033759
catboost_baseline,1,10,65218119.817604676,61680678.35480241,-0.1672061468283419
catboost_baseline,1,15,52534094.62948875,52410125.25608266,-176.0101986253635
catboost_baseline,1,20,53643057.4765353,53532132.668565504,-203.5736277559027
catboost_baseline,1,25,49964076.4536678,48306733.98430995,-3.7275155799799107
catboost_baseline,1,30,60609628.8283703,54296379.412826955,-0.710514616421347
catboost_baseline,1,35,53910500.7280139,53853866.45603805,-342.5945723723927
catboost_baseline,1,40,68813951.99089018,56567448.28749349,-1.3747885587941173
catboost_baseline,1,45,53373558.49901553,53257451.40622366,-185.14697650784314
catboost_baseline,1,50,54529885.75210835,54521897.44417838,-1650.9738446801423
catboost_baseline,1,55,54357962.37753266,54161613.79963082,-129.994873474054
catboost_baseline,1,60,54533077.92876839,54532231.79630572,-17239.301933877086
catboost_baseline,2,All,69379833.18309346,69200369.79933532,-174.43147311416098
catboost_baseline,2,10,67503254.07126336,67062166.56527235,-71.4534829930191
catboost_baseline,2,15,67711476.16719648,67539745.5632056,-185.71105597185368
catboost_baseline,2,20,70018577.05532224,69964804.57650237,-808.9184789752533
catboost_baseline,2,25,69001828.68451688,68913816.6112438,-354.5580522881634
catboost_baseline,2,30,64861169.59133822,63633211.48741871,-21.799507043552143
catboost_baseline,2,35,70217455.59263824,70202239.45031428,-1481.6843320377568
catboost_baseline,2,40,70985061.38370855,70984045.08023162,-67828.81348593599
catboost_baseline,2,45,70177391.64665444,70110784.586785,-603.3885170173538
catboost_baseline,2,50,70793553.63449322,70789397.8363078,-6253.902490031513
catboost_baseline,2,55,70213286.28224391,70179515.74127716,-1002.5959322101571
catboost_baseline,2,60,70826035.8224664,70820500.91340002,-6764.870802507462
catboost_baseline,3,All,15072103635.073067,322093659.8685459,-0.0004455408711583342
catboost_baseline,3,10,5280945.530904457,3507417.5012580915,-0.05656167708430604
catboost_baseline,3,15,8004039.255888378,3972123.187042521,-0.03053333860766627
catboost_baseline,3,20,33149407867.823666,1546673496.438368,-0.0021698958426632498
catboost_baseline,3,25,19708965.022546183,3665584.8491253643,0.000569808697205687
catboost_baseline,3,30,3663962.3884408604,2654484.3183287014,0.04345180941917626
catboost_baseline,3,35,2299732.930252872,2227846.391760538,-8.155543114353165
catboost_baseline,3,40,2608345.8060644735,2585904.308177628,-54.47239148924478
catboost_baseline,3,45,3090237.470548109,2493420.181802141,-0.26688958329155077
catboost_baseline,3,50,2549072.601364365,2322766.2959358282,-0.9668792595071136
catboost_baseline,3,55,2522905.9931026855,2283907.7678067577,-1.7439073133720604
catboost_baseline,3,60,2596241.475300843,2571183.3638251773,-4.778172770597245
catboost_baseline,4,All,69209395.54488131,68963137.07915278,-100.95632509828475
catboost_baseline,4,10,69012958.51779953,68883713.38820799,-231.82794360442037
catboost_baseline,4,15,67978904.06500027,67831598.69382255,-215.49936611647328
catboost_baseline,4,20,69806254.48606122,69754172.889439,-685.7156241502056
catboost_baseline,4,25,68383441.22175378,67964736.59783404,-71.35525254937198
catboost_baseline,4,30,63367730.899474084,61881876.37196601,-12.15536534817609
catboost_baseline,4,35,69787323.30249587,69739421.89552672,-571.4254279836948
catboost_baseline,4,40,70944292.30714841,70943328.98844804,-54156.00733734693
catboost_baseline,4,45,70107487.37483922,70048229.5321495,-537.6455317852973
catboost_baseline,4,50,70647366.60690254,70645545.77366282,-9197.943974160813
catboost_baseline,4,55,70318313.45556536,70290218.69226162,-903.8165067257329
catboost_baseline,4,60,70840759.75686502,70840183.03647922,-92472.65288601226
catboost_baseline,5,All,69224012.90422806,69006775.84764755,-99.49379629062847
catboost_baseline,5,10,67502745.07301828,67339689.2881923,-189.23382611068158
catboost_baseline,5,15,68364943.91027771,67944669.82843857,-75.57875630483301
catboost_baseline,5,20,69241310.5268404,68979965.16929552,-115.15085806330268
catboost_baseline,5,25,67953141.17325269,67766480.17923823,-157.88732576898775
catboost_baseline,5,30,66229786.875660576,65319123.77849611,-11.339600162678062
catboost_baseline,5,35,69491464.01706147,69292755.8467072,-163.20191626829205
catboost_baseline,5,40,70951810.38249984,70950421.68883544,-100293.67058147135
catboost_baseline,5,45,70039709.85343093,69977759.07823507,-605.3566311221846
catboost_baseline,5,50,70828499.04696725,70824706.9537728,-7205.231936327741
catboost_baseline,5,55,69458763.91396365,69399173.27325067,-492.6507794887942
catboost_baseline,5,60,70793627.95439813,70793085.59663372,-56540.98041767594
