,Date,TR.WasteRecycledTotal,TR.TotalAssetsActual,TR.F.PPENetTot,TR.TotalRenewableEnergy,TR.InventoryActValue,TR.TotalDebtActValue,TR.CO2EquivalentEmissionIndirectScope2Locationbased,TR.CO2IndirectScope2,TR.GoodwillActValue,TR.SGandAExpActual,TR.WasteTotal,TR.F.OpExpn,TR.F.GrossProfMarg,TR.NumberofEmployees,TR.EnergyUseTotal,TR.CurrentAssetsActValue,TR.CapexActValue,TR.F.GrossProfIndPropTot,TR.GPMActValue,TR.NWCActValue,TR.CurrentLiabilitiesActValue,TR.GrossIncomeActValue,TR.CO2DirectScope1,TR.F.AcctRcvblTurnover,TR.RenewEnergyProduced,TR.SupplierEnvironmentalCommitment,TR.SupplierEnvironmentalDueDiligence,TR.SupplierEnvironmentalPolicyTraining,TR.SupplierEnvironmentalRiskAssessment,TR.TakebackRecyclingInitiatives,TR.RenewEnergyUse,TR.PolicyWaste,TR.PolicyEmissions,TR.PolicyEnergyEfficiency,TR.PolicyEnvSupplyChain,TR.PolicyFairTrade,TR.PolicyLocalSourcing,TR.PolicyResourceEfficiency,TR.PolicySustainablePackaging,TR.FindingsfromSupplierMonitoring,TR.ClimateCommitment,TR.F.IntangGrossTot,TR.F.InvntTurnover,TR.RenewEnergyPurchased,TR.F.RcvblTot,TR.EnergyUseIndirect,TR.GICSSectorCode,TR.HQCountryCode
10,0.0,3131489.029412904,1555057.5316144314,24107838.9485626,5057941.434835255,2129862.910636107,4671913.1957019735,4196720.921982589,24056774.69828855,2723193.051704824,2997272.2042027432,3778002.3400330013,7593817.4702714,1752171.7625704305,66748674.616895184,1361772.962820121,4062310.416076139,692885.676152519,2998682.957878431,11970568.160212332,1596460.160008082,6523925.923025639,3860447.5493832496,1931453.133994205,1012053.8483950724,900972.0823231639,2080961.7421850874,13904249.478304911,41867758.47672113,3255841.3709344557,1265049.4427204696,1656814.7864282036,15331637.085345725,36218.35523692925,63898.67747667378,645484.5018495166,12790.453674283095,13279555.665766986,10982108.173200158,742802.2488657042,8939333.126191154,7469182.089578847,2812659.894154276,7500610.139797284,2305756.794181026,25347.359271774403,94767.43586859062,0.0,2871273.659492537
15,0.0,2281186.1755734705,917668.449175799,15634296.375564976,4603737.55252187,1154931.2303416887,2118653.2409193763,1303865.0208387647,12667542.586344048,1763673.9266146498,1562219.4695653918,2897854.3497267226,4263854.580725045,767392.9049447521,39892747.17938896,927224.6830618677,1382646.0088647318,447921.5099424027,3654549.022576556,5772009.222996243,1550330.0126934543,3538197.032865836,1116286.579307924,855660.2512673199,343028.82136050024,669291.6643512007,1724039.985785339,10693603.650515804,28329634.655604992,1870415.4959799582,1189378.0733499248,467489.5777607997,12288082.989980547,138117.48130728456,136703.24546340294,316597.75594165095,10423.23004034526,10441146.51691261,12735825.27310105,799575.6905099701,9402772.934385117,2456295.5403597225,930146.1197784217,2353434.2703493354,1328595.2572051506,25464.844539221584,24706.847089543968,0.0,2204378.9889345425
20,0.0,6657881.3641903335,3797642.946755761,120031751.2684133,13053714.036176227,2502911.343454085,4041239.2383684283,5967400.801051036,63674737.31072233,2627609.453203341,5266754.434156765,8880129.255024066,7113723.447609106,3866229.43221602,181300641.76750112,2555294.694887487,3992324.838628216,3424272.368701406,5067895.800167829,8308372.49966028,3360544.665112141,7727625.383934187,7495310.789987012,3132648.0672085434,1440544.9094871725,2445607.2463335483,3186389.5034328657,14871115.575438613,42043991.77679158,5490449.058558479,2232950.806458324,1487363.9464904387,19341503.82233463,72477.03033349196,391792.5681030982,897071.2368886641,109493.34195518476,12673754.091224773,19932752.673132822,3241741.575681666,13070574.173492957,7147854.778769894,4207369.986858888,9551028.215490723,6397992.461160538,26553.523193457237,132869.279589041,0.0,3522528.1078014174
25,0.0,2584846.4488037336,1760342.1058061025,26207858.868594546,3855449.053652599,1871968.8703523502,2841591.309610893,3327163.611753544,20225721.098049268,1553714.7498313317,3619366.9190539373,3140498.8724922547,6450866.151488856,1227188.0900350611,58846780.881916225,1434697.9517546105,2424279.274378542,788156.9582849483,4155807.8743265388,7637593.265411821,1787789.2208807021,6037216.672764315,3323122.1414390597,3374790.650565904,634871.1930764156,755737.960393993,2120550.309885093,13031651.263292685,30980175.737836163,3805740.316461375,2142717.211838617,782679.1311780344,15648874.339415345,84277.4906324962,134021.8854079382,432056.3205155602,11386.511386303153,9434125.90922281,14517232.386302782,1601245.5744799739,13231010.382758223,5444231.255989434,1646689.813972631,4432215.144197852,1515109.5895459694,21571.191093631034,43204.635483413265,0.0,1955010.008439047
30,0.0,6275871.999950007,1308625.5293002327,59451882.47438388,7847572.985689363,3407005.0066459463,4843234.1592535535,3343474.2963270205,63603479.24021483,2582979.8418592475,3805608.340521889,10616936.683388615,5893226.130339551,2364840.2292728503,145466095.6219407,2736082.168442557,1882414.2432946935,1447332.1040983733,3875529.3644481613,6678223.544034959,1691904.9224968932,5828303.963030948,4085976.327991454,1860174.7315897627,1309788.6597967362,2478992.505616275,2842420.2080120645,11848446.926998308,27480341.11899835,4625445.439691733,2313954.7224664744,774700.4909306363,14786554.547677876,37283.212587414535,130825.7938411343,753831.7647294876,246560.04959070266,12937997.041410333,16439745.197176313,4233164.487954691,12338086.018078819,3309280.7625939194,2483714.22956985,5514421.208201254,4983664.776899735,22113.493256682414,118853.34354757417,0.0,4049142.059922371
35,0.0,4438303.224879043,1852721.524070771,64341220.44580682,6523183.082353083,2510570.2074453994,3268673.0515751587,6321733.730286777,47472654.905745305,2896892.6683190074,5043923.242671725,7907437.227764492,7626538.598648091,4625017.906623953,150193436.61757985,4325799.854117513,3655091.6947317217,938634.7273007411,4603573.639943108,17478825.179428548,2077709.906381107,5426713.232776568,4406969.290813396,5448638.419902915,3560619.538062142,1064379.1314694518,2695907.6375090787,12031128.49710924,23429762.433463708,5937755.606115628,2682858.945514906,1745417.6770893817,14043940.83972231,142437.70700907937,310947.7035671173,767909.7426103927,73007.21220211349,9585615.299387269,18086947.169478253,2113838.9752736925,17859244.183159806,3985069.5607639537,4478780.28999967,7795765.313897494,2286713.6848179456,952223.9217678154,130376.32062388564,0.0,2790121.5270156967
40,0.0,2564758.039066049,1001200.4738083619,22316667.720697843,4054046.251846221,3012130.1588255074,3796944.6173030566,2972167.3638269315,20230251.80000616,1941387.9408116303,3611955.951080194,2162483.545767647,6968626.876418251,1813213.9418582125,52323341.23620246,1337199.0580595299,3837930.432941955,595397.5586560995,4505187.639407725,7358235.662600121,1112214.4940539966,6472550.426227785,6654964.531537873,2025080.252599601,1184222.782702795,582512.8581560289,1277115.5777487715,10030470.818179449,34142435.11145227,2691531.210752288,920321.7618579818,911726.5170144051,14345767.187313419,95241.24766651566,89791.49591397784,872817.6835711494,13996.692751417373,9348767.403720852,6077500.751401878,384413.6860637917,7884422.771698768,5315386.213974716,1614435.4142141195,4968385.424603821,1623310.346348911,321521.19850146945,46842.94116816935,0.0,2086722.4111193467
45,0.0,2938862.3109085364,1839644.7139045093,31436617.663612206,4316262.919797741,2191697.36874455,3014392.9040791155,4929205.936256214,23232399.626327384,2303849.138719439,3931658.2244030093,3173624.007088147,8765239.09222142,1762560.84444534,70454081.94763313,1569215.6037521674,2536520.7986048087,929361.8557816811,4380246.831585412,7635612.251377146,1806810.0580753903,7264421.017970976,4253787.010358243,4192067.582739352,642914.5904717013,809909.827856222,2335923.1217451813,15137928.292355573,36792632.60664201,4698868.8147169,2001750.0783021455,850004.4383333498,17447862.341791116,68630.76678293869,247832.97821858173,477303.10088083986,39113.222330113436,10779320.65061466,12352531.377850436,1670679.70383209,13409506.781720629,7849312.818705519,2061877.070896106,6150171.472382231,1862616.737873552,20896.203065187954,139990.23880001946,0.0,2148272.6406286117
50,0.0,3451819.3213646533,1783368.6528511185,30247215.788520727,4956221.46282157,2320066.653167787,3853376.7463402622,4304847.369678949,25059817.762734253,3307490.011681761,3555379.7796700564,3071218.1140392837,7500353.287665901,1434870.1410627293,79428642.94490345,1732545.699164471,2807315.9123616465,1034744.9928777684,2975620.993950495,11320424.814476585,1695872.5609637022,6769627.542226936,3012047.7937201257,2861951.958336232,2742208.5575152384,829194.5256486215,1836499.1169824968,18858736.950665787,44169784.96253989,6339919.914659475,2265205.0996028036,805454.6626315862,17687226.3625802,73689.68169387801,217894.0859554897,627117.6665311711,218205.70601061403,8938671.736481644,7932989.505916164,1709857.9690394825,11063556.265621811,9904503.95375714,6257858.300762145,10542992.08712005,2044561.0166625031,22858.384020729834,42065.7466685667,0.0,1965647.9811431637
55,0.0,2761537.454690883,977230.7209736557,23104030.597392693,4830924.492672744,2059087.123092236,2892847.372714426,2700305.3965699514,15448732.444873216,2149700.6054193154,2280032.8396319053,3007940.7536699977,4756819.871377485,1179747.2061152682,49398742.81072994,1101496.2564882012,1818776.5689607991,702175.6860797426,2359808.0570130027,8059651.248590908,1513512.7055840509,5063861.376135438,2508957.2912511937,1375673.1208103346,1183591.90838079,1292030.0540115905,1889921.8549895978,11755491.65685127,34821376.85843918,2417183.2747079637,989391.1882893442,300429.20026872,15230480.562262071,46694.5603463267,82525.9171927615,382084.76443758985,11499.520581567329,10227210.807758668,13238109.266858354,872784.9690950334,10630852.197385358,4856885.714755208,2407140.5946531515,6291552.27300314,1565488.265274934,20391.05595065388,359403.62355551386,0.0,2103730.1627314487
